,user_id,signup_month,month,spend
12,1,0,1,467
24,2,0,1,484
48,4,0,1,492
108,9,0,1,506
120,10,0,1,515
156,13,0,1,450
252,21,0,1,484
276,23,0,1,484
288,24,0,1,498
300,25,0,1,486
312,26,0,1,519
324,27,0,1,495
348,29,0,1,458
396,33,0,1,479
444,37,0,1,511
492,41,0,1,462
528,44,0,1,458
564,47,0,1,519
600,50,0,1,489
612,51,0,1,492
624,52,0,1,523
636,53,0,1,465
648,54,0,1,515
660,55,0,1,486
672,56,0,1,448
696,58,0,1,476
732,61,0,1,480
756,63,0,1,455
768,64,0,1,519
792,66,0,1,489
804,67,0,1,484
840,70,0,1,512
888,74,0,1,503
936,78,0,1,471
960,80,0,1,513
984,82,0,1,511
996,83,0,1,466
1008,84,0,1,500
1020,85,0,1,478
1032,86,0,1,507
1044,87,0,1,506
1092,91,0,1,501
1104,92,0,1,537
1116,93,0,1,497
1128,94,0,1,473
1140,95,0,1,511
1152,96,0,1,464
1164,97,0,1,485
1188,99,0,1,479
1224,102,0,1,474
1248,104,0,1,512
1272,106,0,1,478
1320,110,0,1,502
1344,112,0,1,511
1380,115,0,1,481
1392,116,0,1,500
1404,117,0,1,468
1428,119,0,1,477
1440,120,0,1,508
1536,128,0,1,504
1560,130,0,1,450
1596,133,0,1,472
1620,135,0,1,501
1644,137,0,1,461
1668,139,0,1,501
1692,141,0,1,474
1704,142,0,1,474
1716,143,0,1,495
1740,145,0,1,469
1752,146,0,1,496
1764,147,0,1,505
1776,148,0,1,474
1800,150,0,1,504
1812,151,0,1,453
1836,153,0,1,510
1848,154,0,1,487
1860,155,0,1,468
1908,159,0,1,477
1944,162,0,1,497
1968,164,0,1,516
1980,165,0,1,514
1992,166,0,1,488
2004,167,0,1,484
2016,168,0,1,476
2028,169,0,1,488
2040,170,0,1,486
2052,171,0,1,518
2076,173,0,1,536
2088,174,0,1,494
2160,180,0,1,508
2172,181,0,1,489
2184,182,0,1,516
2208,184,0,1,469
2220,185,0,1,453
2232,186,0,1,489
2268,189,0,1,459
2280,190,0,1,527
2292,191,0,1,423
2316,193,0,1,543
2352,196,0,1,471
2388,199,0,1,502
2400,200,0,1,495
2424,202,0,1,494
2436,203,0,1,473
2460,205,0,1,487
2496,208,0,1,476
2508,209,0,1,462
2520,210,0,1,435
2532,211,0,1,458
2580,215,0,1,512
2652,221,0,1,473
2664,222,0,1,482
2676,223,0,1,497
2712,226,0,1,509
2724,227,0,1,464
2736,228,0,1,523
2748,229,0,1,483
2760,230,0,1,485
2772,231,0,1,498
2784,232,0,1,498
2796,233,0,1,442
2808,234,0,1,476
2856,238,0,1,513
2892,241,0,1,512
2916,243,0,1,462
2928,244,0,1,525
3000,250,0,1,512
3024,252,0,1,516
3048,254,0,1,463
3072,256,0,1,465
3096,258,0,1,515
3144,262,0,1,463
3156,263,0,1,488
3192,266,0,1,505
3204,267,0,1,515
3216,268,0,1,469
3228,269,0,1,444
3252,271,0,1,503
3276,273,0,1,489
3288,274,0,1,519
3300,275,0,1,520
3324,277,0,1,488
3336,278,0,1,491
3348,279,0,1,487
3360,280,0,1,446
3384,282,0,1,484
3396,283,0,1,479
3432,286,0,1,458
3456,288,0,1,527
3468,289,0,1,491
3480,290,0,1,493
3516,293,0,1,515
3552,296,0,1,490
3588,299,0,1,491
3600,300,0,1,507
3624,302,0,1,480
3684,307,0,1,470
3720,310,0,1,482
3744,312,0,1,478
3768,314,0,1,556
3780,315,0,1,441
3792,316,0,1,511
3804,317,0,1,504
3816,318,0,1,498
3828,319,0,1,484
3840,320,0,1,491
3864,322,0,1,485
3876,323,0,1,451
3888,324,0,1,462
3948,329,0,1,489
3960,330,0,1,516
3996,333,0,1,534
4008,334,0,1,500
4032,336,0,1,503
4044,337,0,1,508
4056,338,0,1,484
4068,339,0,1,522
4080,340,0,1,526
4092,341,0,1,482
4116,343,0,1,506
4152,346,0,1,475
4164,347,0,1,470
4188,349,0,1,485
4212,351,0,1,528
4224,352,0,1,468
4236,353,0,1,496
4260,355,0,1,547
4284,357,0,1,495
4296,358,0,1,460
4344,362,0,1,490
4368,364,0,1,478
4392,366,0,1,518
4416,368,0,1,491
4428,369,0,1,472
4440,370,0,1,522
4464,372,0,1,480
4488,374,0,1,540
4512,376,0,1,482
4536,378,0,1,488
4596,383,0,1,496
