AÑO,MES,CONGLOME,VIVIENDA,HOGAR,CODPERSO,UBIGEO,DOMINIO,ESTRATO,P201P,P203,P203A,P203B,P204,P205,P206,P207,P208A,P208B,P209,P210,P211A,P211D,P212,P213,P214,P215,P216,P217,T211,OCUPAC_R3,OCUPAC_R4,RAMA_R3,RAMA_R4,CODTAREA,CODTIEMPO,TICUEST01,FACPOB07,NCONGLOME,SUB_CONGLOME
2023,02,005007,022,11,01,010101,4,4,20190050070221101,1,1,1,1,2, ,1,64, ,2, , , ,1,1,1,1,0, , , , , , , , ,2,50.4666709899902,07070,00
2023,02,005007,022,11,02,010101,4,4,20190050070221102,2,1,2,1,2, ,2,63, ,2, , , ,2,2,2,2,0, , , , , , , , ,2,50.4666709899902,07070,00
2023,02,005007,022,11,03,010101,4,4,20190050070221104,3,1,3,1,2, ,1,31, ,6, , , ,3,3,3,4,0, , , , , , , , ,2,50.4666709899902,07070,00
2023,02,005007,031,11,01,010101,4,4,20190050070311102,1,0,1,1,2, ,2,79, ,3, , , ,1,1,1,2,0, , , , , , , , ,2,50.4666709899902,07070,00
2023,02,005007,031,11,02,010101,4,4,20230050070311102,3,1,1,2, ,2,1,50, ,1, , , ,0,0,0, , , , , , , , , , ,2,50.4666709899902,07070,00
2023,02,005007,031,11,03,010101,4,4,20230050070311103,4,1,2,2, ,2,2,38, ,1, , , ,0,0,0, , , , , , , , , , ,2,50.4666709899902,07070,00
2023,02,005007,031,11,04,010101,4,4,20230050070311104,5,1,3,2, ,2,2,11, , ,2,10, ,0,0,0, , , ,11, , , , , , ,2,50.4666709899902,07070,00
2023,02,005007,031,11,05,010101,4,4,20190050070311101,0, , , , , , , , , , , , , , , , , ,3, , , , , , , ,2,50.4666709899902,07070,00
2023,08,005027,006,11,01,010201,7,4,20190050270061101,1,1,1,1,2, ,1,37, ,1, , , ,1,1,1,1,0, , , , , , , , ,2,201.717651367188,06599,00
2023,08,005027,006,11,02,010201,7,4,20190050270061102,2,1,2,1,2, ,2,32, ,1, , , ,2,2,2,2,0, , , , , , , , ,2,201.717651367188,06599,00
2023,08,005027,006,11,03,010201,7,4,20190050270061103,3,1,3,1,2, ,2,13, ,6,1, ,21,3,3,0,3,0, , ,572,5212,5220,4721,1,1,2,201.717651367188,06599,00
