N°,Link,Job Title,Distrito,Modalidad
1,https://www.bumeran.com.pe/empleos/software-engineer-senior-grupo-gloria-1117976663.html,Software Engineer Senior,La Victoria,Presencial
2,https://www.bumeran.com.pe/empleos/programador-frontend-senior-sonda-del-peru-s.a.-1117973000.html,Programador Frontend Senior,Lima,Remoto
3,https://www.bumeran.com.pe/empleos/analista-programador-java-1117972678.html,Analista Programador Java,Lima,Presencial
4,https://www.bumeran.com.pe/empleos/analista-programador-sede-ate-bumeran-selecta-1117969140.html,Analista Programador - Sede ATE,Ate,Presencial
5,https://www.bumeran.com.pe/empleos/trainee-programador-jr-building-software-1117968407.html,Trainee Programador Jr,Miraflores,Presencial
6,https://www.bumeran.com.pe/empleos/desarrollador-full-stack-node.js-c-java-angularjs-ibr-peru-s.a.-1117967655.html,"Desarrollador Full Stack Node.js, C#, Java, AngularJS",Lima,Híbrido
7,https://www.bumeran.com.pe/empleos/java-developer-senior-inetum-peru-1117979249.html,Java Developer - Senior,Chorrillos,Híbrido
8,https://www.bumeran.com.pe/empleos/senior-react-developer-encora-1117979242.html,Senior React Developer,Magdalena del Mar,Híbrido
9,https://www.bumeran.com.pe/empleos/desarrollador-backend-semi-senior-metrica-peru-1117979121.html,Desarrollador Backend Semi-Senior,Lima,Remoto
10,https://www.bumeran.com.pe/empleos/desarrollador-lider-tecnico-protiviti-peru-1117978985.html,Desarrollador/ Líder Técnico,La Victoria,Presencial
11,https://www.bumeran.com.pe/empleos/desarrollador-de-integracion-osb-stefanini-peru-s.a-1117978939.html,Desarrollador de integración OSB,Lima,Remoto
12,https://www.bumeran.com.pe/empleos/desarrollador-java-senior-azure-temporal-indra-peru-1117978869.html,Desarrollador Java Senior (Azure) - Temporal,Lima,Híbrido
13,https://www.bumeran.com.pe/empleos/analista-desarrollador-java-sector-administracion-de-fondos-colectivos-experis-peru-1117978810.html,Analista Desarrollador Java - Sector Administración de Fondos Colectivos,La Victoria,Presencial
14,https://www.bumeran.com.pe/empleos/desarrollador-full-stack-surco-presencial-well-consulting-services-1117978454.html,Desarrollador Full Stack / Surco / Presencial,Santiago de Surco,Presencial
15,https://www.bumeran.com.pe/empleos/auditor-en-tasador-de-joyas-caja-metropolitana-de-lima-1117977845.html,Auditor en Tasador de Joyas,San Isidro,Presencial
16,https://www.bumeran.com.pe/empleos/programador-full-stack-java-react-valtx-1117977502.html,"Programador Full Stack (Java, React)",San Borja,Presencial
