DIRECCION;latitude;longitud;;;;
DIRECCIÓN;41.3671571;2.1391522;;;;
JR. SARGENTO LORES S/N A 2 CUADRAS DE LA GERENCIA SUB REGIONAL DE BAGUA;-5.6428867;-78.525286;;;;
AV. 26 DE DICIEMBRE 460. FRENTE A LA PLAZA DE ARMAS DE JUMBILLA.;-5.857687;-77.792343;;;;
AAHH SEÑOR DE LOS MILAGROS - JIRON MANUEL MOLLINEDO - CUADRA 4 - LOCAL COMUNAL 2DO PISO - (REFERENCIA POR LA LETRA Y AV. EVITAMIENTO);-12.0422714;-77.020402;;;;
JR GONZALO PUERTA N° 102 - DISTRITO SANTA MARIA DE NIEVA (FRENTE AL BANCO DE LA NACION);-4.6010065;-77.8610254;;;;
JR. GARCILASO DE LA VEGA N°264-LAMUD ( SEGUNDO PISO DEL MUSEO MUNIICIPAL;-6.1362221;-77.9505261;;;;
JR. MATIAZA RIMACHI N°510 (INT. MUNICIPALIDAD PROVINCIAL DE RODRIGUEZ DE MENDOZA;-6.3941102;-77.4855682;;;;
AV. CHACHAPOYAS 1944; INTERIOR 2DO PISO - COSTADO DEL BANDO DE CRÉDITO;-5.7567899;-78.4378428;;;
PLAZA DE ARMAS DE AIJA - JR. INDEPENDENCIA N° 480;;;;;;
AV. LLAMELLIN N° 728;-9.1034282;-77.014704;;;;
JIRON MANUEL GONZALES PRADA S/N (A DOS CUADRAS DEL PARQUE CENTRAL);;;;;;
JR. TACNA N° 320 SEGUNDO PISO; INTERIOR DEL CENTRO CÍVICO - PLAZA DE ARMAS;-12.0958018;-77.0729327;;;
1RA CDRA DEL JR. ICA; S/N (EXTERIOR DEL COLISEO CERRADO DE CARHUAZ);-9.281744;-77.6450215;;;
JR. PLAZA DE ARMAS N°506 - 1ER PISO DE LA MUNICIPALIDAD;;;;;;
MZ C LOTE 16 - LOCAL ONG- MAPAYMUMDI O EX SENATI (CENTRO CIVICO - CASMA);-9.4718308;-78.3006626;;;;
AV. JOSÉ GÁLVEZ N° 660; 3ER PISO - (COSTADO DE CAJA MUNICIPAL);-12.0667854;-77.0319585;;;
JR. GRAU 206; PLAZA DE ARMAS- INTERIOR DE LA MUNICIPALIDAD PROVINCIAL DE COROINGO;;;;;
AV. RAIMONI S/N CUADRA 10 - INTERIOR DE LA DIRECCION REGIONAL DEL MINISTERIO DEL TRABAJO Y DEL EMPELO.;;;;;;
JR. SAN MARTIN CDRA.10 -2DO PISO DEL MERCADO MODELO DE HUARI;-9.3483845;-77.1708039;;;;
JR.QUILIPE N° 145 - HUARMEY (LOCAL DE ONG- REAQUI RURACHUN- RADIO MANANTIAL);-10.0696687;-78.152911;;;;
"JR. SAN MARTIN S/N MZ. B6 LT. 1 - BARRIO MALAMBO. (INTERIOR DEL ESTADIO MUNICIPAL DE HUAYLAS ""GERARDO LARA"" PUERTA N° 2 OCCIDENTE)";10.8575824;-74.7746834;;;;
CALLE SAN PABLO S/N (COSTADO DEL RENIEC) - DISTRITO DE PISCOBAMBA; PROVINCIA MARISCAL LUZURIAGA);-8.8641745;-77.3581045;;;
AV. CENTRAL BRUCES S/N (INTERIOR DEL POLIDEPORTIVO BRUCES-PILAR NORES DE GARCIA);;;;;;
PLAZA DE ARMAS S/N - INTERIOR DE LA MUNICIPALIDAD PROVINCIAL DE OCROS - 3ER PISO;-10.4031418;-77.3977529;;;;
JR. PLAZA DE ARMAS N° 103-CABANA- PALLASCA;-8.3944043;-78.006695;;;;
JIRON PÉRU S/N- PLAZA DE ARMAS;-12.0460038;-77.0305458;;;;
JR. BOLIVAR N°290-INTERIOR DEL HOTEL PASTORURI;;;;;;
JR. 09 DE ENERO - S/N- PLAZA DE ARMAS (LOCAL ANTIGUO DE LA MUNICIPALIDAD PROVINCIAL DE SIHUAS;-8.5543698;-77.6309204;;;;
AV. ARIAS GRACIANI S/N (A MEDIA CUADRA DE LA PLAZA DE ARMAS);;;;;;
JR. LIMA S/N (SÓTANO DEL PARQUE CENTENARIO);-34.6064996;-58.4356338;;;;
AV. PERÚ S/N PUERTA 4 (ESTADIO MUNICIPAL LOS CHANCAS);-13.6568694;-73.3794303;;;;
CALLE CALVARIO CON ESQUINA CALLE HUANCA S/N; BARRIO ALTO;;;;;
AV. BALLON S/N - 1RA CUADRA (A LA ESPALDA DEL HOSPITAL DE CHALHUANCA;-14.2951956;-73.2423004;;;;
AV. FERNANDO BELAUNDE TERRY S/N - 5 ESQUINAS; FRENTE AL SEMÁFORO;;;;;
PLAZA DE ARMAS S/N - LOCAL DE LA MUNICIPALIDAD PROVINCIAL DE COTABAMBAS- DISTRITO DE TAMBOBAMBA.;-13.3010672;-71.9633913;;;;
AV. GRAU S/N - CHUQUIBAMBILLA (AL COSTADO DEL BANCO DE LA NACIÓN);-14.105258;-72.708062;;;;
AV JORGE CHAVEZ 808 (FRENTE A LA IGLESIA DEL PILAR);-16.4084458;-71.5368997;;;;
