address,lat,lng
"Av. El Sol s/n, Chorrillos",-12.1750078,-77.00036039999999
"Av. Eduardo Ordoñez 402, San Borja",-12.1058954,-77.0022264
"Av. Alameda Pérez de Toledo S/N, Santiago de Surco",-12.1634732,-76.9883138
"Prolongación Matellini s/n, Chorrillos",-12.181321,-77.0123152
"Las begonias 300 S/N, San Borja",-12.0954443,-76.9947088
"Av. Las Violetas S/N Cocharcas., Chorrillos",-12.1827141,-76.9932311
"calle de la ciencia 205, santo tomas, San Borja",-12.1067989,-77.0078972
"Prolongación Matellini s/n, Chorrillos",-12.181321,-77.0123152
"Las begonias 300 S/N, San Borja",-12.0954443,-76.9947088
"Av. Vilcabamba Mz. Z Lt. 8, Chorrillos",-12.1950752,-76.987785
"Av. Las Violetas S/N Cocharcas., Chorrillos",-12.1827141,-76.9932311
"Av. Jorge Chávez 489., Barranco",-12.1445678,-77.01444479999999
"Calle 1 y Calle 7 S/N, Asoc. Vivienda Los Inkas, Chorrillos",-12.1848841,-77.0074502
"Av.José Olaya Nº 176, Chorrillos",-12.1652726,-77.0238701
"Av. Jorge Basadre S/N., Chorrillos",-12.0963264,-77.0481835
"Av. Grau 500 - Los Rosales, Santiago de Surco",-12.1434327,-77.00473339999999
"Mz. G Lot. 20-02 Las Delicias de Villa., Chorrillos",-12.1983597,-76.9902276
"Av. Del Aire 1249 Urb. Javier Prado, San Luis",-12.0776384,-76.9983719
"Calle San Rodolfo Mz. 6 Lt 1, Chorrillos",-12.1907427,-77.0110815
"Av. Francisco de Zela, Santiago de Surco",-12.1515177,-76.9862776
"Panamericana Sur KM. 8.5, Santiago de Surco",-12.1434058,-76.98162669999999
"Jiron San Miguel 840, Surquillo",-12.0893267,-77.082773
"Calle Monti 300-350, San Borja",-12.0965966,-76.9997341
"Av. Santa Rosa S/N Buenos Aires de Villa., Chorrillos",-12.1876261,-77.0050131
"Calle comercio 193 -Pasaje Abelardo Gamarra 160, San Borja",-12.0853766,-77.0011616
"AV. Santa Rosa S/N, Chorrillos",-12.1914306,-77.0230519
