UNIVERSIDAD,DEPARTAMENTO,PROVINCIA,Latitude_univ,Longitude_univ
Universidad Nacional Mayor de San Marcos,LIMA,Lima,-12.0561578,-77.0845196
Universidad Nacional de San Cristóbal de Huamanga,AYACUCHO,Huamanga,-13.1612479,-74.2257722
Universidad Nacional de San Antonio Abad del Cusco,CUSCO,Cusco,-13.52193,-71.9583208
Universidad Nacional de Trujillo,LA LIBERTAD,Trujillo,-8.1150074,-79.03830479999999
Universidad Nacional de San Agustín de Arequipa,AREQUIPA,Arequipa,-16.3971385,-71.5371437
Universidad Nacional de Ingeniería,LIMA,Lima,-12.0231787,-77.04763009999999
Universidad Nacional Agraria La Molina,LIMA,Lima,-12.0817493,-76.9431895
Universidad Nacional San Luis Gonzaga,ICA,Ica,-14.0871322,-75.7335148
Universidad Nacional del Centro del Perú,JUNIN,Huancayo,-12.0330575,-75.23735669999999
Universidad Nacional de la Amazonía Peruana,LORETO,Maynas,-3.7459891,-73.24569939999999
Universidad Nacional del Altiplano,PUNO,Puno,-15.8243805,-70.0162544
Universidad Nacional de Piura,PIURA,Piura,-5.179310999999999,-80.6188325
Universidad Nacional de Cajamarca,CAJAMARCA,Cajamarca,-7.167159,-78.4965043
Universidad Nacional Federico Villarreal,LIMA,Lima,-12.0475555,-77.0404519
Universidad Nacional Agraria de la Selva,HUANUCO,Leoncio Prado,-9.3140208,-75.9966689
Universidad Nacional Hermilio Valdizán de Huánuco,HUANUCO,Huánuco,-9.9492894,-76.2503248
Universidad Nacional de Educación Enrique Guzmán y Valle,LIMA,Lima,-12.0663015,-76.9537651
Universidad Nacional Daniel Alcides Carrión,PASCO,Pasco,-10.668422,-76.254234
Universidad Nacional del Callao,CALLAO,Callao,-12.0613052,-77.11724869999999
Universidad Nacional José Faustino Sánchez Carrión,LIMA,Huaura,-11.1239202,-77.60824649999999
Universidad Nacional Pedro Ruiz Gallo,LAMBAYEQUE,Lambayeque,-6.7077407,-79.9042231
Universidad Nacional Jorge Basadre Grohmann,TACNA,Tacna,-18.0249985,-70.2505346
Universidad Nacional Santiago Antúnez de Mayolo,ANCASH,Huaraz,-9.5212334,-77.5287365
Universidad Nacional de San Martín,SAN MARTIN,San Martín,-34.5789316,-58.526188
Universidad Nacional de Ucayali,UCAYALI,Coronel Portillo,-8.3949316,-74.5776011
Universidad Nacional de Tumbes,TUMBES,Tumbes,-3.585267,-80.443305
Universidad Nacional del Santa,ANCASH,Santa,-9.120889499999999,-78.5133316
Universidad Nacional de Huancavelica,HUANCAVELICA,Huancavelica,-12.7781213,-74.9614419
Universidad Nacional Amazónica de Madre de Dios,MADRE DE DIOS,Tambopata,-12.5885658,-69.2095274
Universidad Nacional Toribio Rodríguez de Mendoza de Amazonas,AMAZONAS,Chachapoyas,-6.233540899999999,-77.8531651
Universidad Nacional Micaela Bastidas de Apurímac,APURIMAC,Abancay,-13.6175533,-72.8681635
Universidad Nacional Intercultural de la Amazonía,UCAYALI,Coronel Portillo,-8.3478339,-74.5906663
Universidad Nacional Tecnológica de Lima Sur (*1),LIMA,Lima,-12.2142873,-76.932559
Universidad Nacional José María Arguedas,APURIMAC,Andahuaylas,-13.6572948,-73.3879058
Universidad Nacional de Moquegua,MOQUEGUA,Mariscal Nieto,-17.190051,-70.93658599999999
Universidad Nacional de Juliaca,PUNO,San Román,-15.4881271,-70.1497667
Universidad Nacional de Jaén,CAJAMARCA,Jaén,-5.7084515,-78.8079421
Universidad Nacional de Frontera,PIURA,Sullana,-4.909966,-80.72844239999999
