Department_univ,Province_univ,Name_univ,Adress_univ,Latitude_univ,Longitude_univ
Lima,Lima,Universidad Nacional Mayor de San Marcos,"Universidad Nacional Mayor de San Marcos, Lima, Lima",-12.0561578,-77.0845196
Ayacucho,Huamanga,Universidad Nacional de San Cristóbal de Huamanga,"Universidad Nacional de San Cristóbal de Huamanga, Huamanga, Ayacucho",-13.1612479,-74.2257722
Cusco,Cusco,Universidad Nacional de San Antonio Abad del Cusco,"Universidad Nacional de San Antonio Abad del Cusco, Cusco, Cusco",-13.52193,-71.9583208
La Libertad,Trujillo,Universidad Nacional de Trujillo,"Universidad Nacional de Trujillo, Trujillo, La Libertad",-8.1150074,-79.03830479999999
Arequipa,Arequipa,Universidad Nacional de San Agustín de Arequipa,"Universidad Nacional de San Agustín de Arequipa, Arequipa, Arequipa",-16.3971385,-71.5371437
Lima,Lima,Universidad Nacional de Ingeniería,"Universidad Nacional de Ingeniería, Lima, Lima",-12.0231787,-77.04763009999999
Lima,Lima,Universidad Nacional Agraria La Molina,"Universidad Nacional Agraria La Molina, Lima, Lima",-12.0817493,-76.9431895
Ica,Ica,Universidad Nacional San Luis Gonzaga,"Universidad Nacional San Luis Gonzaga, Ica, Ica",-14.0871322,-75.7335148
Junín,Huancayo,Universidad Nacional del Centro del Perú,"Universidad Nacional del Centro del Perú, Huancayo, Junín",-12.0330464,-75.237332
Loreto,Maynas,Universidad Nacional de la Amazonía Peruana,"Universidad Nacional de la Amazonía Peruana, Maynas, Loreto",-3.7459891,-73.24569939999999
Puno,Puno,Universidad Nacional del Altiplano,"Universidad Nacional del Altiplano, Puno, Puno",-15.8243805,-70.0162544
Piura,Piura,Universidad Nacional de Piura,"Universidad Nacional de Piura, Piura, Piura",-5.179310999999999,-80.6188325
Cajamarca,Cajamarca,Universidad Nacional de Cajamarca,"Universidad Nacional de Cajamarca, Cajamarca, Cajamarca",-7.167159,-78.4965043
Lima,Lima,Universidad Nacional Federico Villarreal,"Universidad Nacional Federico Villarreal, Lima, Lima",-12.0475555,-77.0404519
Huánuco,Leoncio Prado,Universidad Nacional Agraria de la Selva,"Universidad Nacional Agraria de la Selva, Leoncio Prado, Huánuco",-9.3140208,-75.9966689
Huánuco,Huánuco,Universidad Nacional Hermilio Valdizán de Huánuco,"Universidad Nacional Hermilio Valdizán de Huánuco, Huánuco, Huánuco",-9.9492894,-76.2503248
Lima,Lima,Universidad Nacional de Educación Enrique Guzmán y Valle,"Universidad Nacional de Educación Enrique Guzmán y Valle, Lima, Lima",-12.0663015,-76.9537651
Pasco,Pasco,Universidad Nacional Daniel Alcides Carrión,"Universidad Nacional Daniel Alcides Carrión, Pasco, Pasco",-10.668422,-76.254234
Callao,Callao,Universidad Nacional del Callao,"Universidad Nacional del Callao, Callao, Callao",-12.0613052,-77.11724869999999
Lima,Huaura,Universidad Nacional José Faustino Sánchez Carrión,"Universidad Nacional José Faustino Sánchez Carrión, Huaura, Lima",-11.1239202,-77.60824649999999
Lambayeque,Lambayeque,Universidad Nacional Pedro Ruiz Gallo,"Universidad Nacional Pedro Ruiz Gallo, Lambayeque, Lambayeque",-6.706427799999999,-79.9066624
Tacna,Tacna,Universidad Nacional Jorge Basadre Grohmann,"Universidad Nacional Jorge Basadre Grohmann, Tacna, Tacna",-18.0249985,-70.2505346
Ancash,Huaraz,Universidad Nacional Santiago Antúnez de Mayolo,"Universidad Nacional Santiago Antúnez de Mayolo, Huaraz, Ancash",-9.5212334,-77.5287365
San Martín,San Martín,Universidad Nacional de San Martín,"Universidad Nacional de San Martín, San Martín, San Martín",-34.5789316,-58.526188
Ucayali,Coronel Portillo,Universidad Nacional de Ucayali,"Universidad Nacional de Ucayali, Coronel Portillo, Ucayali",-8.3949316,-74.5776011
Tumbes,Tumbes,Universidad Nacional de Tumbes,"Universidad Nacional de Tumbes, Tumbes, Tumbes",-3.585267,-80.443305
Ancash,Santa,Universidad Nacional del Santa,"Universidad Nacional del Santa, Santa, Ancash",-9.120889499999999,-78.5133316
Huancavelica,Huancavelica,Universidad Nacional de Huancavelica,"Universidad Nacional de Huancavelica, Huancavelica, Huancavelica",-12.7781213,-74.9614419
Madre De Dios,Tambopata,Universidad Nacional Amazónica de Madre de Dios,"Universidad Nacional Amazónica de Madre de Dios, Tambopata, Madre De Dios",-12.5885658,-69.2095274
Amazonas,Chachapoyas,Universidad Nacional Toribio Rodríguez de Mendoza de Amazonas,"Universidad Nacional Toribio Rodríguez de Mendoza de Amazonas, Chachapoyas, Amazonas",-6.233540899999999,-77.8531651
Apurímac,Abancay,Universidad Nacional Micaela Bastidas de Apurímac,"Universidad Nacional Micaela Bastidas de Apurímac, Abancay, Apurímac",-13.6175533,-72.8681635
Ucayali,Coronel Portillo,Universidad Nacional Intercultural de la Amazonía,"Universidad Nacional Intercultural de la Amazonía, Coronel Portillo, Ucayali",-8.3478339,-74.5906663
Lima,Lima,Universidad Nacional Tecnológica de Lima Sur (*1),"Universidad Nacional Tecnológica de Lima Sur (*1), Lima, Lima",-12.2142873,-76.932559
Apurímac,Andahuaylas,Universidad Nacional José María Arguedas,"Universidad Nacional José María Arguedas, Andahuaylas, Apurímac",-13.6572948,-73.3879058
Moquegua,Mariscal Nieto,Universidad Nacional de Moquegua,"Universidad Nacional de Moquegua, Mariscal Nieto, Moquegua",-17.190051,-70.93658599999999
Puno,San Román,Universidad Nacional de Juliaca,"Universidad Nacional de Juliaca, San Román, Puno",-15.4881271,-70.1497667
Cajamarca,Jaén,Universidad Nacional de Jaén,"Universidad Nacional de Jaén, Jaén, Cajamarca",-5.6983568,-78.8096319
Piura,Sullana,Universidad Nacional de Frontera,"Universidad Nacional de Frontera, Sullana, Piura",-4.909966,-80.72844239999999
Cajamarca,Chota,Universidad Nacional Autónoma de Chota,"Universidad Nacional Autónoma de Chota, Chota, Cajamarca",-6.555663699999999,-78.6381006
