Address,latitude,longitude
JIRON JOSE GALVEZ 113 SAN MARCOS,-12.0903847,-77.072941
AV. JULIO VILLACORTA S/N - INTERIOR DE LA MUNICIPALIDAD PROVINCIAL DE PURÚS,-9.7720457,-70.70953700000001
AAHH VICENTE CHUNGA ALDANA MZ O LOTE 1 (INTERIOR DEL AUDITORIO MUNICIPAL),-12.0384329,-76.9570244
JR. AREQUIPA Nº 857 (INTERIOR DEL EDIFICIO DE LA BENEFICENCIA PUBLICA 1ER PISO),-16.4090474,-71.53745099999999
PLAZA MUNICIPAL S/N DISTRITO DE SAYLLA-PALACIO MUNICIPAL,-13.5506489,-71.82748459999999
JIRON LUIS DALLE S/N TERMINAL RINCONADA AYAVIRI - MELGAR 2DO PISO - A ESPALDAS DEL HOSPITAL.,-14.8842942,-70.5889612
JIRON ARIAS N° 518 - DISTRITO CAJABAMBA (COSTADO DE SUNARP),-7.6395065,-78.04236829999999
JR. AGUSTO B. LEGUÍA N° 1126 (CENTRO CIVICO 1ER PSIO),-6.481429599999999,-76.3678685
"JR. PROGRESO, CUADRA 4- FRENTE A LA GOBERNACIÓN PROVINCIAL.",,
JR. GARCILASO DE LA VEGA N°264-LAMUD ( SEGUNDO PISO DEL MUSEO MUNIICIPAL,-6.136222099999999,-77.95052609999999
PLAZA DE ARMAS S/N - INTERIOR DEL PALACIO MUNICIPAL 3ER PISO. (EX RADIO MUNICIPAL),,
AV. CIRCUNVALACION ERICKSON S/N * 2PISO DEL TERMINAL TERRESTRE - PAUCARTAMBO,-13.3140102,-71.5931657
AV. LOS LIBERTADORES S/N ( INT. DE LA MUNICIPALIDAD PROVINCIAL DE CASTROVIRREYNA),-13.2833411,-75.31819469999999
JIRON TACNA 338 - 2DO PISO (BIBLIOTECA MUNICPAL DE NASCA ),-18.0065679,-70.2462741
PASAJE SANTA ZORAYA  ESQUINA CON INDEPENDENCIA S/N,,
"AV. VÍCTOR MALASQUES S/N PORTADA DE
MANCHAY (CENTRO CULTURAL DEL ESPÍRITU SANTO, AL FRENTE DE LA PARROQUIA ESPIRITU SANTOY FRENTE AL CENTRO DE SALUD PORTADA DE MANCHAY).",-12.0889191,-76.8818604
"CARLOS P. SAENZ – 1RA CUADRA -2DO PISO, CABALLO COCHA -MARISCAL RAMON CASTILLLA",-3.9072082,-70.5165822
JR. BOLOGNESI N° 108 (A MEDIA PLAZA DE ARMAS DE PUQUIO) - MUNICIPALIDAD PROVINCIAL DE LUCANAS -PUQUIO,-14.6940206,-74.12416069999999
AV. ARIAS GRACIANI S/N (A MEDIA CUADRA DE LA PLAZA DE ARMAS),,
"MZ Z , PRIMA N°1, LOTE 3 SECTOR D , PROYECTO PILOTO NUEVA PACHACUTEC.",-12.0384329,-76.9570244
"AV. GRAU S/N, SEGUNDO PISO (AL COSTADO DE LA FISCALIA. ANTIGUO LOCAL DEL MUNICIPIO)",-12.0516677,-77.0280674
AV. GRAU S/N - CHUQUIBAMBILLA (AL COSTADO DEL BANCO DE LA NACIÓN),-14.105258,-72.708062
PANAMERICANA SUR KM 318-LOCAL MUNICIPAL,-15.8759768,-74.1731891
AV. MARISCAL CÁCERES N° 1720 - CASA DE LA AMISTAD PRIMER- COSTADO DE MIGRACIONES,-7.179000699999999,-76.73096439999999
JIRON NICOLAS DE PIEROLA 204 (ESQUINA CON CALLE CESAR VALLEJO - 2 PISO),-12.1326738,-76.9961508
"AV CIRCUNVALACION 898 LA MERCED,CHANCHAMAYO(COLISEO MUNICIPAL)",-11.0545869,-75.3303317
CALLE RIOJA N° 659 - DISTRITO DE RAYMONDI (REF. INTERIOR DEL LOCAL DE LA MUNICIPALIDAD),-30.981979,-64.1057959
"JR. AYACUCHO 1036, PLAZA PRINCIPAL DE DISTITO DE APATA",-12.0569212,-77.0287397
PLAZA BUENOS AIRES N° 100 APLAO,-16.0761834,-72.49215300000002
JR. IQUITOS N° 260 (BIBLIOTECA MUNICIPAL DE BELLAVISTA- 2DO PISO,-3.7436735,-73.25163260000001
