Lat,Lon,gem
-12.0640261,-77.057863,JIRÓN NAPO 1445 DISTRITO BREÑA PROVINCIA LIMA DEPARTAMENTO LIMA 
-12.0539769,-77.04809379999999,JIRÓN CARHUAZ 509 DISTRITO BREÑA PROVINCIA LIMA DEPARTAMENTO LIMA 
-12.0649989,-77.0458398,AVENIDA AV. BRASIL Nº 600 DISTRITO BREÑA PROVINCIA LIMA DEPARTAMENTO LIMA 
-12.0777608,-77.0533657,AV. ARNALDO MÁRQUEZ 1750
-12.0724685,-77.0378661,JIRÓN PABLO BERMUDEZ 226 JESUS MARIA LIMA LIMA 
-12.0780012,-77.0402132,JIRÓN EDGARDO REBAGLIATI NÚMERO 490 DISTRITO JESUS MARIA PROVINCIA LIMA DEPARTAMENTO LIMA 
-12.0536065,-77.0227298,JIRÓN CUZCO 927 DISTRITO LIMA PROVINCIA LIMA DEPARTAMENTO LIMA 
-12.0447044,-77.012886,JR ANCASH 1529 AAHH ROSA DE SANTA MARIA
-12.03907,-77.05046349999999,JIRÓN CONDE DE LA VEGA BAJA 488 DISTRITO LIMA PROVINCIA LIMA DEPARTAMENTO LIMA 
-11.9335693,-77.0528997,JIRÓN BRUNO TERREROS 144 DISTRITO LIMA PROVINCIA LIMA DEPARTAMENTO LIMA 
-12.0463731,-77.042754,JIRÓN JR PRATT S/N AAHH 11 DE OCTUBRE S/N JR PRATT S/N AAHH 11 DE OCTUBRE LIMA LIMA LIMA 
-12.0421209,-77.0830735,AVENIDA MZ L LOTE 20 AAHH 1° DE SETIEMBRE ALT CUADRA 21 AV MATERIALES DISTRITO LIMA PROVINCIA LIMA DEPARTAMENTO LIMA 
-12.0364634,-77.0692834,CALLE CRESPO Y CASTILLO S/N ALTURA CUADRA 11 AV MORALES DUAREZ
-12.042849,-77.0387034,JIRÓN ICA 774-778 DISTRITO LIMA PROVINCIA LIMA DEPARTAMENTO LIMA 
-12.0527364,-77.06701699999999,AVENIDA LUIS BRAYLE NÚMERO 13 DISTRITO LIMA PROVINCIA LIMA DEPARTAMENTO LIMA 
-12.0523494,-77.06939799999999,BLOCK Nº 1 UNIDAD VECINAL Nº 3 DISTRITO LIMA PROVINCIA LIMA DEPARTAMENTO LIMA 
-12.0377826,-77.0545865,JIRÓN VILLA MARIA 745 DISTRITO LIMA PROVINCIA LIMA DEPARTAMENTO LIMA 
-12.0496437,-77.0622898,"Jr. Noruega N 2269. Mz. B. lte. 17, Distrito Lima"
-12.0567551,-77.016015,PARQUE HISTORIA DE LA MEDICINA PERUANA S/N ALTURA CUADRA 13 AV GRAU
-12.0499981,-77.0426547,AVENIDA AV. ALFONSO UGARTE 848 DISTRITO LIMA PROVINCIA LIMA DEPARTAMENTO LIMA 
-12.0527686,-77.0221638,JIRÓN ANTONIO MIROQUESADA Nº 941 JR. ANTONIO MIROQUESADA Nº 941 LIMA LIMA LIMA 
-12.0497573,-77.0419326,AVENIDA AV ALFONSO UGARTE Nº 825 LIMA CERCADO 825 AV ALFONSO UGARTE Nº 825 LIMA CERCADO LIMA LIMA LIMA 
-12.0589621,-77.0310482,AVENIDA AVENIDA GRAU N° 351 DISTRITO LIMA PROVINCIA LIMA DEPARTAMENTO LIMA 
-12.0626769,-77.0393019,JIRÓN CHINCHA 226 DISTRITO LIMA PROVINCIA LIMA DEPARTAMENTO LIMA 
-12.0591194,-77.04006729999999,JIRÓN CHOTA Nº 1449 - CERCADO DE LIMA DISTRITO LIMA PROVINCIA LIMA DEPARTAMENTO LIMA 
-12.0449863,-77.04420569999999,JIRÓN JIRÓN GUILLERMO DANSEY Nº 390 DISTRITO LIMA PROVINCIA LIMA DEPARTAMENTO LIMA 
-12.081894,-77.031863,JIRÓN MANUEL CANDAMO 495 DISTRITO LINCE PROVINCIA LIMA DEPARTAMENTO LIMA 
-12.0863632,-77.02761509999999,CALLE LAS LILAS 223 SAN EUGENIO -LINCE DISTRITO LINCE PROVINCIA LIMA DEPARTAMENTO LIMA 
-12.0886837,-77.0685299,JIRÓN JUNÍN 322 DISTRITO MAGDALENA DEL MAR PROVINCIA LIMA DEPARTAMENTO LIMA 
