Address,Latitude,Longitude
"LIMA, LIMA, BREÑA, JIRÓN NAPO 1445 DISTRITO BREÑA PROVINCIA LIMA DEPARTAMENTO LIMA ",-12.0640261,-77.057863
"LIMA, LIMA, BREÑA, JIRÓN CARHUAZ 509 DISTRITO BREÑA PROVINCIA LIMA DEPARTAMENTO LIMA ",-12.0539769,-77.04809379999999
"LIMA, LIMA, BREÑA, AVENIDA AV. BRASIL Nº 600 DISTRITO BREÑA PROVINCIA LIMA DEPARTAMENTO LIMA ",-12.0649989,-77.0458398
"LIMA, LIMA, JESUS MARIA, AV. ARNALDO MÁRQUEZ 1750",-12.0777608,-77.0533657
"LIMA, LIMA, JESUS MARIA, JIRÓN PABLO BERMUDEZ 226 JESUS MARIA LIMA LIMA ",-12.0724685,-77.0378661
"LIMA, LIMA, JESUS MARIA, JIRÓN EDGARDO REBAGLIATI NÚMERO 490 DISTRITO JESUS MARIA PROVINCIA LIMA DEPARTAMENTO LIMA ",-12.0780012,-77.0402132
"LIMA, LIMA, LIMA, JIRÓN CUZCO 927 DISTRITO LIMA PROVINCIA LIMA DEPARTAMENTO LIMA ",-12.0536065,-77.0227298
"LIMA, LIMA, LIMA, JR ANCASH 1529 AAHH ROSA DE SANTA MARIA",-12.0447044,-77.012886
"LIMA, LIMA, LIMA, JIRÓN CONDE DE LA VEGA BAJA 488 DISTRITO LIMA PROVINCIA LIMA DEPARTAMENTO LIMA ",-12.03907,-77.05046349999999
"LIMA, LIMA, LIMA, JIRÓN BRUNO TERREROS 144 DISTRITO LIMA PROVINCIA LIMA DEPARTAMENTO LIMA ",-11.9335693,-77.0528997
"LIMA, LIMA, LIMA, JIRÓN JR PRATT S/N AAHH 11 DE OCTUBRE S/N JR PRATT S/N AAHH 11 DE OCTUBRE LIMA LIMA LIMA ",-12.0463731,-77.042754
"LIMA, LIMA, LIMA, AVENIDA MZ L LOTE 20 AAHH 1° DE SETIEMBRE ALT CUADRA 21 AV MATERIALES DISTRITO LIMA PROVINCIA LIMA DEPARTAMENTO LIMA ",-12.0421209,-77.0830735
"LIMA, LIMA, LIMA, CALLE CRESPO Y CASTILLO S/N ALTURA CUADRA 11 AV MORALES DUAREZ",-12.0364634,-77.0692834
"LIMA, LIMA, LIMA, JIRÓN ICA 774-778 DISTRITO LIMA PROVINCIA LIMA DEPARTAMENTO LIMA ",-12.042849,-77.0387034
"LIMA, LIMA, LIMA, AVENIDA LUIS BRAYLE NÚMERO 13 DISTRITO LIMA PROVINCIA LIMA DEPARTAMENTO LIMA ",-12.0527364,-77.06701699999999
"LIMA, LIMA, LIMA, BLOCK Nº 1 UNIDAD VECINAL Nº 3 DISTRITO LIMA PROVINCIA LIMA DEPARTAMENTO LIMA ",-12.0523494,-77.06939799999999
"LIMA, LIMA, LIMA, JIRÓN VILLA MARIA 745 DISTRITO LIMA PROVINCIA LIMA DEPARTAMENTO LIMA ",-12.0377826,-77.0545865
"LIMA, LIMA, LIMA, Jr. Noruega N 2269. Mz. B. lte. 17, Distrito Lima",-12.0496437,-77.0622898
"LIMA, LIMA, LIMA, PARQUE HISTORIA DE LA MEDICINA PERUANA S/N ALTURA CUADRA 13 AV GRAU",-12.0567551,-77.016015
