Address,Latitude,Longitude
"LA LIBERTAD, TRUJILLO, TRUJILLO, AVENIDA AMERICA NORTE 1367 PRIMERO Y SEGUNDO PISO-URB. LAS QUINTANAS",-8.093975,-79.0250068
"LA LIBERTAD, TRUJILLO, TRUJILLO, AV. AMERICA OESTE 750, EDIFICIO MEDICO #1A  , 2,3 Y 4 PISO URB EL INGENIO (C.C. MALL AVENTURA PLAZA)",-8.104940599999999,-79.04646199999999
"LA LIBERTAD, TRUJILLO, TRUJILLO, PASAJE URUGUAY NÚMERO 139 URBANIZACIÓN TORRES ARAUJO DISTRITO TRUJILLO PROVINCIA TRUJILLO DEPARTAMENTO LA LIBERTAD ",-8.1165051,-79.0255799
"LA LIBERTAD, TRUJILLO, TRUJILLO, CALLE DELFIN CORCUERA NÚMERO 152 PISO 1 URBANIZACIÓN SANTA MARIA DISTRITO TRUJILLO PROVINCIA TRUJILLO DEPARTAMENTO LA LIBERTAD ",-8.1183803,-79.0233841
"LA LIBERTAD, TRUJILLO, TRUJILLO, AVENIDA AV. LARCO Nº 620 - 630 URB. SAN ANDRÉS DISTRITO TRUJILLO PROVINCIA TRUJILLO DEPARTAMENTO LA LIBERTAD ",-8.120304599999999,-79.0353327
"LA LIBERTAD, TRUJILLO, TRUJILLO, CALLE COLOMBIA 131 URB. EL RECREO",-8.1168332,-79.03043699999999
"LA LIBERTAD, TRUJILLO, TRUJILLO, AVENIDA MANSICHE  844 INTERIOR 102 URBANIZACION SANTA INES - TRUJILLO",-8.1036929,-79.0372603
"LA LIBERTAD, TRUJILLO, TRUJILLO, AV. BLAS PASCAL 139- LA NORIA",-8.1032756,-79.0103932
"LA LIBERTAD, TRUJILLO, TRUJILLO, JIRON GRAU Nº 677",-8.111962799999999,-79.0234803
"LA LIBERTAD, TRUJILLO, TRUJILLO, AVENIDA MIRAFLORES NÚMERO 874 PISO 1 DISTRITO TRUJILLO PROVINCIA TRUJILLO DEPARTAMENTO LA LIBERTAD ",-8.0994916,-79.0208747
"LA LIBERTAD, TRUJILLO, TRUJILLO, CALLE LOS RUBIES Nº. 103 INT. 401 - 402 URB. SANTA INES",-8.1034541,-79.0366738
"LA LIBERTAD, TRUJILLO, TRUJILLO, JR. BOLOGNESI Nº 646 INT C-02 1ER. PISO-CERCADO",-8.1149595,-79.02825729999999
"LA LIBERTAD, TRUJILLO, TRUJILLO, AVENIDA MOCHE N?ERO 429 URBANIZACI? CHICAGO DISTRITO TRUJILLO PROVINCIA TRUJILLO DEPARTAMENTO LA LIBERTAD ",-8.1196211,-79.0244179
"LA LIBERTAD, TRUJILLO, TRUJILLO, CALLE LOS ZAFIROS NÚMERO 330 PISO 1 URBANIZACIÓN SANTA INÉS BARRIO MÉDICO DISTRITO TRUJILLO PROVINCIA TRUJILLO DEPARTAMENTO LA LIBERTAD ",-8.10248,-79.0363648
"LA LIBERTAD, TRUJILLO, TRUJILLO, CALLE. DIAZ DE CABRERA NRO. 331 URB. SAN ANDRES",-8.1138189,-79.0340614
"LA LIBERTAD, TRUJILLO, TRUJILLO, AV. AMERICA OESTE N° 750 EDIFICIO N° 1A INT. 2, 2°PISO CENTRO COMERCIAL MALL AVENTURA PLAZA",-8.1021123,-79.0482856
"LA LIBERTAD, TRUJILLO, TRUJILLO, CALLE TAKAYNAMO LOTE 10 SECTOR LA ARENITA",-8.1177416,-79.0209723
"LA LIBERTAD, TRUJILLO, TRUJILLO, CALLE CALLE COLOMBIA N° 109 - URB. EL RECREO DISTRITO TRUJILLO PROVINCIA TRUJILLO DEPARTAMENTO LA LIBERTAD ",-8.1166589,-79.0309466
"LA LIBERTAD, TRUJILLO, TRUJILLO, AVENIDA AV. TEODORO VALCARCEL N° 1195 - URB. SANTA LEONOR AV. TEODORO VALCARCEL N° 1195 - URB. SANTA LEONOR TRUJILLO TRUJILLO LA LIBERTAD ",-8.0942484,-79.0299222
"LA LIBERTAD, TRUJILLO, TRUJILLO, CALLE BLAS PASCAL 332 URBANIZACION LA NORIA",-8.1047946,-79.0086352
"LA LIBERTAD, TRUJILLO, TRUJILLO, AVENIDA MANUEL VERA ENRIQUEZ NRO 833 1ER Y 2DO PISO URBANIZACIÓN PRIMAVERA DISTRITO TRUJILLO PROVINCIA TRUJILLO DEPARTAMENTO LA LIBERTAD ",-8.1015433,-79.0353092
"LA LIBERTAD, TRUJILLO, TRUJILLO, CALLE CAL.TAKAYNAMO MZA. S/N LOTE. 10 A.H. LA ARENITA NÚMERO S/N DISTRITO TRUJILLO PROVINCIA TRUJILLO DEPARTAMENTO LA LIBERTAD ",-8.100007399999999,-79.0469573
"LA LIBERTAD, TRUJILLO, TRUJILLO, AVENIDA AVENIDA 5 DE ABRIL MZ 12 LOTE 1 PESQUEDA II DISTRITO TRUJILLO PROVINCIA TRUJILLO DEPARTAMENTO LA LIBERTAD ",-8.1000135,-78.99842439999999
"LA LIBERTAD, TRUJILLO, TRUJILLO, CALLE. CIRO ALEGRIA # 777, URB. LAS QUINTANAS",-8.099819499999999,-79.0266372
"LA LIBERTAD, TRUJILLO, TRUJILLO, AVENIDA AV.JESUS DE NAZARETH NO305 URB SAN ANDRES DISTRITO TRUJILLO PROVINCIA TRUJILLO DEPARTAMENTO LA LIBERTAD ",-8.1143698,-79.0323447
"LA LIBERTAD, TRUJILLO, TRUJILLO, BOLOGNESI Nº 310, OF. 108",-8.1166655,-79.02657239999999
"LA LIBERTAD, TRUJILLO, TRUJILLO, AVENIDA JUAN PABLO II NÚMERO 519 URBANIZACIÓN SAN ANDRES DISTRITO TRUJILLO PROVINCIA TRUJILLO DEPARTAMENTO LA LIBERTAD ",-8.1172341,-79.0382174
"LA LIBERTAD, TRUJILLO, TRUJILLO, AVENIDA AV.ESPAÑA 2526 PRIMER PISO - TRUJILLO DISTRITO TRUJILLO PROVINCIA TRUJILLO DEPARTAMENTO LA LIBERTAD ",-8.1161995,-79.02734439999999
"LA LIBERTAD, TRUJILLO, TRUJILLO, PROLONGACIÓN PROLONGACIÓN SANTA Nº 2190 LA MARQUEZA DISTRITO TRUJILLO PROVINCIA TRUJILLO DEPARTAMENTO LA LIBERTAD ",-8.0880565,-79.01212919999999
"LA LIBERTAD, TRUJILLO, TRUJILLO, AVENIDA DEL EJERCITO NÚMERO 735 URBANIZACIÓN EL MOLINO DISTRITO TRUJILLO PROVINCIA TRUJILLO DEPARTAMENTO LA LIBERTAD ",-8.101340600000002,-79.0206591
"LA LIBERTAD, TRUJILLO, TRUJILLO, JR. INDEPENDENCIA Nº 127 – INTERIOR 206",-8.1143324,-79.0318293
"LA LIBERTAD, TRUJILLO, TRUJILLO, AVENIDA AV. MOCHE N° 549 -2° PISO-  URB. SANTA MARIA DISTRITO TRUJILLO PROVINCIA TRUJILLO DEPARTAMENTO LA LIBERTAD ",-8.1185379,-79.02460719999999
"LA LIBERTAD, TRUJILLO, TRUJILLO, AVENIDA AV. AMERICA SUR N° 3145 AV. AMERICA SUR N° 3145 TRUJILLO TRUJILLO LA LIBERTAD ",-8.1270279,-79.0314758
"LA LIBERTAD, TRUJILLO, TRUJILLO, JR. MIGUEL GRAU Nº 655, 2DO PISO – OF. 102",-8.1121354,-79.0237538
"LA LIBERTAD, TRUJILLO, TRUJILLO, AVENIDA America Oeste NÚMERO 16 MANZANA C LOTE 16 URBANIZACIÓN La Esmeralda DISTRITO TRUJILLO PROVINCIA TRUJILLO DEPARTAMENTO LA LIBERTAD ",-8.096369,-79.04143739999999
"LA LIBERTAD, TRUJILLO, TRUJILLO, AVENIDA 28 DE JULIO N?ERO 164 PISO 1 URBANIZACI? EL RECREO DISTRITO TRUJILLO PROVINCIA TRUJILLO DEPARTAMENTO LA LIBERTAD ",-8.1166922,-79.0296376
"LA LIBERTAD, TRUJILLO, TRUJILLO, AVENIDA HUSARES DE JUNIN N?ERO 690 PISO 3 URBANIZACI? LA MERCED DISTRITO TRUJILLO PROVINCIA TRUJILLO DEPARTAMENTO LA LIBERTAD ",-8.1234383,-79.0346941
"LA LIBERTAD, TRUJILLO, TRUJILLO, CALLE VENEZUELA 220 EL RECREO TRUJILLO TRUJILLO LA LIBERTAD ",-8.1197544,-79.0316589
"LA LIBERTAD, TRUJILLO, TRUJILLO, JIRON UNION #881",-8.1032321,-79.0164889
"LA LIBERTAD, TRUJILLO, TRUJILLO, AVENIDA AV. NICOLÁS DE PIÉROLA Nº 872 DISTRITO TRUJILLO PROVINCIA TRUJILLO DEPARTAMENTO LA LIBERTAD ",-8.0870562,-79.0426178
"LA LIBERTAD, TRUJILLO, TRUJILLO, AVENIDA AV AMERICA NORTE N°1020-2DO PISO/URB. LOS JARDINES DISTRITO TRUJILLO PROVINCIA TRUJILLO DEPARTAMENTO LA LIBERTAD ",-8.0947785,-79.0210707
"LA LIBERTAD, TRUJILLO, TRUJILLO, AVENIDA AV.MOCHE N°475 TERCER PISO DPTO.303 DISTRITO TRUJILLO PROVINCIA TRUJILLO DEPARTAMENTO LA LIBERTAD ",-8.1178124,-79.02476539999999
"LA LIBERTAD, TRUJILLO, TRUJILLO, AVENIDA MOCHE NÚMERO 955 PISO 1 URBANIZACIÓN SANTA MARIA DISTRITO TRUJILLO PROVINCIA TRUJILLO DEPARTAMENTO LA LIBERTAD ",-8.122575399999999,-79.0232075
"LA LIBERTAD, TRUJILLO, TRUJILLO, JR BOLOGNESI 740",-8.1157978,-79.0274853
"LA LIBERTAD, TRUJILLO, TRUJILLO, AVENIDA AV JESUS DE NAZARETH S/N RESIDENCIAL ALBRECHT N?ERO S/N DISTRITO TRUJILLO PROVINCIA TRUJILLO DEPARTAMENTO LA LIBERTAD ",-8.1074939,-79.04496619999999
"LA LIBERTAD, TRUJILLO, TRUJILLO, AVENIDA LOS INCAS N?ERO 130 PISO 1 DISTRITO TRUJILLO PROVINCIA TRUJILLO DEPARTAMENTO LA LIBERTAD ",-8.115603799999999,-79.0224863
"LA LIBERTAD, TRUJILLO, TRUJILLO, PROLONGACION UNION Nº 1377 - DANIEL HOYLE",-8.0989455,-79.012422
"LA LIBERTAD, TRUJILLO, TRUJILLO, CALLE COSTA RICA NÚMERO 229 URBANIZACIÓN TORRES ARAUJO DISTRITO TRUJILLO PROVINCIA TRUJILLO DEPARTAMENTO LA LIBERTAD ",-8.1187028,-79.0254593
"LA LIBERTAD, TRUJILLO, TRUJILLO, AVENIDA AV. MANUEL VERA ENRIQUEZ 833 TERCER PISO URB. PRIMAVERA DISTRITO TRUJILLO PROVINCIA TRUJILLO DEPARTAMENTO LA LIBERTAD ",-8.1015433,-79.0353092
"LA LIBERTAD, TRUJILLO, TRUJILLO, AVENIDA DEL EJERCITO NÚMERO 440 URBANIZACIÓN EL MOLINO DISTRITO TRUJILLO PROVINCIA TRUJILLO DEPARTAMENTO LA LIBERTAD ",-8.1032777,-79.02200429999999
"LA LIBERTAD, TRUJILLO, TRUJILLO, LOS CORALES N°297/URB. SANTA INES",-8.102192,-79.0369718
"LA LIBERTAD, TRUJILLO, TRUJILLO, JIRÓN BOLOGNESI NÚMERO 382 PISO 1 INTERIOR 101 DISTRITO TRUJILLO PROVINCIA TRUJILLO DEPARTAMENTO LA LIBERTAD ",-8.112632399999999,-79.0305084
"LA LIBERTAD, TRUJILLO, TRUJILLO, CALLE COLOMBIA 109, URB. EL RECREO",-8.1166589,-79.0309466
"LA LIBERTAD, TRUJILLO, TRUJILLO, CALLE CALLE LOS RUBÍES Nº 103 - OF. 301 3ER PISO DISTRITO TRUJILLO PROVINCIA TRUJILLO DEPARTAMENTO LA LIBERTAD ",-8.1034541,-79.0366738
"LA LIBERTAD, TRUJILLO, TRUJILLO, JIRÓN JR. BOLOGNESI Nº 334 JR. BOLOGNESI Nº 334 TRUJILLO TRUJILLO LA LIBERTAD ",-8.112329899999999,-79.0309024
"LA LIBERTAD, TRUJILLO, TRUJILLO, AVENIDA PESQUEDA NÚMERO S/N MANZANA C LOTE 1 URBANIZACIÓN SOL DEL CHACARERO DISTRITO TRUJILLO PROVINCIA TRUJILLO DEPARTAMENTO LA LIBERTAD ",-8.0928229,-78.9999786
"LA LIBERTAD, TRUJILLO, TRUJILLO, JIRON BOLOGNESI Nº 646 - C, CONSULTORIO 01",-8.1152756,-79.0285076
