addres,lat,lng
"Jr. De la Unión N° 300, Lima",-12.0453397,-77.0309516
"Malecón Ferreyros N° 376, Ancón",-11.7738048,-77.1762825
"Av. Nicolás Ayllón N° 5818, Ate",-11.9846032,-76.8070233
"Av. San Martín S/N, Barranco",-12.14251,-77.0232015
"Av. Arica N° 500, Breña",-12.0586352,-77.04603589999999
"Av. Túpac Amaru N° 1733, Carabayllo",-11.8899504,-77.02698529999999
"Av. Nicolás Ayllón N° 856, Chaclacayo",-11.9753789,-76.7687847
"Av. Defensores del Morro 
N° 550, Chorrillos",-12.169311,-77.02437619999999
"Av. Nueva Toledo N° 97 
Mz. B, Cieneguilla",-12.1027826,-76.7994105
"Av. España S/N (Cdra. 4) - Plaza de Armas , Comas",-11.9572347,-77.0497901
"Av. José de Riva Agüero 
N° 1358 Mz. D, El Agustino",-12.0482153,-77.0005092
"Av. Túpac Amaru S/N 
Km. 4.5, Independencia",-11.9970501,-77.0545257
"Av. Mariátegui N° 850, Jesús María",-12.0766648,-77.0440106
"Av. Ricardo Elías Aparicio 
N° 740, La Molina",-12.078506,-76.9170841
"Av. Iquitos N° 500, La Victoria",-12.0650657,-77.0309326
"Av. Juan Pardo de Zela 
N° 480, Lince",-12.0833439,-77.0317957
"Av. Carlos Izaguirre N° 813, Los Olivos",-11.991564,-77.0707092
"Jr. Trujillo Sur N° 496, Lurigancho",-11.9357379,-76.6971679
"Plaza de Armas S/N, Lurín",-12.2734082,-76.8689739
"Av. Brasil N° 3501, Magdalena del Mar",-12.0915859,-77.06706369999999
"Av. General Manuel Vivanco 
N° 859, Pueblo Libre",-12.0781287,-77.062415
"Av. José Larco N° 400, Miraflores",-12.1216887,-77.0293244
"Jr. Paraíso N° 206, Pachacámac",-12.2294093,-76.85940409999999
"Av. Grau N° 309, Pucusana",-12.4819081,-76.7973501
"Calle 9 de Junio N° 100, Puente Piedra",-11.8674753,-77.0780083
"Calle Sunset N° 1141, Punta Hermosa",-12.302735,-76.7830867
"Av. San José Calamares 
N° 220, Punta Negra",-12.3648751,-76.79454679999999
"Plaza Augusto Polo Campos S/N, Rímac",-12.0422785,-77.0261982
"Av. Parque Principal S/N, San Bartolo",-12.3899355,-76.78092889999999
"Av. Joaquín Madrid N° 200, San Borja",-12.1072059,-76.9993506
"Calle Augusto Tamayo N° 180, San Isidro",-12.0977227,-77.02743509999999
"Jr. Los Amautas N° 180, San Juan de Lurigancho",-12.0293772,-77.01040789999999
"Av. Belisario Suárez N° 1075, San Juan de Miraflores",-12.1632639,-76.96356999999999
"Av. El Aire N° 1540, San Luis",-12.0757478,-76.9935124
"Av. Alfredo Mendiola N° 179, San Martín de Porres",-12.0301206,-77.05749279999999
"Av. Federico Gallese N° 370, San Miguel",-12.0922627,-77.07908830000001
"Av. Los Eucaliptos N° 1200, Santa Anita",-12.044141,-76.97156749999999
"Av. El Sardinero S/N, Santa María del Mar",-12.4017139,-76.77349629999999
"Av. Bertello S/N, Santa Rosa",-11.8016612,-77.17219589999999
"Jr. Francisco Bolognesi N° 275, Santiago de Surco",-12.1451207,-77.0050779
"Jr. Manuel Irribarren N° 155, Surquillo",-12.1185552,-77.0217895
"Av. Revolución S/N, Villa El Salvador",-12.2170811,-76.9344317
"Jr. Jose Galvez N° 895 Mz. H9 Lt. 3, Villa María del Triunfo",-12.1624855,-76.9435644
