combination,Distance_Km,Distance_meters,Duration_min,Duration_seconds,Duration_min_traf,Duration_seconds_traf
169.0,136.0,135713.0,133.0,5596.0,130.0,5378.0
16.0,233.0,232756.0,233.0,9177.0,226.0,8778.0
73.0,7.9,7913.0,9.0,541.0,9.0,545.0
23.0,21.9,21897.0,19.0,1140.0,18.0,1095.0
300.0,8.1,8090.0,10.0,605.0,10.0,572.0
76.0,69.6,69592.0,53.0,3184.0,50.0,3029.0
361.0,38.0,38043.0,35.0,2104.0,37.0,2239.0
264.0,7.0,7023.0,9.0,557.0,9.0,536.0
163.0,155.0,154686.0,150.0,6595.0,146.0,6352.0
434.0,62.0,61963.0,45.0,2688.0,43.0,2581.0
96.0,40.7,40658.0,38.0,2277.0,34.0,2045.0
76.0,69.6,69592.0,53.0,3184.0,50.0,3028.0
214.0,1.0,0.0,1.0,0.0,1.0,0.0
48.0,13.9,13922.0,15.0,912.0,14.0,856.0
320.0,8.6,8570.0,13.0,800.0,12.0,740.0
288.0,223.0,223409.0,258.0,10691.0,252.0,10297.0
219.0,179.0,178978.0,218.0,8271.0,215.0,8102.0
405.0,43.2,43175.0,30.0,1797.0,29.0,1733.0
125.0,54.2,54180.0,42.0,2519.0,42.0,2492.0
117.0,164.0,164123.0,21.0,7262.0,26.0,7552.0
294.0,1.6,1592.0,4.0,212.0,3.0,207.0
168.0,96.7,96659.0,113.0,4355.0,19.0,4159.0
