combination,1401,261,699,1.1,Alpnach,Obwalden,Zürich,Zürich.1,Unnamed: 9,origin,destination,distance_km
306,2831,4252,1102,1529,Pratteln,Basel Land,Kaiseraugst,Kaiseraugst,,"47.5183198,7.6919889","47.5380277,7.7289624",5.808
258,4671,3203,1706,1182,Kreuzlingen,Thurgau,St. Gallen,St. Gallen,,"47.6447397,9.1707858","47.4244818,9.3767173",40.136
393,5729,5729,2241,2241,Tannay,Waadt,Tannay,Tannay,,"46.310046,6.1735347","46.310046,6.1735347",0.0
387,5606,5590,2119,2194,Lutry,Waadt,Pully,Pully,,"46.5088803,6.6827638","46.5092681,6.6654949",2.588
190,158,2473,135,942,Stäfa,Zürich,Dornach,Dornach,,"40.9676093,29.1044417","47.4790491,7.6170412",2304.069
264,120,3332,153,1201,Wald (ZH),Zürich,Eschenbach (SG),Eschenbach (SG),,"47.2771375,8.9155608","47.2406093,8.9220805",7.023
196,2701,2546,1040,957,Basel,Basel,Grenchen,Grenchen,,"47.5595986,7.5885761","47.1922876,7.3958907",82.172
352,5648,5586,2224,1914,Saint-Sulpice (VD),Waadt,Lausanne,Lausanne,,"46.510114,6.5581951","46.5196535,6.6322734",6.476
420,5647,6621,2223,2485,Saint-Saphorin-sur-Morges,Waadt,Genève,Genève,,"46.5460528,6.4883645","46.2043907,6.1431577",54.844
316,2701,4038,1040,1582,Basel,Basel,Obersiggenthal,Obersiggenthal,,"47.5595986,7.5885761","47.4869944,8.2918057",68.835
414,351,6621,172,2485,Bern,Bern,Genève,Genève,,"46.9479739,7.4474468","46.2043907,6.1431577",159.505
312,1331,4237,680,1581,Küssnacht am Rigi,Schwyz,Oberrüti,Oberrüti,,"47.0843237,8.4431621","47.1659772,8.3944487",18.842
22,261,29,1,49,Zürich,Zürich,Flurlingen,Flurlingen,,"47.3768866,8.541694","47.685357,8.6294367",48.513
201,4172,2475,1566,971,Münchwilen (AG),Aargau,Hochwald,Hochwald,,"47.5399234,7.9667513","47.4574646,7.6431883",44.074
148,4021,1407,1455,698,Baden,Aargau,Sarnen,Sarnen,,"47.47288,8.30809","46.8959313,8.2456758",84.231
437,6608,6742,2493,2567,Carouge (GE),Genf,Les Bois,Les Bois,,"46.1829674,6.1378539","47.1774878,6.9052937",164.502
286,3943,3953,1347,1342,Mastrils,Graubünden,Maienfeld,Maienfeld,,"46.96628,9.54229","47.00571,9.530813",7.135
159,5635,1507,2043,712,Ecublens (VD),Waadt,Hergiswil (NW),Hergiswil (NW),,"46.5296363,6.5615252","46.9905821,8.3083735",223.79
323,243,4039,31,1591,Dietikon,Zürich,Remetschwil,Remetschwil,,"47.4053885,8.39977","47.4083745,8.3266242",10.912
242,55,2938,38,1148,Eglisau,Zürich,Rüdlingen,Rüdlingen,,"47.5762223,8.5219809","48.8508157,10.4894906",305.505
71,1322,140,674,130,Freienbach,Schwyz,Schönenberg (ZH),Schönenberg (ZH),,"47.2064107,8.7565933","47.1932312,8.644027",10.993
174,6153,1701,2364,740,Monthey,Wallis,Baar,Baar,,"46.2521873,6.9469598","47.1953729,8.526087",242.111
