id,created_at,favorite_count,retweet_count,text
1471419526973587457,2021-12-16 09:58:47,16,1,"Sharing my inspiration for the day: Daniel Pearl Magnet High School production of 2021 World Music Day:
Enjoy:
 https://t.co/zNOP1WR6nP"
1471414616030781442,2021-12-16 09:39:16,9,0,"Some say, and I'm inclined to agree, that recent tweets from the new Bundists (eg @IfNotNowOrg ) are but gasping attempts to rise from the dustbin of history and shake their guilt over betraying their European brethren. Israel's demise would prove them right - so they hope. https://t.co/Mm7VMuReRj"
1471345841231171584,2021-12-16 05:05:59,5,2,"@JLinAffect Good question.
(1) Deep understanding, namely, ability to answer questions from all three rungs of the ladder
(2) Social Intelligence, namely, ability to understand (ie, answer such questions about) other agents,"
1471327991506485250,2021-12-16 03:55:03,7,2,"Here is another avoidance statement from USC President @PresidentFolt, speaking ""Jewish"" and ""antisemitism"" to 60 top faculty who scream ""Zionophobia"". And the circus continues:
https://t.co/zh0JHt1vyl
Even the @latimes  missed this avoidance acrobatics
https://t.co/NTDCriBY96 https://t.co/7Jtn917WlK"
1471320094693150720,2021-12-16 03:23:41,13,3,"The circus at USC continues; its top faculty speaks Zionophobia and USC President @PresidentFolt answers with ""antisemitism"",
as if she is deft
https://t.co/e7CFeNR00y 
or can't spell
https://t.co/v2uCEMOiJC
or doesn't really believe Zionist students are welcome on USC campus ??? https://t.co/g3AzU5LL3J"
1471248134890135553,2021-12-15 22:37:44,0,0,"@stephensenn @RWJE_BA @AndrewPGrieve @PavlosMsaouel @soboleffspaces @f2harrell @smueller @ChristosArgyrop Yes, this called ""consistency"", ie.,  a person who dies if avoided a drug by choice would also die if  assigned placebo in the trial.
Without consistency there is no theory to counterfactuals , see  https://t.co/J445T0h5hL
Sometimes written Y = X Y(1) + (1-X) Y(0)"
1471195176693469189,2021-12-15 19:07:18,18,3,"""Discrimination"" is a legal term. But Zionophobia is also an ugly and socially unacceptable moral deformity. This must be emphasized, especially in conversations with Zionophobes. https://t.co/jjEkWK6KET"
1471192707661918208,2021-12-15 18:57:29,1,0,@stephensenn @RWJE_BA @AndrewPGrieve @PavlosMsaouel @soboleffspaces @f2harrell @smueller @ChristosArgyrop I do not understand what changes from one trial to another. Are the arrows along the direction of time?
1471141039947714563,2021-12-15 15:32:11,0,0,"@stephensenn @AndrewPGrieve @PavlosMsaouel @soboleffspaces @f2harrell @smueller @ChristosArgyrop Granted that every RCT is marred by hundreds of imperfections, it is still the holy grail of experimental science. Now, in order to understand what additional information an observational study can add, we skip the imperfections and consider (provisionally) an ideal RCT."
1471121963439386627,2021-12-15 14:16:22,0,0,"@stephensenn @AndrewPGrieve @PavlosMsaouel @soboleffspaces @f2harrell @smueller @ChristosArgyrop Isn't this what we call ""selection bias"" ?"
1471121477864882176,2021-12-15 14:14:27,0,0,"@stephensenn @AndrewPGrieve @PavlosMsaouel @soboleffspaces @f2harrell @smueller @ChristosArgyrop The assumption of exchangeability between treatment and control groups is key to any experimental trial. So why should it be any different when comparing experimental and observational studies, conducted at the same time, on the same population."
1471117240820895748,2021-12-15 13:57:36,2,0,"@stephensenn @AndrewPGrieve @PavlosMsaouel @soboleffspaces @f2harrell @smueller @ChristosArgyrop Yes, this is indeed the only assumption underlying our analysis, ie, that the participants in both studies are selected randomly from THE SAME population. If the RCT suffers (as usual) from selection bias, the results should be modified to correct (if possible) for such bias."
1471114708543442944,2021-12-15 13:47:33,1,0,"A thoughtful essay by Eric Mandel @MepinOrg on Israel and American Jews. One of a handfuls to recognize that ""the strength of the connection to Israel is as much about our survival as it is about Israel’s."" https://t.co/a96HSm6RQB"
1471110036789235719,2021-12-15 13:28:59,2,0,"@f2harrell @stephensenn @AndrewPGrieve @PavlosMsaouel @soboleffspaces @ChristosArgyrop I hope @smueller, my co-author, takes your invitation seriously and learns to navigate the streets of https://t.co/scO3lK1Teb"
1471107461809463299,2021-12-15 13:18:45,0,0,"@stephensenn @JasonConnorPhD @AndrewPGrieve @jd_wilko @f2harrell @soboleffspaces Yes, the 28% refers to CACE which is defined as the difference between the observed rates (Eq. 2)."
1471105574209163264,2021-12-15 13:11:15,0,0,"@stephensenn @AndrewPGrieve @PavlosMsaouel @soboleffspaces @f2harrell @smueller @ChristosArgyrop You can enforce compliance if the treatment is given in the hospital, under the supervision of a tough nurse. No one refused to enter the trial, if selected. Refusals occurred only among those choosing freely."
1471103911528337409,2021-12-15 13:04:38,0,0,"@stephensenn @JasonConnorPhD @AndrewPGrieve @jd_wilko @f2harrell @soboleffspaces Your interpretation of the observational study is correct. These are actual observed rates. Same as in the experimental study, except that here we interpret the rates as ""effects"". Drug refusers, fearing side-effects, simply refrain from taking anything."
1471099869548867586,2021-12-15 12:48:35,0,0,@JasonConnorPhD @stephensenn @AndrewPGrieve @jd_wilko @f2harrell @soboleffspaces The observational study is described by the (fictitious) proportion of recovery in each subgroup.
1471099165656506369,2021-12-15 12:45:47,0,0,@stephensenn @AndrewPGrieve @PavlosMsaouel @soboleffspaces @f2harrell @smueller @ChristosArgyrop Good point.
1471098483574669312,2021-12-15 12:43:04,0,0,"@stephensenn @AndrewPGrieve @PavlosMsaouel @soboleffspaces @f2harrell @smueller @ChristosArgyrop Clarifying: Para 1&amp;2 100% compliance is enforced. Para 3, no prescription needed, the drug is available to all over the counter. This should be stated explicitly, agree."
1471096531734327296,2021-12-15 12:35:19,8,2,"Regarding whether ""true qualitative interactions"" exist, rare or not, here is a way of detecting their existence in the population, even when we do not have a name for the factor that causes them:
    https://t.co/lDnscotWTz
This is another blessing of the new calculus. https://t.co/plMhCsUUsx"
1471093822910201856,2021-12-15 12:24:33,0,0,"@stephensenn @AndrewPGrieve @jd_wilko @f2harrell @soboleffspaces True. But in our example the interaction does not show in the RCT, it shows only in the observational study, and it was this element that surprised you."
