0
"('38915', '5995')"
"('22429', '1514')"
"('nan', 'nan')"
"('24726', '3275')"
"('nan', 'nan')"
"('nan', 'nan')"
"('5232', '1013')"
"('nan', 'nan')"
"('978', '163')"
"('nan', 'nan')"
"('15257', '2362')"
"('nan', 'nan')"
"('24738', '2688')"
"('nan', 'nan')"
"('70343', '5952')"
"('nan', 'nan')"
"('nan', 'nan')"
"('nan', 'nan')"
"('8015', '1285')"
"('29189', '4462')"
"('10695', '1324')"
"('37549', '4511')"
"('24279', '2530')"
"('nan', 'nan')"
"('13478', '2442')"
"('14126', '1782')"
"('nan', 'nan')"
"('12514', '1774')"
"('39685', '3842')"
"('3393', '677')"
"('9759', '1324')"
"('5212', '751')"
"('16995', '2526')"
"('8218', '717')"
"('9079', '1371')"
"('11231', '1679')"
"('87252', '11357')"
"('13048', '1349')"
"('52824', '6372')"
"('2274', '306')"
"('5008', '828')"
"('74200', '9896')"
"('15312', '1960')"
"('51768', '6925')"
"('2293', '323')"
"('5946', '953')"
"('18640', '2997')"
"('6271', '842')"
"('29982', '4718')"
"('2605', '335')"
"('34003', '4752')"
"('7322', '971')"
"('86233', '10323')"
"('121088', '11321')"
"('27523', '3989')"
"('12216', '1521')"
"('1338', '219')"
"('5295', '730')"
"('10907', '1664')"
"('9082', '1266')"
"('8594', '978')"
"('3148', '162')"
"('26491', '3495')"
"('3080', '330')"
"('3204', '459')"
"('19215', '1603')"
"('16800', '2138')"
"('22064', '3547')"
"('58712', '6413')"
"('19272', '3154')"
"('2692', '568')"
"('7299', '1429')"
"('10878', '1959')"
"('13449', '1566')"
"('18646', '2307')"
"('14134', '2214')"
"('2564', '378')"
"('9831', '994')"
"('12420', '1837')"
"('10589', '1614')"
"('13798', '2440')"
"('23139', '3244')"
"('2703', '428')"
"('9443', '1506')"
"('6082', '1186')"
"('23446', '3769')"
"('1546', '189')"
"('nan', 'nan')"
"('20506', '3132')"
"('30810', '5034')"
"('2883', '546')"
"('9884', '1185')"
"('67974', '9361')"
"('40609', '6082')"
"('48115', '6867')"
"('18900', '2847')"
"('41267', '4872')"
"('42386', '6254')"
"('nan', 'nan')"
"('30462', '5008')"
"('17933', '2827')"
"('45918', '4513')"
"('18899', '2767')"
"('5491', '911')"
"('40082', '6579')"
"('12363', '1874')"
"('11909', '1704')"
"('9079', '1497')"
"('1740', '237')"
"('5902', '935')"
"('5902', '935')"
"('6458', '891')"
"('13267', '1197')"
"('nan', 'nan')"
"('nan', 'nan')"
"('2417', '211')"
"('156077', '13765')"
"('7987', '1189')"
"('39410', '5292')"
"('11530', '1319')"
"('17934', '2471')"
"('0', '0')"
"('15853', '2446')"
"('nan', 'nan')"
"('nan', 'nan')"
"('35654', '4919')"
"('15587', '2570')"
