id_eess,codigo_renaes,categoria,nombre,diresa,red,direccion,longitud,latitud,id_ubigeo,CCDD,NOMBDEP,CCPP,NOMBPROV,CCDI,NOMBDIST,CAPITAL,UBIGEO,DESCRIPCIO,Centroid_Latitude,Centroid_Longitude,eu_dist
10078,4818,I-2,ANDABAMBA,CAJAMARCA,SANTA CRUZ,OTROS COMUNIDAD ANDABAMBA DISTRITO ANDABAMBA PROVINCIA SANTA CRUZ DEPARTAMENTO CAJAMARCA,-78.81947,-6.66291,680,6,CAJAMARCA,13,SANTA CRUZ,2,ANDABAMBA,ANDABAMBA,61302,ANDABAMBA,-6.664009037035801,-78.80972226391866,0.009809497495665353
20300,4750,I-2,ANGUIA,CAJAMARCA,CHOTA,OTROS DISTRITO DE ANGUIA DISTRITO DE ANGUIA ANGUIA CHOTA CAJAMARCA,-78.60617513,-6.34102702,592,6,CAJAMARCA,4,CHOTA,2,ANGUIA,ANGUIA,60402,ANGUIA,-6.337966578285939,-78.57580091635643,0.030528006124709885
7185,4625,I-2,ASUNCION,CAJAMARCA,CAJAMARCA,JIRÓN JR. EL INCA N° 358 JR. EL INCA N° 358 ASUNCION CAJAMARCA CAJAMARCA,-78.51852644,-7.32536372,564,6,CAJAMARCA,1,CAJAMARCA,2,ASUNCION,ASUNCION,60102,ASUNCION,-7.338237028825001,-78.5271835710878,0.015513477971597064
17685,6815,I-3,VIRGEN DEL CARMEN,CAJAMARCA,BAMBAMARCA,JIRÓN JR. AHAUALPA N° 221-BAMBAMARCA JR. AHAUALPA N° 221-BAMBAMARCA BAMBAMARCA HUALGAYOC CAJAMARCA,-78.5172716,-6.67878577,633,6,CAJAMARCA,7,HUALGAYOC,1,BAMBAMARCA,BAMBAMARCA,60701,BAMBAMARCA,-6.69306296278482,-78.47949984132427,0.04037999488945736
24900,4230,I-1,SAN AUGUSTIN,CAJAMARCA,JAEN,CALLE CALLE IVA S/N S/N CALLE IVA S/N BELLAVISTA JAEN CAJAMARCA,-78.79384,-5.58596,637,6,CAJAMARCA,8,JAEN,2,BELLAVISTA,BELLAVISTA,60802,BELLAVISTA,-5.564668861888495,-78.74262548286006,0.05546385605022747
23150,4534,I-2,BOLIVAR,CAJAMARCA,SAN MIGUEL,AVENIDA AV. 26 DE DICIEMBRE S/N -  BOLIVAR NÚMERO S/N DISTRITO BOLIVAR PROVINCIA SAN MIGUEL DEPARTAMENTO CAJAMARCA,-79.1791,-6.97723,663,6,CAJAMARCA,11,SAN MIGUEL,2,BOLIVAR,BOLIVAR,61102,BOLIVAR,-6.975911467344069,-79.16248594340846,0.016666295472959013
3296,4513,I-2,ALGAMARCA,CAJAMARCA,CAJABAMBA,OTROS CPM SAN JOSE DE ALGAMARCA DISTRITO CACHACHI PROVINCIA CAJABAMBA DEPARTAMENTO CAJAMARCA,-78.24673724,-7.60726053,576,6,CAJAMARCA,2,CAJABAMBA,2,CACHACHI,CACHACHI,60202,CACHACHI,-7.567687463603137,-78.25332891600632,0.04011829727970596
27565,7651,I-1,CHANSHAPAMPA,CAJAMARCA,CAJABAMBA,OTROS CASERIO CHANSHAPAMPA DISTRITO CAJABAMBA PROVINCIA CAJABAMBA DEPARTAMENTO CAJAMARCA,-78.0304932,-7.63233824,575,6,CAJAMARCA,2,CAJABAMBA,1,CAJABAMBA,CAJABAMBA,60201,CAJABAMBA,-7.631450909366323,-78.03214219886948,0.0018725792172890712
25604,4640,I-3,LA TULPUNA,CAJAMARCA,CAJAMARCA,AVENIDA AV. ALFONSO UGARTE S/N S/N AV. ALFONSO UGARTE S/N CAJAMARCA CAJAMARCA CAJAMARCA,-78.55323,-7.06213,563,6,CAJAMARCA,1,CAJAMARCA,1,CAJAMARCA,CAJAMARCA,60101,CAJAMARCA,-7.077465094056442,-78.56111128956503,0.017241804862828176
8178,6830,I-1,FILADELFIA,CAJAMARCA,CUTERVO,OTROS COMUNIDAD DE FILADELFIA COMUNIDAD DE FILADELFIA CALLAYUC CUTERVO CAJAMARCA,-78.91688993,-6.13276821,619,6,CAJAMARCA,6,CUTERVO,2,CALLAYUC,CALLAYUC,60602,CALLAYUC,-6.12740892029638,-78.93095194829469,0.015048665876005458
