,id_eess,codigo_renaes,categoria,nombre,diresa,red,direccion,longitud,latitud,id_ubigeo,ind,CCDD,NOMBDEP,CCPP,NOMBPROV,CCDI,NOMBDIST,CAPITAL,UBIGEO,IDPROV,CODIGO,CNT_CCPP,DESCRIPCIO,Centroid_Latitude,Centroid_Longitude,distancia,travel_time_best_guess,travel_distance_best_guess,travel_time_pessimistic,travel_distance_pessimistic,travel_time_optimistic,travel_distance_optimistic
0,26156,6995,I-1,PISAGUAS,CAJAMARCA,SAN IGNACIO,OTROS COMUNIDAD DE PISAGUAS DISTRITO HUARANGO PROVINCIA SAN IGNACIO DEPARTAMENTO CAJAMARCA,-78.64009333,-5.24869333,650,1,1,AMAZONAS,2,BAGUA,5,IMAZA,CHIRIACO,10205,102,10205,159,IMAZA,-4.99126684432514,-78.38959521553005,0.3591903407385955,,,,,,
1,25604,4640,I-3,LA TULPUNA,CAJAMARCA,CAJAMARCA,AVENIDA AV. ALFONSO UGARTE S/N S/N AV. ALFONSO UGARTE S/N CAJAMARCA CAJAMARCA CAJAMARCA,-78.55323,-7.06213,563,1,6,CAJAMARCA,1,CAJAMARCA,1,CAJAMARCA,CAJAMARCA,60101,601,60101,126,CAJAMARCA,-7.077465094056442,-78.56111128956503,0.017241804862828173,637.0,3906.0,637.0,3906.0,637.0,3906.0
2,7185,4625,I-2,ASUNCION,CAJAMARCA,CAJAMARCA,JIRÓN JR. EL INCA N° 358 JR. EL INCA N° 358 ASUNCION CAJAMARCA CAJAMARCA,-78.51852644,-7.32536372,564,1,6,CAJAMARCA,1,CAJAMARCA,2,ASUNCION,ASUNCION,60102,601,60102,77,ASUNCION,-7.338237028825001,-78.5271835710878,0.015513477971597064,854.0,5542.0,854.0,5542.0,854.0,5542.0
3,7777,4653,I-2,CHETILLA,CAJAMARCA,CAJAMARCA,JIRÓN JR. SAN PEDRO S/N S/N JR. SAN PEDRO S/N CHETILLA CAJAMARCA CAJAMARCA,-78.6737509,-7.14631393,565,1,6,CAJAMARCA,1,CAJAMARCA,3,CHETILLA,CHETILLA,60103,601,60103,40,CHETILLA,-7.142504145663757,-78.65402714365003,0.020088330474229983,1563.0,10589.0,1563.0,10589.0,1563.0,10589.0
4,9447,4627,I-2,COSPAN,CAJAMARCA,CAJAMARCA,JIRÓN JR. BOLIVAR S/N S/N JR. BOLIVAR S/N COSPAN CAJAMARCA CAJAMARCA,-78.54295072,-7.42671499,566,1,6,CAJAMARCA,1,CAJAMARCA,4,COSPAN,COSPAN,60104,601,60104,63,COSPAN,-7.453031861989977,-78.51685530281875,0.037061415909268106,2306.0,14134.0,2306.0,14134.0,2306.0,14134.0
5,9366,4599,I-1,YERBA BUENA,CAJAMARCA,CAJAMARCA,OTROS COMUNIDAD DE YERBA BUENA DISTRITO ENCAÑADA PROVINCIA CAJAMARCA DEPARTAMENTO CAJAMARCA,-78.37325155,-6.99192237,567,1,6,CAJAMARCA,1,CAJAMARCA,5,ENCAÑADA,ENCAÑADA,60105,601,60105,110,ENCAÑADA,-6.98522815524193,-78.40294104106351,0.030434822010934434,2689.0,17892.0,2689.0,17892.0,2689.0,17892.0
6,7776,4635,I-1,EL CARMEN,CAJAMARCA,CAJAMARCA,OTROS COMUNIDAD EL CARMEN DISTRITO JESUS PROVINCIA CAJAMARCA DEPARTAMENTO CAJAMARCA,-78.32248816,-7.3008959,568,1,6,CAJAMARCA,1,CAJAMARCA,6,JESUS,JESUS,60106,601,60106,65,JESUS,-7.298307992783807,-78.36664819792553,0.04423580239289407,1607.0,10266.0,1607.0,10266.0,1607.0,10266.0
7,22304,4604,I-2,LLACANORA,CAJAMARCA,CAJAMARCA,OTROS PROLG. CATARATAS N° 311 PROLG. CATARATAS N° 311 LLACANORA CAJAMARCA CAJAMARCA,-78.42567616,-7.19224192,569,1,6,CAJAMARCA,1,CAJAMARCA,7,LLACANORA,LLACANORA,60107,601,60107,47,LLACANORA,-7.189598635181219,-78.41184104232502,0.014085362462980052,528.0,2692.0,528.0,2692.0,528.0,2692.0
8,4380,4650,I-1,HUACATAZ,CAJAMARCA,CAJAMARCA,OTROS COMUNIDAD DE HUACATAZ DISTRITO LOS BAÑOS DEL INCA PROVINCIA CAJAMARCA DEPARTAMENTO CAJAMARCA,-78.429987,-7.078862,570,1,6,CAJAMARCA,1,CAJAMARCA,8,LOS BAÑOS DEL INCA,LOS BAÑOS DEL INCA,60108,601,60108,74,LOS BAÑOS DEL INCA,-7.090123121733361,-78.45597511219698,0.02832304429711987,,,,,,
9,25603,4631,I-1,CUMBICO,CAJAMARCA,CAJAMARCA,OTROS COMUNIDAD DE CUMBICO S/N COMUNIDAD DE CUMBICO MAGDALENA CAJAMARCA CAJAMARCA,-78.632315,-7.213976,571,1,6,CAJAMARCA,1,CAJAMARCA,9,MAGDALENA,MAGDALENA,60109,601,60109,108,MAGDALENA,-7.224728505531067,-78.62238468653182,0.014636512589142225,385.0,2564.0,385.0,2564.0,385.0,2564.0
10,25290,4603,I-2,MATARA,CAJAMARCA,CAJAMARCA,AVENIDA AV.GONZALO PACIFICO CABRERA N° 286 DISTRITO MATARA PROVINCIA CAJAMARCA DEPARTAMENTO CAJAMARCA,-78.26372,-7.25651,572,1,6,CAJAMARCA,1,CAJAMARCA,10,MATARA,MATARA,60110,601,60110,21,MATARA,-7.272018782157795,-78.25947777718508,0.016078519161583243,312.0,2329.0,312.0,2329.0,312.0,2329.0
11,9884,4602,I-2,NAMORA,CAJAMARCA,CAJAMARCA,JIRÓN JR. VICTORIA CORTEZ S/N S/N JR. VICTORIA CORTEZ S/N NAMORA CAJAMARCA CAJAMARCA,-78.3233237,-7.20283723,573,1,6,CAJAMARCA,1,CAJAMARCA,11,NAMORA,NAMORA,60111,601,60111,40,NAMORA,-7.184364016375891,-78.28407074183642,0.04338265029011332,1375.0,10168.0,1375.0,10168.0,1375.0,10168.0
12,24348,4633,I-3,SAN JUAN,CAJAMARCA,CAJAMARCA,JIRÓN JR.EL PROGRESO N°130 JR.EL PROGRESO N°130 SAN JUAN CAJAMARCA CAJAMARCA,-78.49506255,-7.29234457,574,1,6,CAJAMARCA,1,CAJAMARCA,12,SAN JUAN,SAN JUAN,60112,601,60112,43,SAN JUAN,-7.273909973011706,-78.48197922947648,0.022605478142300114,983.0,9177.0,983.0,9177.0,983.0,9177.0
13,27565,7651,I-1,CHANSHAPAMPA,CAJAMARCA,CAJABAMBA,OTROS CASERIO CHANSHAPAMPA DISTRITO CAJABAMBA PROVINCIA CAJABAMBA DEPARTAMENTO CAJAMARCA,-78.0304932,-7.63233824,575,1,6,CAJAMARCA,2,CAJABAMBA,1,CAJABAMBA,CAJABAMBA,60201,602,60201,47,CAJABAMBA,-7.631450909366323,-78.03214219886948,0.001872579217289071,7.0,34.0,7.0,34.0,7.0,34.0
14,3296,4513,I-2,ALGAMARCA,CAJAMARCA,CAJABAMBA,OTROS CPM SAN JOSE DE ALGAMARCA DISTRITO CACHACHI PROVINCIA CAJABAMBA DEPARTAMENTO CAJAMARCA,-78.24673724,-7.60726053,576,1,6,CAJAMARCA,2,CAJABAMBA,2,CACHACHI,CACHACHI,60202,602,60202,183,CACHACHI,-7.567687463603137,-78.25332891600632,0.04011829727970595,1208.0,7712.0,1208.0,7712.0,1208.0,7712.0
15,26115,4516,I-2,OTUTO,CAJAMARCA,CAJABAMBA,OTROS CASERIO CONDEBAMBA S/N NÚMERO S/N DISTRITO CONDEBAMBA PROVINCIA CAJABAMBA DEPARTAMENTO CAJAMARCA,-78.06980719,-7.52745935,577,1,6,CAJAMARCA,2,CAJABAMBA,3,CONDEBAMBA,CAUDAY,60203,602,60203,61,CONDEBAMBA,-7.530122419973073,-78.09113520240439,0.021493628237292867,782.0,5079.0,782.0,5079.0,782.0,5079.0
16,15353,4519,I-2,SAN JUAN DE LLUCHUBAMBA,CAJAMARCA,CAJABAMBA,OTROS LOCALIDAD SAN JUAN DISTRITO SITACOCHA PROVINCIA CAJABAMBA DEPARTAMENTO CAJAMARCA,-77.8806691,-7.46378668,578,1,6,CAJAMARCA,2,CAJABAMBA,4,SITACOCHA,LLUCHUBAMBA,60204,602,60204,75,SITACOCHA,-7.474385184657658,-77.90631489984364,0.027749510817272876,8810.0,52299.0,8810.0,52299.0,8810.0,52299.0
17,26781,11250,I-1,SAN ANTONIO,CAJAMARCA,CELENDIN,OTROS CENTRO POBLADO DE SAN ANTONIO DISTRITO CELENDIN PROVINCIA CELENDIN DEPARTAMENTO CAJAMARCA,-78.13502445,-6.80404279,579,1,6,CAJAMARCA,3,CELENDIN,1,CELENDIN,CELENDIN,60301,603,60301,70,CELENDIN,-6.774938931037327,-78.11727136589845,0.03409115136858958,0.0,0.0,0.0,0.0,0.0,0.0
18,21960,4479,I-1,CHUMUCH,CAJAMARCA,CELENDIN,OTROS COMUNIDAD CHUMUCH DISTRITO CHUMUCH PROVINCIA CELENDIN DEPARTAMENTO CAJAMARCA,-78.19837123,-6.60346578,580,1,6,CAJAMARCA,3,CELENDIN,2,CHUMUCH,CHUMUCH,60302,603,60302,23,CHUMUCH,-6.570579571483123,-78.18705795503254,0.034777764463876815,,,,,,
