,idx,travel_time_best_guess,travel_time_pessimistic,travel_time_optimistic,travel_distance_best_guess,travel_distance_pessimistic,travel_distance_optimistic
0,0.0,2299.0,2305.0,2276.0,17.3,17.3,17.3
1,1.0,2054.0,2047.0,2037.0,16.2,16.2,16.2
2,2.0,2235.0,2239.0,2210.0,17.2,17.2,17.2
3,3.0,2689.0,2791.0,2606.0,20.1,20.1,20.1
4,4.0,940.0,940.0,940.0,8.2,8.2,8.2
5,5.0,3809.0,3988.0,3671.0,35.8,35.8,35.8
6,6.0,6012.0,6018.0,5996.0,38.9,38.9,38.9
7,7.0,3776.0,3776.0,3776.0,40.6,40.6,40.6
8,8.0,4041.0,4041.0,4041.0,42.9,42.9,42.9
9,9.0,2369.0,2369.0,2369.0,25.9,25.9,25.9
10,10.0,1585.0,1585.0,1585.0,14.1,14.1,14.1
11,11.0,1460.0,1460.0,1460.0,10.8,10.8,10.8
12,12.0,3866.0,3871.0,3868.0,26.3,26.3,26.3
13,13.0,3713.0,3718.0,3715.0,25.8,25.8,25.8
14,14.0,2004.0,2004.0,2004.0,15.7,15.7,15.7
15,15.0,2980.0,3010.0,2947.0,20.6,20.6,20.6
16,16.0,2396.0,2392.0,2374.0,17.5,17.5,17.5
17,17.0,2097.0,2097.0,2077.0,16.5,16.5,16.5
18,18.0,4658.0,4846.0,4564.0,48.5,48.5,48.5
19,19.0,2243.0,2248.0,2218.0,17.1,17.1,17.1
20,20.0,2297.0,2303.0,2274.0,17.3,17.3,17.3
21,21.0,2190.0,2190.0,2181.0,16.9,16.9,16.9
22,22.0,8150.0,8152.0,8140.0,53.2,53.2,53.2
23,23.0,2176.0,2171.0,2154.0,16.8,16.8,16.8
24,24.0,2225.0,2230.0,2200.0,17.0,17.0,17.0
25,25.0,2109.0,2113.0,2083.0,16.5,16.5,16.5
26,26.0,2136.0,2136.0,2136.0,16.7,16.7,16.7
27,27.0,2291.0,2297.0,2267.0,17.3,17.3,17.3
28,28.0,2091.0,2091.0,2091.0,16.3,16.3,16.3
29,29.0,2278.0,2284.0,2255.0,17.2,17.2,17.2
30,30.0,2290.0,2296.0,2267.0,17.3,17.3,17.3
31,31.0,7683.0,7685.0,7673.0,48.9,48.9,48.9
32,32.0,2182.0,2174.0,2168.0,16.8,16.8,16.8
33,33.0,2041.0,2041.0,2041.0,16.2,16.2,16.2
34,34.0,2087.0,2080.0,2071.0,16.4,16.4,16.4
35,35.0,2268.0,2274.0,2244.0,17.2,17.2,17.2
36,36.0,,2372.0,2344.0,,17.6,17.6
37,37.0,2283.0,2289.0,2260.0,17.3,17.3,17.3
38,38.0,2385.0,2425.0,2369.0,18.1,18.1,18.1
39,39.0,2253.0,2247.0,2229.0,16.9,16.9,16.9
40,40.0,2226.0,2229.0,2225.0,17.0,17.0,17.0
41,41.0,2190.0,2190.0,2181.0,16.9,16.9,16.9
42,42.0,2383.0,2382.0,2370.0,17.7,17.7,17.7
43,43.0,2255.0,2256.0,2247.0,17.0,17.0,17.0
44,44.0,2141.0,2144.0,2115.0,16.7,16.7,16.7
45,45.0,2337.0,2348.0,2331.0,17.3,17.3,17.3
46,46.0,2138.0,2138.0,2138.0,16.6,16.6,16.6
47,47.0,2383.0,2382.0,2370.0,17.7,17.7,17.7
48,48.0,2365.0,2377.0,2339.0,17.7,17.7,17.7
49,49.0,2351.0,2360.0,2327.0,17.6,17.6,17.6
50,50.0,2278.0,2284.0,2255.0,17.2,17.2,17.2
