Fecha,IPM,TC,RIN ,IPC,RATE,DIPM,DTC,DRIN,DIPC
2003-1,2.83506,1.25634,9.18519,4.41828,3.75,13.73166,0.83108,12.50532,2.25690
2003-2,2.85371,1.25004,9.21777,4.42295,3.8,12.48664,0.16400,13.17984,2.76396
2003-3,2.84717,1.24993,9.24303,4.43407,3.82,7.76170,0.65330,17.18115,3.33857
2003-4,2.80982,1.24554,9.24188,4.43356,3.84,1.97256,0.69980,13.92729,2.56103
2003-5,2.88617,1.24686,9.23065,4.43324,3.78,6.81493,0.92160,12.37214,2.39028
2003-6,2.90421,1.24515,9.21771,4.42850,3.74,7.20489,-0.02949,9.03019,2.14356
2003-7,2.88562,1.24360,9.20775,4.42700,3.47,1.65358,-1.71755,4.02464,1.95993
2003-8,2.89522,1.24523,9.19672,4.42714,3.01,4.59117,-2.50080,-1.76997,1.87255
2003-9,2.96723,1.24621,9.20893,4.43271,2.77,16.88525,-3.89581,-0.99404,1.95715
2003-10,2.98515,1.24379,9.21241,4.43320,2.71,14.67393,-3.83124,-0.60717,1.29078
2003-11,3.02492,1.24284,9.24471,4.43487,2.6,17.29055,-2.96840,5.52212,1.85849
2003-12,3.05881,1.24441,9.22931,4.44050,2.51,19.53328,-1.26301,5.90091,2.45341
2004-1,3.13978,1.24680,9.25529,4.44586,2.41,30.47227,-0.95385,7.01035,2.75827
2004-2,3.16529,1.24964,9.24401,4.45666,2.52,31.15785,-0.03924,2.62470,3.37077
2004-3,3.22543,1.24537,9.23849,4.46125,2.48,37.82659,-0.45611,-0.45434,2.71858
2004-4,3.15396,1.24649,9.24402,4.46103,2.49,34.41363,0.09518,0.21384,2.74668
2004-5,3.15619,1.24953,9.27523,4.46456,2.48,27.00157,0.26673,4.45834,3.13193
2004-6,3.17614,1.24576,9.29806,4.47018,2.46,27.19260,0.06095,8.03489,4.16840
2004-7,3.19429,1.23637,9.30739,4.47211,2.44,30.86768,-0.72350,9.96391,4.51065
2004-8,3.23211,1.22133,9.31055,4.47202,2.67,33.68872,-2.38970,11.38311,4.48766
2004-9,3.22886,1.20976,9.34694,4.47218,2.73,26.16311,-3.64533,13.80153,3.94730
2004-10,3.32372,1.19850,9.43064,4.47194,2.93,33.85730,-4.52964,21.82283,3.87453
2004-11,3.27583,1.19352,9.42817,4.47481,3.02,25.09069,-4.93128,18.34544,3.99358
2004-12,3.28391,1.18702,9.44271,4.47472,3,22.51024,-5.73851,21.33944,3.42186
2005-1,3.31628,1.18445,9.47041,4.47572,2.98,17.65017,-6.23562,21.51188,2.98595
2005-2,3.32465,1.18100,9.48699,4.47337,2.9,15.93574,-6.86408,24.29732,1.67083
2005-3,3.34271,1.18403,9.50219,4.47985,2.93,11.72767,-6.13356,26.37058,1.85953
2005-4,3.35422,1.18311,9.50686,4.48104,3.03,20.02664,-6.33845,26.28342,2.00105
2005-5,3.33585,1.18228,9.53576,4.48230,3.01,17.96616,-6.72505,26.05232,1.77408
2005-6,3.35363,1.18055,9.53597,4.48493,2.99,17.74880,-6.52124,23.79155,1.47525
2005-7,3.35856,1.18175,9.62946,4.48598,3.01,16.42724,-5.46210,32.20706,1.38689
2005-8,3.37924,1.18136,9.52108,4.48418,2.96,14.71279,-3.99691,21.05313,1.21666
2005-9,3.41688,1.19437,9.54979,4.48324,2.99,18.80168,-1.53907,20.28487,1.10565
2005-10,3.44683,1.21758,9.54041,4.48469,3.04,12.31031,1.90791,10.97749,1.27408
2005-11,3.47601,1.21321,9.52597,4.48537,3.02,20.01781,1.96896,9.78000,1.05550
2005-12,3.55052,1.22837,9.55186,4.48955,3.34,26.66118,4.13439,10.91509,1.48321
2006-1,3.57362,1.21893,9.54595,4.49453,3.58,25.73410,3.44833,7.55452,1.88147
2006-2,3.58563,1.18828,9.53932,4.50000,3.82,26.09801,0.72732,5.23292,2.66315
2006-3,3.57699,1.20773,9.56781,4.50456,4.12,23.42826,2.37007,6.56183,2.47118
2006-4,3.71009,1.20550,9.56752,4.50965,4.42,35.58635,2.23921,6.06641,2.86114
2006-5,3.84528,1.19105,9.55291,4.50436,4.48,50.94328,0.87765,1.71530,2.20553
2006-6,3.81114,1.18598,9.57635,4.50303,4.53,45.75113,0.54369,4.03802,1.80951
2006-7,3.82426,1.18055,9.58308,4.50132,4.5,46.56939,-0.11947,-4.63831,1.53437
2006-8,3.82809,1.17526,9.63593,4.50272,4.44,44.88493,-0.61030,11.48528,1.85339
2006-9,3.83417,1.17605,9.65088,4.50299,4.51,41.72981,-1.83179,10.10831,1.97508
2006-10,3.84514,1.17592,9.68661,4.50343,4.5,39.83107,-4.16544,14.61987,1.87418
2006-11,3.87489,1.16597,9.72625,4.50060,4.48,39.88863,-4.72434,20.02844,1.52360
2006-12,3.85344,1.16052,9.75628,4.50086,4.51,30.29165,-6.78482,20.44184,1.13106
2007-1,3.80702,1.15553,9.78165,4.50095,4.47,23.33955,-6.34040,23.56960,0.64213
2007-2,3.79197,1.15610,9.80046,4.50355,4.48,20.63449,-3.21714,26.11426,0.35448
2007-3,3.77068,1.15987,9.80995,4.50703,4.51,19.36943,-4.78618,24.21408,0.24659
2007-4,3.84624,1.15878,9.87355,4.50881,4.51,13.61551,-4.67178,30.60313,-0.08408
2007-5,3.89685,1.15781,9.95826,4.51371,4.49,5.15719,-3.32438,40.53457,0.93594
2007-6,3.83420,1.15850,9.97697,4.51840,4.52,2.30617,-2.74844,40.06213,1.53716
2007-7,3.90295,1.15534,10.04794,4.52315,4.69,7.86923,-2.52129,46.48599,2.18216
2007-8,3.92004,1.15194,10.07840,4.52451,4.77,9.19563,-2.33196,44.24709,2.17972
2007-9,3.91376,1.14134,10.05614,4.53062,4.97,7.95863,-3.47141,40.52635,2.76299
2007-10,3.96303,1.10708,10.14552,4.53375,4.98,11.78938,-6.88443,45.89146,3.03274
2007-11,3.94513,1.09413,10.19699,4.53486,4.99,7.02367,-7.18455,47.07383,3.42623
2007-12,3.89274,1.08679,10.23082,4.53939,4.99,3.92978,-7.37321,47.45409,3.85251
2008-1,3.94640,1.07586,10.33069,4.54160,4.44,13.93876,-7.96692,54.90394,4.06488
2008-2,3.97297,1.06194,10.37701,4.55063,5.02,18.09983,-9.41611,57.65501,4.70868
2008-3,3.98819,1.03360,10.41039,4.56100,5.21,21.75010,-12.62696,60.04377,5.39691
2008-4,3.96429,1.01389,10.46665,4.56254,5.37,11.80514,-14.48903,59.30967,5.37296
2008-5,3.90833,1.03573,10.45541,4.56623,5.52876,1.14728,-12.20768,49.71495,5.25111
2008-6,3.92058,1.06723,10.47906,4.57389,5.6801,8.63860,-9.12704,50.20846,5.54917
2008-7,3.89853,1.05066,10.44771,4.57943,5.91071,-0.44201,-10.46736,39.97713,5.62869
