Element ID,Tag name,Name,No. clicks,Visible?,Snapshot information
74,a,FIND,502,true,Homepage Version 2 - Connect   •   http://www.lib.montana.edu/index2.php
66,input,s.q,357,true,"created 5-29-2013   •   20 days 7 hours 34 mins   •   2742 visits, 1587 clicks"
72,a,lib.montana.edu/find/,171,true
133,area,Montana State University Libraries - Home,83,false
103,a,Hours,74,true
83,a,REQUEST,57,true
92,a,CONNECT,53,true
67,button,Search,47,true
81,a,lib.montana.edu/request/,31,true
101,a,News,31,true
127,a,Contact Us,18,true
69,a,Advanced Search,17,true
35,a,slideshow-right,14,true
124,a,About MSU Library,11,true
11,div,.,9,true
90,a,lib.montana.edu/interact/,9,true
6,a,Ask A Librarian,8,true
55,span,nav-item-dot,8,true
132,a,Site Index & Site Search,7,true
110,a,6/17 Library Workshop: Zotero Basics,6,true
139,a,Tip of the Week: Submit a Request for the Library to Pu,5,false
8,div,logo-ikd,4,true
54,span,nav-item-line,4,true
105,a,Twitter,4,true
112,a,6/17 Library Workshop: EndNote Web Basics,4,true
135,p,Renne: 7:00 am - 9:00 pm,4,false
15,div,"Explore the world, explore the past Science & Natural History Filmmaking Archive MSU School of Film",3,true
47,span,nav-item-dot,3,true
49,a,nav-item,3,true
65,form,Search,3,true
78,p,"Find research materials, including articles, books, databases, journals, and course reserves",3,true
41,a,nav-item,2,true
45,a,nav-item,2,true
61,div,logo,2,true
68,div,Advanced Search,2,true
87,p,"Request resources and services, including group study rooms, laptops, documents, and books",2,true
96,p,"Learn about the library and meet with us for research assistance, writing help, and tech support",2,true
121,div,© MSU About MSU Library Accessibility Contact Us Privacy Policy Mobile Site Help Site Index & Site S,2,true
3,img,Montana State University in Bozeman,1,true
5,div,Ask A Librarian,1,true
20,div,Montana State University Historical Photographs,1,true
25,div,Meet with a librarian for help with your research topic Chat with a librarian Schedule a meeting Cal,1,true
37,a,nav-item,1,true
43,span,nav-item-dot,1,true
51,span,nav-item-dot,1,true
53,a,nav-item,1,true
106,ul,News 6/17 Library Workshop: Zotero Basics 6/17 Library Workshop: EndNote Web Basics Tip of the Week:,1,true
118,a,Twitter,1,true
123,a,MSU,1,true
130,a,Mobile Site,1,true
134,div,montana.summon.serialssolutions.com/advanced/,1,false
136,div,News Hours Twitter News Database Trial: Entertainment Industry Magazine Archive 6/12 Library Worksho,1,false
137,div,montana.summon.serialssolutions.com/advanced/,1,false
138,img,"lib.montana.edu/data:image/gif;base64,R0lGODlhAQABAIAAAP/yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",1,false
140,p,Renne: 10:00 am - 9:00 pm,1,false
141,p,Renne: 7:00 am - 5:00 pm,1,false
142,div,lib.montana.edu/find/,1,false
143,div,index2.php,1,false
