userid,version,sum_gamerounds,retention_1,retention_7
116,gate_30,3,FALSE,FALSE
337,gate_30,38,TRUE,FALSE
377,gate_40,165,TRUE,FALSE
483,gate_40,1,FALSE,FALSE
488,gate_40,179,TRUE,TRUE
540,gate_40,187,TRUE,TRUE
1066,gate_30,0,FALSE,FALSE
1444,gate_40,2,FALSE,FALSE
1574,gate_40,108,TRUE,TRUE
1587,gate_40,153,TRUE,FALSE
1842,gate_40,3,FALSE,TRUE
2101,gate_30,0,FALSE,FALSE
2132,gate_40,30,TRUE,FALSE
2179,gate_30,39,TRUE,FALSE
2218,gate_30,305,TRUE,TRUE
2382,gate_30,73,TRUE,FALSE
2392,gate_30,14,TRUE,FALSE
2451,gate_30,204,TRUE,TRUE
2482,gate_30,108,TRUE,TRUE
2502,gate_40,1,FALSE,FALSE
2530,gate_40,9,TRUE,FALSE
2534,gate_30,5,TRUE,FALSE
2695,gate_40,45,TRUE,FALSE
2729,gate_30,105,FALSE,TRUE
2829,gate_30,4,FALSE,FALSE
2963,gate_30,3,FALSE,FALSE
3095,gate_30,0,FALSE,FALSE
3132,gate_40,80,TRUE,TRUE
3186,gate_40,4,FALSE,FALSE
3199,gate_30,5,FALSE,FALSE
3204,gate_40,53,TRUE,TRUE
3413,gate_30,37,TRUE,FALSE
3690,gate_30,13,TRUE,FALSE
3696,gate_30,50,FALSE,FALSE
3993,gate_40,202,TRUE,TRUE
4076,gate_40,0,FALSE,FALSE
4162,gate_30,23,FALSE,FALSE
4176,gate_30,0,FALSE,FALSE
4283,gate_30,103,FALSE,FALSE
4594,gate_30,27,FALSE,FALSE
4653,gate_40,15,FALSE,FALSE
4881,gate_30,0,FALSE,FALSE
4902,gate_40,1,FALSE,FALSE
4916,gate_40,49,TRUE,FALSE
4918,gate_30,7,FALSE,FALSE
4929,gate_30,386,TRUE,TRUE
4945,gate_40,25,TRUE,FALSE
5066,gate_30,1,FALSE,FALSE
5215,gate_30,13,TRUE,FALSE
5286,gate_30,12,TRUE,FALSE
5345,gate_40,6,FALSE,FALSE
5479,gate_30,25,TRUE,FALSE
5550,gate_30,29,TRUE,FALSE
5661,gate_30,136,TRUE,FALSE
5712,gate_30,105,TRUE,TRUE
5920,gate_40,10,TRUE,FALSE
5943,gate_40,76,FALSE,FALSE
6099,gate_40,138,FALSE,FALSE
6123,gate_30,0,FALSE,FALSE
6151,gate_30,94,TRUE,TRUE
6156,gate_40,1,FALSE,FALSE
6492,gate_30,0,FALSE,FALSE
6664,gate_40,26,TRUE,FALSE
6695,gate_40,127,TRUE,FALSE
6833,gate_40,6,FALSE,FALSE
6842,gate_40,4,FALSE,FALSE
6924,gate_30,21,FALSE,FALSE
6930,gate_40,297,TRUE,TRUE
7124,gate_40,108,TRUE,TRUE
7253,gate_30,45,TRUE,FALSE
7321,gate_40,33,FALSE,FALSE
7509,gate_40,0,FALSE,FALSE
7527,gate_30,80,FALSE,FALSE
7564,gate_30,21,FALSE,FALSE
