"Código","Departamento","Provincia","Distrito","Mes","Año","Casos","Muertes Covid","Muertes totales"
10101,"AMAZONAS","CHACHAPOYAS","CHACHAPOYAS","03","2020",0,0,16
10101,"AMAZONAS","CHACHAPOYAS","CHACHAPOYAS","04","2020",47,0,5
10101,"AMAZONAS","CHACHAPOYAS","CHACHAPOYAS","05","2020",165,3,11
10101,"AMAZONAS","CHACHAPOYAS","CHACHAPOYAS","06","2020",119,2,15
10101,"AMAZONAS","CHACHAPOYAS","CHACHAPOYAS","07","2020",175,2,8
10101,"AMAZONAS","CHACHAPOYAS","CHACHAPOYAS","08","2020",445,15,29
10101,"AMAZONAS","CHACHAPOYAS","CHACHAPOYAS","09","2020",551,16,27
10101,"AMAZONAS","CHACHAPOYAS","CHACHAPOYAS","10","2020",307,5,20
10101,"AMAZONAS","CHACHAPOYAS","CHACHAPOYAS","11","2020",106,4,9
10101,"AMAZONAS","CHACHAPOYAS","CHACHAPOYAS","12","2020",64,0,13
10101,"AMAZONAS","CHACHAPOYAS","CHACHAPOYAS","01","2021",479,7,19
10101,"AMAZONAS","CHACHAPOYAS","CHACHAPOYAS","02","2021",599,13,29
10101,"AMAZONAS","CHACHAPOYAS","CHACHAPOYAS","03","2021",925,22,29
10101,"AMAZONAS","CHACHAPOYAS","CHACHAPOYAS","04","2021",884,42,46
10101,"AMAZONAS","CHACHAPOYAS","CHACHAPOYAS","05","2021",445,37,48
10101,"AMAZONAS","CHACHAPOYAS","CHACHAPOYAS","06","2021",285,13,19
10101,"AMAZONAS","CHACHAPOYAS","CHACHAPOYAS","07","2021",111,5,14
10101,"AMAZONAS","CHACHAPOYAS","CHACHAPOYAS","08","2021",133,5,11
10101,"AMAZONAS","CHACHAPOYAS","CHACHAPOYAS","09","2021",43,2,16
10101,"AMAZONAS","CHACHAPOYAS","CHACHAPOYAS","10","2021",33,1,14
10101,"AMAZONAS","CHACHAPOYAS","CHACHAPOYAS","11","2021",38,1,6
10101,"AMAZONAS","CHACHAPOYAS","CHACHAPOYAS","12","2021",149,2,14
10101,"AMAZONAS","CHACHAPOYAS","CHACHAPOYAS","01","2022",119,1,4
10103,"AMAZONAS","CHACHAPOYAS","BALSAS","03","2020",0,0,0
10103,"AMAZONAS","CHACHAPOYAS","BALSAS","04","2020",0,0,0
10103,"AMAZONAS","CHACHAPOYAS","BALSAS","05","2020",0,0,0
10103,"AMAZONAS","CHACHAPOYAS","BALSAS","06","2020",6,0,0
10103,"AMAZONAS","CHACHAPOYAS","BALSAS","07","2020",0,0,0
10103,"AMAZONAS","CHACHAPOYAS","BALSAS","08","2020",7,0,0
10103,"AMAZONAS","CHACHAPOYAS","BALSAS","09","2020",11,1,0
10103,"AMAZONAS","CHACHAPOYAS","BALSAS","10","2020",6,0,0
10103,"AMAZONAS","CHACHAPOYAS","BALSAS","11","2020",3,0,0
10103,"AMAZONAS","CHACHAPOYAS","BALSAS","12","2020",0,0,0
10103,"AMAZONAS","CHACHAPOYAS","BALSAS","01","2021",13,1,1
10103,"AMAZONAS","CHACHAPOYAS","BALSAS","02","2021",6,0,2
10103,"AMAZONAS","CHACHAPOYAS","BALSAS","03","2021",11,0,0
10103,"AMAZONAS","CHACHAPOYAS","BALSAS","04","2021",19,0,1
10103,"AMAZONAS","CHACHAPOYAS","BALSAS","05","2021",3,0,0
10103,"AMAZONAS","CHACHAPOYAS","BALSAS","06","2021",2,1,0
10103,"AMAZONAS","CHACHAPOYAS","BALSAS","07","2021",2,0,0
10103,"AMAZONAS","CHACHAPOYAS","BALSAS","08","2021",2,0,0
10103,"AMAZONAS","CHACHAPOYAS","BALSAS","09","2021",0,0,1
10103,"AMAZONAS","CHACHAPOYAS","BALSAS","10","2021",1,0,0
10103,"AMAZONAS","CHACHAPOYAS","BALSAS","11","2021",0,0,0
10103,"AMAZONAS","CHACHAPOYAS","BALSAS","12","2021",0,0,0
10103,"AMAZONAS","CHACHAPOYAS","BALSAS","01","2022",2,0,1
10105,"AMAZONAS","CHACHAPOYAS","CHILIQUIN","03","2020",0,0,0
10105,"AMAZONAS","CHACHAPOYAS","CHILIQUIN","04","2020",0,0,0
10105,"AMAZONAS","CHACHAPOYAS","CHILIQUIN","05","2020",0,0,0
10105,"AMAZONAS","CHACHAPOYAS","CHILIQUIN","06","2020",0,0,0
10105,"AMAZONAS","CHACHAPOYAS","CHILIQUIN","07","2020",0,0,0
10105,"AMAZONAS","CHACHAPOYAS","CHILIQUIN","08","2020",1,0,0
10105,"AMAZONAS","CHACHAPOYAS","CHILIQUIN","09","2020",0,0,0
10105,"AMAZONAS","CHACHAPOYAS","CHILIQUIN","10","2020",0,0,0
10105,"AMAZONAS","CHACHAPOYAS","CHILIQUIN","11","2020",0,0,0
10105,"AMAZONAS","CHACHAPOYAS","CHILIQUIN","12","2020",0,1,1
10105,"AMAZONAS","CHACHAPOYAS","CHILIQUIN","01","2021",0,0,0
10105,"AMAZONAS","CHACHAPOYAS","CHILIQUIN","02","2021",0,0,0
10105,"AMAZONAS","CHACHAPOYAS","CHILIQUIN","03","2021",0,0,0
10105,"AMAZONAS","CHACHAPOYAS","CHILIQUIN","04","2021",4,0,0
10105,"AMAZONAS","CHACHAPOYAS","CHILIQUIN","05","2021",0,0,0
10105,"AMAZONAS","CHACHAPOYAS","CHILIQUIN","06","2021",0,0,0
10105,"AMAZONAS","CHACHAPOYAS","CHILIQUIN","07","2021",1,1,1
10105,"AMAZONAS","CHACHAPOYAS","CHILIQUIN","08","2021",0,0,0
10105,"AMAZONAS","CHACHAPOYAS","CHILIQUIN","09","2021",0,0,0
10105,"AMAZONAS","CHACHAPOYAS","CHILIQUIN","10","2021",0,0,0
10105,"AMAZONAS","CHACHAPOYAS","CHILIQUIN","11","2021",0,0,0
10105,"AMAZONAS","CHACHAPOYAS","CHILIQUIN","12","2021",0,0,1
10105,"AMAZONAS","CHACHAPOYAS","CHILIQUIN","01","2022",0,0,0
10106,"AMAZONAS","CHACHAPOYAS","CHUQUIBAMBA","03","2020",0,0,0
10106,"AMAZONAS","CHACHAPOYAS","CHUQUIBAMBA","04","2020",0,0,0
10106,"AMAZONAS","CHACHAPOYAS","CHUQUIBAMBA","05","2020",0,0,1
10106,"AMAZONAS","CHACHAPOYAS","CHUQUIBAMBA","06","2020",0,0,0
10106,"AMAZONAS","CHACHAPOYAS","CHUQUIBAMBA","07","2020",1,0,0
10106,"AMAZONAS","CHACHAPOYAS","CHUQUIBAMBA","08","2020",0,0,3
10106,"AMAZONAS","CHACHAPOYAS","CHUQUIBAMBA","09","2020",1,0,1
10106,"AMAZONAS","CHACHAPOYAS","CHUQUIBAMBA","10","2020",0,0,1
10106,"AMAZONAS","CHACHAPOYAS","CHUQUIBAMBA","11","2020",0,0,0
10106,"AMAZONAS","CHACHAPOYAS","CHUQUIBAMBA","12","2020",0,0,0
10106,"AMAZONAS","CHACHAPOYAS","CHUQUIBAMBA","01","2021",5,0,0
10106,"AMAZONAS","CHACHAPOYAS","CHUQUIBAMBA","02","2021",2,0,0
10106,"AMAZONAS","CHACHAPOYAS","CHUQUIBAMBA","03","2021",1,0,0
10106,"AMAZONAS","CHACHAPOYAS","CHUQUIBAMBA","04","2021",0,1,1
10106,"AMAZONAS","CHACHAPOYAS","CHUQUIBAMBA","05","2021",6,1,2
10106,"AMAZONAS","CHACHAPOYAS","CHUQUIBAMBA","06","2021",13,0,0
10106,"AMAZONAS","CHACHAPOYAS","CHUQUIBAMBA","07","2021",5,1,2
10106,"AMAZONAS","CHACHAPOYAS","CHUQUIBAMBA","08","2021",2,1,2
10106,"AMAZONAS","CHACHAPOYAS","CHUQUIBAMBA","09","2021",1,0,0
10106,"AMAZONAS","CHACHAPOYAS","CHUQUIBAMBA","10","2021",0,0,0
10106,"AMAZONAS","CHACHAPOYAS","CHUQUIBAMBA","11","2021",0,0,1
10106,"AMAZONAS","CHACHAPOYAS","CHUQUIBAMBA","12","2021",0,0,0
10106,"AMAZONAS","CHACHAPOYAS","CHUQUIBAMBA","01","2022",1,0,1
10108,"AMAZONAS","CHACHAPOYAS","HUANCAS","03","2020",0,0,0
10108,"AMAZONAS","CHACHAPOYAS","HUANCAS","04","2020",0,0,0
10108,"AMAZONAS","CHACHAPOYAS","HUANCAS","05","2020",3,0,0
10108,"AMAZONAS","CHACHAPOYAS","HUANCAS","06","2020",0,0,1
10108,"AMAZONAS","CHACHAPOYAS","HUANCAS","07","2020",0,0,0
10108,"AMAZONAS","CHACHAPOYAS","HUANCAS","08","2020",4,0,0
10108,"AMAZONAS","CHACHAPOYAS","HUANCAS","09","2020",6,3,0
10108,"AMAZONAS","CHACHAPOYAS","HUANCAS","10","2020",2,0,0
10108,"AMAZONAS","CHACHAPOYAS","HUANCAS","11","2020",0,1,0
10108,"AMAZONAS","CHACHAPOYAS","HUANCAS","12","2020",1,0,0
10108,"AMAZONAS","CHACHAPOYAS","HUANCAS","01","2021",1,0,0
