UBIGEO, MÉTODO DE EXPLOTACIÓN,TITULAR,UNIDAD,REGION,PROVINCIA,DISTRITO,PRODUCTO,LONGITUD,LATITUD
20201,MINERÍA SUBTERRÁNEA,COMPAÑIA MINERA LINCUNA S.A,HUANCAPETI,ANCASH,AIJA,AIJA,"As, Bi, Mn, Pb, Zn, Au, Ag",-77.531,-9.753
220902,MINERíA NO METÁLICA,QUIMPAC S.A.,SALINAS PILLUANA,SAN MARTIN,SAN MARTIN,ALBERTO LEVEAU,Sal,-76.267,-6.742
200502,MINERíA NO METÁLICA,COMPAÑIA MINERA AGREGADOS CALCAREOS S.A.,CERRO BLANCO,PIURA,PAITA,AMOTAPE,Bentonita,-81.027,-4.836
210802,MINERÍA SUBTERRÁNEA,MINSUR S.A.,QUENAMARI-SAN RAFAEL,PUNO,MELGAR,ANTAUTA,Sn,-70.4916,-14.1335
150502,MINERíA NO METÁLICA,COMPAÑIA MINERA LAS CAMELIAS S.A.,PROMESA 345,LIMA,CAÑETE,ASIA,Arcillas,-76.530467,-12.73648
10701,MINERíA NO METÁLICA,CEMENTOS SELVA S.A.,FILA LARGA 98,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,Puzolana,-78.558,-5.716
60202,MINERíA SUPERFICIAL,SHAHUINDO S.A.C.,SHAHUINDO,CAJAMARCA,CAJABAMBA,CACHACHI,"Au, Ag",-78.196,-7.604
131003,MINERíA SUPERFICIAL,COMPAÑIA MINERA SAN SIMON S.A.,LA VIRGEN,LA LIBERTAD,SANTIAGO DE CHUCO,CACHICADAN,"Au, Ag",-78.058088,-7.975328
60101,MINERíA SUPERFICIAL,MINERA YANACOCHA S.R.L.,CHAUPILOMA SUR,CAJAMARCA,CAJAMARCA,CAJAMARCA,"Au, Ag",-78.513711,-6.991236
40504,MINERíA NO METÁLICA,CALQUIPA S.A.C.,CALQUIPA,AREQUIPA,CAYLLOMA,CALLALLI,Caliza,-71.337,-15.442
61103,MINERíA SUPERFICIAL,MINERA LA ZANJA S.R.L.,LA ZANJA,CAJAMARCA,SAN MIGUEL,CALQUIS,"Au, Ag",-78.910953,-6.848597
51005,MINERÍA SUBTERRÁNEA,CATALINA HUANCA SOCIEDAD MINERA S.A.C.,CATALINA HUANCA,AYACUCHO,VICTOR FAJARDO,CANARIA,"Cu, Pb, Zn, Au, Ag",-73.935247,-13.981952
150106,MINERíA NO METÁLICA,COMPAÑIA MINERA LAS CAMELIAS S.A.,"COMICSA 5, 6 Y 7",LIMA,LIMA,CARABAYLLO,Arcillas,-77.037156,-11.815306
150106,MINERíA NO METÁLICA,UNION DE CONCRETERAS S.A.,YERBA BUENA,LIMA,LIMA,CARABAYLLO,Hormigón,-76.931698,-11.785591
211104,MINERíA NO METÁLICA,CAL & CEMENTO SUR S.A.,PUNO,PUNO,SAN ROMAN,CARACOTO,Calcita,-70.136523,-15.609905
180102,MINERíA SUPERFICIAL,ARUNTANI S.A.C.,TUCARI,MOQUEGUA,MARISCAL NIETO,CARUMAS,"Au, Ag",-70.1,-16.642
61104,MINERíA SUPERFICIAL,COMPAÑIA MINERA COIMOLACHE S.A.,TANTAHUATAY,CAJAMARCA,SAN MIGUEL,CATILLUC,"Au, Ag",-78.7,-6.738
40603,MINERÍA SUBTERRÁNEA,COMPAÑIA MINERA ARES S.A.C.,GRAN ARCATA,AREQUIPA,CONDESUYOS,CAYARANI,"Au, Ag, Pb, Zn",-72.329,-14.992
40505,MINERÍA SUBTERRÁNEA,BREXIA GOLDPLATA PERU S.A.C.,EL SANTO,AREQUIPA,CAYLLOMA,CAYLLOMA,"Pb, Zn, Au, Ag",-71.4942,-15.445111
40505,MINERíA SUPERFICIAL,MINERA BATEAS S.A.C.,SAN CRISTOBAL,AREQUIPA,CAYLLOMA,CAYLLOMA,"Cu, Mn, Pb, Zn, Au, Ag",-71.856156,-15.164604
