UBIGEO1,UBIGEO2,DEPARTAMENTO,PROVINCIA,DISTRITO,POVERTY_RATE,PBI_PC,IDH
10101,10000,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,9.034625,3449.564733,41.8
10102,10000,AMAZONAS,CHACHAPOYAS,ASUNCIÓN,36.519949,3449.564733,41.8
10103,10000,AMAZONAS,CHACHAPOYAS,BALSAS,45.732962,3449.564733,41.8
10104,10000,AMAZONAS,CHACHAPOYAS,CHETO,39.169782,3449.564733,41.8
10105,10000,AMAZONAS,CHACHAPOYAS,CHILIQUÍN,53.045662,3449.564733,41.8
10106,10000,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,51.607832,3449.564733,41.8
10107,10000,AMAZONAS,CHACHAPOYAS,GRANADA,43.865957,3449.564733,41.8
10108,10000,AMAZONAS,CHACHAPOYAS,HUANCAS,31.977312,3449.564733,41.8
10109,10000,AMAZONAS,CHACHAPOYAS,LA JALCA,47.947723,3449.564733,41.8
10110,10000,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,25.741684,3449.564733,41.8
10111,10000,AMAZONAS,CHACHAPOYAS,LEVANTO,41.081444,3449.564733,41.8
10112,10000,AMAZONAS,CHACHAPOYAS,MAGDALENA,30.634088,3449.564733,41.8
10113,10000,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,39.230882,3449.564733,41.8
10114,10000,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,35.654304,3449.564733,41.8
10115,10000,AMAZONAS,CHACHAPOYAS,MONTEVIDEO,38.644489,3449.564733,41.8
10116,10000,AMAZONAS,CHACHAPOYAS,OLLEROS,47.9082,3449.564733,41.8
10117,10000,AMAZONAS,CHACHAPOYAS,QUINJALCA,47.119202,3449.564733,41.8
10118,10000,AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS,29.704094,3449.564733,41.8
10119,10000,AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO,43.370115,3449.564733,41.8
10120,10000,AMAZONAS,CHACHAPOYAS,SOLOCO,41.062364,3449.564733,41.8
10121,10000,AMAZONAS,CHACHAPOYAS,SONCHE,55.850202,3449.564733,41.8
10201,10000,AMAZONAS,BAGUA,BAGUA ,16.212835,3449.564733,41.8
10202,10000,AMAZONAS,BAGUA,ARAMANGO,38.525807,3449.564733,41.8
10203,10000,AMAZONAS,BAGUA,COPALLÍN,24.530258,3449.564733,41.8
10204,10000,AMAZONAS,BAGUA,EL PARCO,35.249588,3449.564733,41.8
10205,10000,AMAZONAS,BAGUA,IMAZA,53.94969,3449.564733,41.8
10206,10000,AMAZONAS,BAGUA,LA PECA ,34.761666,3449.564733,41.8
10301,10000,AMAZONAS,BONGARÁ,JUMBILLA,29.547678,3449.564733,41.8
10302,10000,AMAZONAS,BONGARÁ,CHISQUILLA,42.24183,3449.564733,41.8
10303,10000,AMAZONAS,BONGARÁ,CHURUJA,20.78695,3449.564733,41.8
10304,10000,AMAZONAS,BONGARÁ,COROSHA,54.796368,3449.564733,41.8
10305,10000,AMAZONAS,BONGARÁ,CUISPES,45.831589,3449.564733,41.8
10306,10000,AMAZONAS,BONGARÁ,FLORIDA,33.682214,3449.564733,41.8
10307,10000,AMAZONAS,BONGARÁ,JAZÁN,22.712901,3449.564733,41.8
10308,10000,AMAZONAS,BONGARÁ,RECTA,38.690705,3449.564733,41.8
10309,10000,AMAZONAS,BONGARÁ,SAN CARLOS,28.9591,3449.564733,41.8
10310,10000,AMAZONAS,BONGARÁ,SHIPASBAMBA,35.863148,3449.564733,41.8
10311,10000,AMAZONAS,BONGARÁ,VALERA,20.78695,3449.564733,41.8
10312,10000,AMAZONAS,BONGARÁ,YAMBRASBAMBA,43.859279,3449.564733,41.8
10401,10000,AMAZONAS,CONDORCANQUI,NIEVA ,51.406262,3449.564733,41.8
10402,10000,AMAZONAS,CONDORCANQUI,EL CENEPA ,62.912381,3449.564733,41.8
10403,10000,AMAZONAS,CONDORCANQUI,RÍO SANTIAGO,59.872335,3449.564733,41.8
10501,10000,AMAZONAS,LUYA,LAMUD,30.951386,3449.564733,41.8
10502,10000,AMAZONAS,LUYA,CAMPORREDONDO,50.206718,3449.564733,41.8
10503,10000,AMAZONAS,LUYA,COCABAMBA,55.979223,3449.564733,41.8
10504,10000,AMAZONAS,LUYA,COLCAMAR,42.320492,3449.564733,41.8
10505,10000,AMAZONAS,LUYA,CONILA,49.642272,3449.564733,41.8
10506,10000,AMAZONAS,LUYA,INGUILPATA,40.196248,3449.564733,41.8
10507,10000,AMAZONAS,LUYA,LONGUITA,56.751291,3449.564733,41.8
10508,10000,AMAZONAS,LUYA,LONYA CHICO,46.699525,3449.564733,41.8
10509,10000,AMAZONAS,LUYA,LUYA,30.284501,3449.564733,41.8
10510,10000,AMAZONAS,LUYA,LUYA VIEJO,54.438368,3449.564733,41.8
10511,10000,AMAZONAS,LUYA,MARÍA,51.870194,3449.564733,41.8
10512,10000,AMAZONAS,LUYA,OCALLI,45.39658,3449.564733,41.8
10513,10000,AMAZONAS,LUYA,OCUMAL,52.242779,3449.564733,41.8
10514,10000,AMAZONAS,LUYA,PISUQUIA,58.528572,3449.564733,41.8
10515,10000,AMAZONAS,LUYA,PROVIDENCIA,54.733542,3449.564733,41.8
10516,10000,AMAZONAS,LUYA,SAN CRISTÓBAL,52.75641,3449.564733,41.8
10517,10000,AMAZONAS,LUYA,SAN FRANCISCO DEL YESO,49.096061,3449.564733,41.8
10518,10000,AMAZONAS,LUYA,SAN JERONIMO,47.147578,3449.564733,41.8
10519,10000,AMAZONAS,LUYA,SAN JUAN DE LOPECANCHA,55.646778,3449.564733,41.8
10520,10000,AMAZONAS,LUYA,SANTA CATALINA,60.302966,3449.564733,41.8
10521,10000,AMAZONAS,LUYA,SANTO TOMÁS,46.979229,3449.564733,41.8
10522,10000,AMAZONAS,LUYA,TINGO,40.0163,3449.564733,41.8
10523,10000,AMAZONAS,LUYA,TRITA,50.058289,3449.564733,41.8
10601,10000,AMAZONAS,RODRIGUEZ DE MENDOZA,SAN NICOLÁS,20.821354,3449.564733,41.8
10602,10000,AMAZONAS,RODRIGUEZ DE MENDOZA,CHIRIMOTO,38.449165,3449.564733,41.8
10603,10000,AMAZONAS,RODRIGUEZ DE MENDOZA,COCHAMAL,33.428571,3449.564733,41.8
10604,10000,AMAZONAS,RODRIGUEZ DE MENDOZA,HUAMBO,22.971,3449.564733,41.8
10605,10000,AMAZONAS,RODRIGUEZ DE MENDOZA,LIMABAMBA,37.433423,3449.564733,41.8
10606,10000,AMAZONAS,RODRIGUEZ DE MENDOZA,LONGAR,25.822,3449.564733,41.8
10607,10000,AMAZONAS,RODRIGUEZ DE MENDOZA,MARISCAL BENAVIDES,22.117973,3449.564733,41.8
10608,10000,AMAZONAS,RODRIGUEZ DE MENDOZA,MILPUC,31.604121,3449.564733,41.8
10609,10000,AMAZONAS,RODRIGUEZ DE MENDOZA,OMIA,39.50835,3449.564733,41.8
10610,10000,AMAZONAS,RODRIGUEZ DE MENDOZA,SANTA ROSA,24.453776,3449.564733,41.8
10611,10000,AMAZONAS,RODRIGUEZ DE MENDOZA,TOTORA,22.971,3449.564733,41.8
10612,10000,AMAZONAS,RODRIGUEZ DE MENDOZA,VISTA ALEGRE,51.237772,3449.564733,41.8
10701,10000,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,24.502994,3449.564733,41.8
10702,10000,AMAZONAS,UTCUBAMBA,CAJARURO ,35.929618,3449.564733,41.8
10703,10000,AMAZONAS,UTCUBAMBA,CUMBA,37.445098,3449.564733,41.8
10704,10000,AMAZONAS,UTCUBAMBA,EL MILAGRO,26.712135,3449.564733,41.8
10705,10000,AMAZONAS,UTCUBAMBA,JAMALCA,35.474788,3449.564733,41.8
