conglome,vivienda,hogar,dominio,registro_sunarp,nbi1,nbi2,nbi3,nbi4,nbi5,longitud,latitud,prog_mujer,prog_juntos,prog_juvenil,beca18,bonogas,bono_ind,bono_uni,retiro_afp
006024,001,11,8,,0,0,0,0,0,-77.133652,-11.825158,0,0,0,0,0,0,0,1
006024,015,11,8,1,0,0,0,0,0,-77.133652,-11.825158,0,0,0,0,0,0,0,0
006024,027,11,8,1,0,0,0,0,0,-77.133652,-11.825158,0,0,0,0,0,0,0,0
006024,041,11,8,2,0,0,0,0,0,-77.133652,-11.825158,0,0,0,0,1,0,1,1
006024,068,11,8,1,0,0,0,0,0,-77.133652,-11.825158,0,0,0,0,0,0,1,0
006024,108,11,8,1,0,0,0,0,0,-77.133652,-11.825158,0,0,0,0,0,0,1,0
006025,002,12,8,,0,0,0,0,0,-77.126427,-11.823455,0,0,0,0,0,0,0,0
006025,002,22,8,,0,0,0,0,0,-77.126427,-11.823455,0,0,0,0,0,0,0,0
006025,010,11,8,,0,0,0,0,0,-77.126427,-11.823455,0,0,0,0,0,0,0,0
006025,023,11,8,,0,0,0,0,0,-77.126427,-11.823455,0,0,0,0,0,0,0,0
006025,036,11,8,,0,0,0,0,1,-77.126427,-11.823455,0,0,0,0,1,0,0,0
006025,040,11,8,,0,0,0,0,0,-77.126427,-11.823455,0,0,0,0,0,0,0,0
006025,064,11,8,,0,0,0,0,0,-77.126427,-11.823455,0,0,0,0,0,0,0,1
006026,016,11,8,1,0,0,0,0,0,-77.133926,-11.827603,0,0,0,0,1,0,0,0
006026,043,11,8,1,0,0,0,0,0,-77.133926,-11.827603,0,0,0,0,0,0,0,0
006026,070,11,8,1,0,0,0,0,0,-77.133926,-11.827603,0,0,0,0,1,0,0,0
006026,084,11,8,,0,0,0,0,0,-77.133926,-11.827603,0,0,0,0,1,1,0,0
006026,110,11,8,1,0,0,0,0,0,-77.133926,-11.827603,,,,,,,,
006027,024,11,8,,0,0,0,0,0,-77.138649,-11.830967,0,0,0,0,0,0,0,0
006027,040,11,8,,0,0,0,0,0,-77.138649,-11.830967,0,0,0,0,0,0,0,1
006027,055,11,8,,0,0,0,0,0,-77.138649,-11.830967,0,0,0,0,0,0,0,0
006027,101,11,8,,1,0,0,0,0,-77.138649,-11.830967,0,0,0,0,0,0,1,0
006027,132,11,8,,0,0,0,0,0,-77.138649,-11.830967,0,0,0,0,0,0,0,0
006028,007,11,8,1,0,0,0,0,0,-77.132584,-11.832005,0,0,0,0,0,0,0,0
006028,020,11,8,,0,0,0,0,0,-77.132584,-11.832005,0,0,0,0,0,0,0,0
006028,074,12,8,1,0,0,0,0,0,-77.132584,-11.832005,,,,,,,,
006028,088,11,8,1,0,0,0,0,0,-77.132584,-11.832005,0,0,0,0,0,0,0,0
006028,114,11,8,1,0,0,0,0,0,-77.132584,-11.832005,0,0,0,0,0,0,0,0
006029,007,11,8,1,0,0,0,0,0,-77.129189,-11.841843,0,0,0,0,0,0,0,0
006029,035,11,8,1,0,0,0,0,0,-77.129189,-11.841843,0,0,0,0,0,0,0,0
006029,050,11,8,1,0,0,0,0,0,-77.129189,-11.841843,0,0,0,0,0,0,0,1
006029,077,11,8,2,0,0,0,0,0,-77.129189,-11.841843,0,0,0,0,0,0,0,0
006029,092,11,8,,0,0,0,0,0,-77.129189,-11.841843,0,0,0,0,0,0,1,0
006032,010,11,8,1,0,0,0,0,0,-77.128754,-11.836511,,,,,,,,
006032,041,11,8,2,0,0,0,0,0,-77.128754,-11.836511,0,0,0,0,0,0,0,0
006032,087,11,8,1,1,0,0,0,0,-77.128754,-11.836511,0,0,0,0,0,0,0,0
006032,102,11,8,,0,0,0,0,0,-77.128754,-11.836511,0,0,0,0,0,0,0,0
006032,131,11,8,1,0,0,0,0,0,-77.128754,-11.836511,0,0,0,0,0,0,0,0
006033,014,11,8,1,0,0,0,0,0,-77.125313,-11.835294,0,0,0,0,0,0,0,0
006033,024,11,8,1,0,0,0,0,0,-77.125313,-11.835294,0,0,0,0,0,0,1,0
006033,053,11,8,1,0,0,0,0,0,-77.125313,-11.835294,0,0,0,0,0,0,0,0
006033,064,11,8,1,0,0,0,0,1,-77.125313,-11.835294,,,,,,,,
006033,078,11,8,1,0,0,0,0,0,-77.125313,-11.835294,0,0,0,0,0,0,1,0
006033,093,11,8,1,0,0,0,0,0,-77.125313,-11.835294,0,0,0,0,0,0,1,0
006034,010,11,8,,0,0,1,0,0,-77.124214,-11.834087,0,0,0,0,0,0,0,0
006034,022,11,8,1,0,0,0,0,0,-77.124214,-11.834087,0,0,0,0,0,0,0,0
006034,037,11,8,,0,0,0,0,0,-77.124214,-11.834087,0,0,0,0,0,0,0,0
006034,061,11,8,1,0,0,0,0,0,-77.124214,-11.834087,0,0,0,0,0,0,0,0
006034,076,11,8,,0,0,0,0,0,-77.124214,-11.834087,0,0,0,0,0,0,0,0
006034,091,11,8,1,0,0,0,0,0,-77.124214,-11.834087,0,0,0,0,0,0,0,0
006037,006,11,8,1,0,0,0,0,0,-77.117348,-11.85587,0,0,0,0,0,0,0,0
006037,019,11,8,2,0,0,0,0,0,-77.117348,-11.85587,0,0,0,0,0,0,0,0
006037,031,11,8,1,0,0,0,0,0,-77.117348,-11.85587,0,0,0,0,0,0,0,0
006037,047,11,8,,0,0,0,0,0,-77.117348,-11.85587,0,0,0,0,0,0,0,0
006037,078,11,8,1,0,0,0,0,0,-77.117348,-11.85587,0,0,0,0,0,0,1,0
006037,098,11,8,2,0,0,0,0,0,-77.117348,-11.85587,0,0,0,0,0,0,0,0
006038,006,11,8,1,0,0,0,0,0,-77.122772,-11.851635,,,,,,,,
006038,018,11,8,,0,0,0,0,0,-77.122772,-11.851635,0,0,0,0,0,0,0,0
006038,030,11,8,1,0,0,0,0,0,-77.122772,-11.851635,0,0,0,0,0,0,0,0
006038,054,12,8,1,0,0,0,0,0,-77.122772,-11.851635,,,,,,,,
006038,054,22,8,,0,0,0,0,0,-77.122772,-11.851635,,,,,,,,
006038,064,11,8,2,0,0,0,0,0,-77.122772,-11.851635,0,0,0,0,0,0,0,0
006038,077,11,8,,0,0,0,0,0,-77.122772,-11.851635,0,0,0,0,0,0,0,0
006041,011,11,8,,0,1,0,0,0,-77.128845,-11.857116,0,0,0,0,0,0,0,1
006041,021,11,8,,0,0,0,0,0,-77.128845,-11.857116,0,0,0,0,0,0,0,1
006041,034,11,8,,0,0,0,0,0,-77.128845,-11.857116,0,0,0,0,0,0,0,0
006041,049,11,8,,0,0,0,0,0,-77.128845,-11.857116,0,0,0,0,0,0,0,0
006041,102,11,8,,0,0,0,0,0,-77.128845,-11.857116,0,0,0,0,0,0,0,0
006041,131,11,8,,0,0,0,1,0,-77.128845,-11.857116,0,0,0,0,0,1,0,0
006042,008,11,8,2,0,0,0,0,0,-77.121902,-11.863496,0,0,0,0,0,0,0,0
006042,022,11,8,2,0,0,0,0,0,-77.121902,-11.863496,0,0,0,0,0,0,0,0
006042,035,11,8,,0,0,0,0,0,-77.121902,-11.863496,0,0,0,0,0,0,0,0
006042,075,11,8,,0,0,0,0,0,-77.121902,-11.863496,0,0,0,0,0,0,0,0
006042,090,11,8,,0,0,0,0,0,-77.121902,-11.863496,,,,,,,,
006043,021,11,8,1,0,0,0,0,0,-77.118408,-11.866288,0,0,0,0,0,0,0,0
006043,043,11,8,,0,0,1,0,0,-77.118408,-11.866288,0,0,0,0,0,0,0,0
006043,088,11,8,1,0,0,0,0,0,-77.118408,-11.866288,0,0,0,0,0,0,1,1
006043,113,11,8,,0,0,1,0,0,-77.118408,-11.866288,0,0,0,0,0,0,0,1
006043,134,11,8,,0,0,0,0,0,-77.118408,-11.866288,0,0,0,0,1,0,1,1
006043,158,11,8,1,0,0,0,0,0,-77.118408,-11.866288,0,0,0,0,0,0,0,0
006044,008,11,8,1,0,0,0,0,0,-77.117737,-11.872937,0,0,0,0,0,0,0,0
006044,026,11,8,,0,0,0,0,0,-77.117737,-11.872937,0,0,0,0,0,0,0,0
006044,036,11,8,1,0,0,0,0,0,-77.117737,-11.872937,0,0,0,0,0,0,0,0
006044,062,11,8,1,0,0,0,0,0,-77.117737,-11.872937,0,0,0,0,0,0,1,0
