COUNTRY_NAME,ISO3_CODE,AREA,N_FEATURES
China,CHN,6567.1490850048,5557
Australia,AUS,6470.28530629661,1797
United States,USA,6427.740859772357,2252
Russian Federation,RUS,6053.14126538845,1665
Chile,CHL,3759.658903944145,227
Indonesia,IDN,3681.399622501968,957
South Africa,ZAF,3145.9653733355203,915
Canada,CAN,2099.0682599642664,734
India,IND,1884.9617016186658,781
Kazakhstan,KAZ,1640.332948781882,368
Brazil,BRA,1493.361695633119,459
Peru,PER,809.7547584441531,277
Ukraine,UKR,792.4904726921388,634
Suriname,SUR,791.4158706722995,57
Venezuela,VEN,658.9266794158904,50
Ghana,GHA,657.5032191451375,273
Mexico,MEX,617.5960549887117,350
Argentina,ARG,564.5777556604731,86
Colombia,COL,507.69831405481364,56
Germany,DEU,496.03995621174784,96
Zambia,ZMB,432.55854861832546,75
Mongolia,MNG,384.15271273934724,119
Turkey,TUR,378.74153362813144,191
Democratic Republic of The Congo,COD,367.37923840200796,139
Namibia,NAM,331.04776486996394,63
Iran,IRN,321.340389137627,60
Uzbekistan,UZB,290.0173197988176,25
Jordan,JOR,263.40154913369946,45
Poland,POL,256.6936480169779,105
New Caledonia,NCL,238.03211311795042,124
Guyana,GUY,237.13944081023084,132
Botswana,BWA,225.1517168903029,29
Philippines,PHL,217.93704239892224,124
Greece,GRC,194.98767986058598,56
Bulgaria,BGR,188.1939870693752,40
Zimbabwe,ZWE,182.41439478474902,167
Angola,AGO,179.22191010833274,75
Vietnam,VNM,160.3695772208564,70
Mali,MLI,157.0256806887575,30
Czechia,CZE,156.30060564208404,48
Romania,ROU,154.86679474808244,56
Guinea,GIN,146.5598091852943,67
Bolivia,BOL,142.0383179141887,36
Thailand,THA,130.71837898930337,13
Serbia,SRB,130.09982449026796,41
United Kingdom,GBR,120.0880987176571,95
Sweden,SWE,114.000408893599,46
Finland,FIN,104.24183437899657,77
United Republic of Tanzania,TZA,98.56750551388232,19
New Zealand,NZL,89.74435819895452,102
Spain,ESP,88.7653688350072,69
Mauritania,MRT,85.7494126688572,25
Burkina Faso,BFA,81.81682893585818,30
Sierra Leone,SLE,76.38744944123275,63
Mozambique,MOZ,75.56960533947,21
Cuba,CUB,71.09924585994716,25
Morocco,MAR,68.33176050665494,26
Malaysia,MYS,63.3790583051348,53
Papua New Guinea,PNG,62.97894758121595,17
Hungary,HUN,62.19692179347988,75
Western Sahara,ESH,61.729986572201724,1
Kyrgyzstan,KGZ,61.53454335471052,23
Egypt,EGY,49.21054116406256,10
Saudi Arabia,SAU,47.64935049380834,50
Niger,NER,46.634430850994384,10
Gabon,GAB,46.073490569645855,7
Laos,LAO,45.66038670153129,10
Israel,ISR,44.17422141962518,9
Myanmar/Burma,MMR,40.44551527350632,9
Côte D’Ivoire,CIV,37.20567228502729,9
Armenia,ARM,30.0689774300969,36
Norway,NOR,28.682646653992556,16
Dominican Republic,DOM,28.61962223829313,15
Bosnia and Herzegovina,BIH,24.89664854705868,7
Senegal,SEN,23.933030549077515,7
Jamaica,JAM,22.36887862859462,35
North Korea,PRK,20.935060325362183,17
Algeria,DZA,19.88549148497592,75
North Macedonia,MKD,18.17357070854288,12
South Korea,KOR,17.665580055437474,18
Sudan,SDN,14.724780881873649,15
Georgia,GEO,14.368982865853903,7
Italy,ITA,13.702983975183978,43
Tajikistan,TJK,13.416360283965131,12
Pakistan,PAK,12.943063824479285,17
Oman,OMN,12.849365498823172,46
France,FRA,12.833755362887764,7
Madagascar,MDG,12.325141054109237,9
Liberia,LBR,11.64938890776101,18
Lesotho,LSO,11.646440553477756,8
Panama,PAN,11.42641233976353,7
Montenegro,MNE,10.881421907447349,13
Eritrea,ERI,10.148839263624902,4
Slovakia,SVK,10.06712269092401,28
Guatemala,GTM,9.716623094097537,13
Nicaragua,NIC,9.484221458834671,9
Austria,AUT,9.363093703316721,7
Uruguay,URY,9.199992603915437,4
Iraq,IRQ,8.84480243807869,4
Tunisia,TUN,8.544754872206775,4
Portugal,PRT,8.30399241838463,13
Ethiopia,ETH,7.222516626345488,5
Albania,ALB,7.195346771466184,21
Honduras,HND,7.147258336283313,7
Azerbaijan,AZE,7.1124950536811165,12
Ireland,IRL,6.759745541315645,8
Ecuador,ECU,6.608109753413342,20
Kenya,KEN,5.239124237235922,5
Solomon Islands,SLB,5.045360072754085,1
Japan,JPN,4.8440283255583285,12
Cyprus,CYP,4.235016899700055,2
United Arab Emirates,ARE,4.2085390337818955,6
Malawi,MWI,3.8941851846514344,4
Slovenia,SVN,1.7503583856692357,4
Bangladesh,BGD,1.271717061841786,2
Fiji,FJI,1.2392172442298233,7
Rwanda,RWA,1.2360030878016524,7
Costa Rica,CRI,1.0374515424387976,2
Svalbard and Jan Mayen,SJM,1.0370531813598172,3
Uganda,UGA,0.2232744707529824,2
Guinea-Bissau,GNB,0.05583081659013592,2
