,N°,UNIVERSIDAD,DEPARTAMENTO,PROVINCIA,DISPOSITIVO LEGAL DE CREACIÓN,FECHA DE CREACIÓN,DISPOSITIVO LEGAL DE LICENCIAMIENTO,FECHA DE PUB. DIARIO EL PERUANO,TIPO,DISPOSITIVO LEGAL DE LICENCIAMIENTO O DENEGATORIA,CONDICIÓN JURÍDICA
0,1,Universidad Nacional Mayor de San Marcos,Lima,Lima,Real Cédula de Fundación,12/05/1551,Res. N° 036-2018-SUNEDU/CD,04/04/2018,Universidad publica,,
1,2,Universidad Nacional de San Cristóbal de Huamanga,Ayacucho,Huamanga,Ley N° 12828,03/07/1677,Res. N° 050-2018-SUNEDU/CD,01/06/2018,Universidad publica,,
2,3,Universidad Nacional de San Antonio Abad del Cusco,Cusco,Cusco,Real Cédula de Fundación,01/06/1692,Res. N° 059-2019-SUNEDU/CD,04/05/2019,Universidad publica,,
3,4,Universidad Nacional de Trujillo,La Libertad,Trujillo,Decreto Directoral,10/05/1824,Res. N° 127-2018-SUNEDU/CD,20/09/2018,Universidad publica,,
4,5,Universidad Nacional de San Agustín de Arequipa,Arequipa,Arequipa,Acta de Instalación,11/11/1828,Res. N° 098-2018-SUNEDU/CD,27/08/2018,Universidad publica,,
5,6,Universidad Nacional de Ingeniería,Lima,Lima,Ley N° 12379,19/07/1955,Res. N° 073-2017-SUNEDU/CD,28/11/2017,Universidad publica,,
6,7,Universidad Nacional Agraria La Molina,Lima,Lima,Ley N° 13417,08/04/1960,Res. N° 011-2017-SUNEDU/CD,20/03/2017,Universidad publica,,
7,8,Universidad Nacional San Luis Gonzaga,Ica,Ica,Ley N° 12495,20/12/1955,,,Universidad publica,,
8,9,Universidad Nacional del Centro del Perú,Junín,Huancayo,Ley N° 13827,02/01/1962,Res. N° 022-2019-SUNEDU/CD,01/03/2019,Universidad publica,,
9,10,Universidad Nacional de la Amazonía Peruana,Loreto,Maynas,Ley N° 13498,14/01/1961,Res. N° 012-2019-SUNEDU/CD,01/02/2019,Universidad publica,,
10,11,Universidad Nacional del Altiplano,Puno,Puno,Ley N° 13516,10/02/1961,Res. N° 101-2017-SUNEDU/CD,30/12/2017,Universidad publica,,
11,12,Universidad Nacional de Piura,Piura,Piura,Ley N° 13531,03/03/1961,Res. N° 058-2019-SUNEDU/CD,07/05/2019,Universidad publica,,
12,13,Universidad Nacional de Cajamarca,Cajamarca,Cajamarca,Ley N° 14015,13/02/1962,Res. N° 080-2018-SUNEDU/CD,17/07/2018,Universidad publica,,
13,14,Universidad Nacional Federico Villarreal,Lima,Lima,Ley N° 14692,30/10/1963,,,Universidad publica,,
14,15,Universidad Nacional Agraria de la Selva,Huánuco,Leoncio Prado,Ley N° 14912,20/02/1964,Res. N° 114-2019-SUNEDU/CD,29/08/2019,Universidad publica,,
15,16,Universidad Nacional Hermilio Valdizán de Huánuco,Huánuco,Huánuco,Ley N° 14915,20/02/1964,Res. N° 099-2019-SUNEDU/CD,26/07/2019,Universidad publica,,
16,17,Universidad Nacional de Educación Enrique Guzmán y Valle,Lima,Lima,Ley N° 15519,07/04/1965,,,Universidad publica,,
17,18,Universidad Nacional Daniel Alcides Carrión,Pasco,Pasco,Ley N° 15527,23/04/1965,Res. N° 111-2019-SUNEDU/CD,22/08/2019,Universidad publica,,
18,19,Universidad Nacional del Callao,Callao,Callao,Ley N° 16225,02/09/1966,,,Universidad publica,,
19,20,Universidad Nacional José Faustino Sánchez Carrión,Lima,Huaura,Decreto Ley N° 17358,31/12/1968,,,Universidad publica,,
20,21,Universidad Nacional Pedro Ruiz Gallo,Lambayeque,Lambayeque,Decreto Ley N° 18179,17/03/1970,,,Universidad publica,,
21,22,Universidad Nacional Jorge Basadre Grohmann,Tacna,Tacna,Decreto Ley N° 18942,26/08/1971,Res. N° 056-2018-SUNEDU/CD,13/06/2018,Universidad publica,,
22,23,Universidad Nacional Santiago Antúnez de Mayolo,Ancash,Huaraz,Decreto Ley N° 21856,24/05/1977,Res. N° 173-2018-SUNEDU/CD,01/01/2018,Universidad publica,,
23,24,Universidad Nacional de San Martín,San Martín,San Martín,Decreto Ley N° 22803,18/12/1979,Res. N° 055-2019-SUNEDU/CD,01/05/2019,Universidad publica,,
24,25,Universidad Nacional de Ucayali,Ucayali,Coronel Portillo,Decreto Ley N° 22804,18/12/1979,Res. N° 149-2018-SUNEDU/CD,15/11/2018,Universidad publica,,
25,26,Universidad Nacional de Tumbes,Tumbes,Tumbes,Ley N° 23881,23/06/1984,,,Universidad publica,,
26,27,Universidad Nacional del Santa,Ancash,Santa,Ley N° 24035,20/12/1984,Res. N° 028-2019-SUNEDU/CD,12/03/2019,Universidad publica,,
