nlat_ie,nlong_ie
-6.23176,-77.87242999999999
-6.23159,-77.87002
-6.227,-77.87551999999999
-6.2477,-77.8877
-6.22935,-77.86463999999999
-6.22731,-77.87242999999999
-6.25748,-77.82205999999999
-8.603199999999999,-77.9936
-6.2296,-77.8677
-6.22055,-77.87350000000001
-6.2276,-77.8793
-6.2181,-77.8665
-8.602399999999999,-77.75223
-6.23219,-77.87233000000001
-6.22647,-77.87517
-6.2302,-77.8556
-6.2468,-77.88809999999999
-6.2749,-77.9393
-6.2542,-77.833
-6.23,-77.87
-6.25142,-77.81079
-6.2524,-77.8207
-6.23039,-77.8779
-6.22841,-77.87426000000001
-6.22917,-77.86565
-6.23028,-77.86994
-6.22926,-77.86431
-8.6898,-77.88760000000001
-8.61849,-77.86432000000001
-6.22912,-77.86367
-6.23203,-77.86993
-6.22584,-77.86802
-6.23423,-77.86494
-6.0317,-77.7102
-5.963,-77.7521
-6.8364,-78.02070000000001
-6.8356,-78.01900000000001
-6.8446,-78.0292
-6.73454,-77.9423
-6.8517,-77.994
-6.8406,-77.93510000000001
-6.813,-77.93899999999999
-6.25453,-77.70126
-6.2545,-77.7012
-6.2898,-77.6943
-6.2573,-77.72029999999999
-6.0972,-77.8082
-6.07128,-77.80812
-6.1417,-77.7548
-6.07858,-77.7377
-6.1415,-77.7535
-6.1041,-77.7954
-6.0977,-77.8094
-6.03686,-77.77122
-6.11403,-77.72408
-6.935,-77.8548
-6.929,-77.8993
-6.93265,-77.929
-6.928,-77.9409
-6.9058,-77.782
-6.9658,-78.0001
-6.9051,-77.78149999999999
-6.9277,-77.899
-6.9279,-77.9425
-6.9327,-77.92910000000001
-6.9637,-77.90779999999999
-6.9558,-77.9179
-6.9385,-77.8557
-6.9507,-77.5334
-6.9676,-77.97304
-6.9389,-77.85639999999999
-6.1049,-77.6276
-6.1043,-77.6275
-6.1961,-77.7216
-6.1746,-77.86490000000001
-6.1743,-77.86360000000001
-6.4858,-77.8168
-6.5583,-77.8129
-6.54702,-77.81288000000001
-6.5312,-77.82689999999999
-6.457,-77.84172
-6.47222,-77.61851
-6.4843,-77.81610000000001
-6.5585,-77.8142
-6.487,-77.6048
-6.51032,-77.84945999999999
-6.47884,-77.8597
-6.46394,-77.83154
-6.5695,-77.82810000000001
-6.5464,-77.81229999999999
-6.44394,-77.84737
-6.46933,-77.81162
-6.52962,-77.8265
-6.51001,-77.82384
-6.52517,-77.8143
-6.50338,-77.59144999999999
-6.4609,-77.82380000000001
-6.3983,-77.81740000000001
-6.4821,-77.81829999999999
-13.6299,-73.1995
-6.7099,-77.8039
-6.7046,-77.8006
-6.7179,-77.8017
-6.753,-77.928
-6.7255,-77.60380000000001
-6.7062,-77.8035
-6.7092,-77.8051
-6.7254,-77.60513
-6.6588,-77.79730000000001
-6.7045,-77.8005
-6.753,-77.928
-6.7095,-77.81310000000001
-6.6894,-77.7928
-6.7871,-77.9192
-6.7161,-77.80025000000001
-6.70537,-77.80567000000001
-6.70458,-77.8006
-6.70458,-77.80058
-6.3081,-77.8995
-6.3089,-77.90649999999999
-6.30853,-77.89869
-13.6313,-73.17149999999999
-6.3013,-77.87297
-6.3087,-77.9061
-6.3727,-77.90000000000001
-6.37328,-77.90177
-6.3721,-77.9015
-6.5936,-77.8087
-6.6043,-77.7957
-6.5815,-77.8043
-6.5937,-77.8091
-6.6044,-77.79470000000001
-6.5749,-77.813
-6.5871,-77.7903
-6.5822,-77.8036
-6.5947,-77.80970000000001
-6.2082,-77.66679999999999
-6.2168,-77.6576
-6.2673,-77.5702
-6.2844,-77.5578
-6.3277,-77.5209
-6.20848,-77.66943000000001
-6.21653,-77.65751
-6.2832,-77.5583
-6.22392,-77.62079
-6.2046,-77.64660000000001
-6.3274,-77.5211
-6.2667,-77.56870000000001
-6.2545,-77.6964
-6.17918,-77.71836999999999
-6.20845,-77.66646
-6.224,-77.6215
-6.6191,-77.8023
-6.618,-77.80110000000001
-6.64383,-77.80407
-6.61786,-77.80132
-6.054,-77.64841
-6.0036,-77.7214
-6.02638,-77.68985000000001
-6.1676,-77.72629999999999
-6.09164,-77.67865
-6.0917,-77.6785
-6.16786,-77.72669999999999
-6.06146,-77.68903
-6.0965,-77.6559
-6.0709,-77.72542
-6.0645,-77.74544
-6.0809,-77.66589999999999
-6.2259,-77.7313
-6.3353,-77.8815
-6.33866,-77.88068
-6.3757,-77.8693
-6.328,-77.8762
-6.2512,-77.7655
-6.2513,-77.74469999999999
-6.40026,-77.59264
-6.2593,-77.745
-6.24981,-77.76730000000001
-6.2514,-77.7448
-6.32584,-77.67771
-6.24171,-77.72864
-6.40017,-77.59155
-6.2643,-77.7452
-6.2212,-77.7743
-6.1862,-77.7812
-6.21917,-77.77507
-16.33329,-71.54545
-12.78332,-74.96896
-6.84561,-79.30242
-7.05526,-79.73900999999999
-6.1693,-79.53749999999999
-6.7652,-79.73
-12.9708,-73.92189999999999
-16.39893,-71.53695999999999
-8.383749999999999,-74.85811
-6.07267,-79.18781
-11.7741,-75.4984
-5.5618,-78.5514
-5.6688,-78.488
-3.76143,-73.24947
-5.6345,-78.5299
-5.6376,-78.5338
-5.641,-78.5329
-5.6699,-78.4879
-5.59048,-78.55225
-5.62321,-78.50223
-5.5945,-78.49308000000001
-5.56437,-78.50579
-5.6095,-78.4379
-5.59896,-78.44289000000001
-5.61988,-78.41575
-5.5203,-78.49809999999999
-5.6396,-78.4218
-5.57584,-78.46329
-5.62611,-78.44007000000001
-5.4965,-78.497
-5.5065,-78.5061
-5.5862,-78.40049999999999
-5.6064,-78.4188
-5.56159,-78.55137000000001
-5.5382,-78.5496
-5.6271,-78.4259
-5.57662,-78.44598000000001
-5.6636,-78.43219000000001
-5.6489,-78.50490000000001
-5.618,-78.47073
-5.6013,-78.48
-5.5443,-78.51909999999999
-5.6064,-78.4572
-5.60123,-78.44011999999999
-5.6082,-78.4087
-5.633,-78.538
-5.53217,-78.48502000000001
-5.6436,-78.5502
-5.6387,-78.542
-5.5942,-78.4939
-5.64336,-78.44241
-5.6379,-78.53384
-5.6388,-78.5277
-5.55372,-78.48321
-5.619,-78.40179999999999
-5.6208,-78.4498
-5.5742,-78.4815
-5.63923,-78.5236
-5.6102,-78.43389999999999
-5.5215,-78.49720000000001
-5.6327,-78.5309
-10.9721,-76.23654999999999
-5.6489,-78.50490000000001
-5.61223,-78.43765999999999
-12.57854,-72.62096
-6.0968,-78.4181
-5.6364,-78.52719999999999
-5.50437,-78.55476
-5.64015,-78.52809000000001
-5.64011,-78.53077
-13.09831,-73.3899
-5.61223,-78.43765999999999
-5.63906,-78.53166
-5.63896,-78.52949
-5.61223,-78.43765999999999
-5.61223,-78.43765999999999
-5.61223,-78.43765999999999
-5.63757,-78.5307
-13.52181,-71.97848
-5.61223,-78.43765999999999
-5.63906,-78.53166
-5.6091,-78.4379
-5.63906,-78.53166
-5.4159,-78.4375
-5.4214,-78.4547
-5.44727,-78.48653
-5.4843,-78.42700000000001
-5.4608,-78.4597
-5.44343,-78.38642
-5.3265,-78.44450000000001
-5.3683,-78.51794
-5.4209,-78.4512
-5.415,-78.4392
-5.4603,-78.4605
-5.4479,-78.40900000000001
-5.4796,-78.47644
-5.47983,-78.4284
-5.46672,-78.38017000000001
-5.44575,-78.42784
-5.3008,-78.3931
-5.42807,-78.44329
-5.35633,-78.5284
-5.50678,-78.44674000000001
-5.431,-78.405
-5.38807,-78.41672
-5.36291,-78.45183
-5.38498,-78.509
-5.36927,-78.46478
-5.3191,-78.4349
-5.4626,-78.4509
-5.2796,-78.39060000000001
-5.36718,-78.41936
-5.4837,-78.45050000000001
-5.46626,-78.37761
-5.495,-78.40300000000001
-5.39399,-78.49165000000001
-5.42918,-78.3862
-5.41756,-78.3678
-5.40892,-78.41425
-5.45981,-78.40868
-5.3543,-78.43704
-5.43482,-78.4221
-5.43232,-78.36474
-5.38719,-78.43465
-5.5039,-78.4601
-5.30902,-78.36494
-5.48,-78.49630000000001
-12.6479,-72.43940000000001
-5.4433,-78.38720000000001
-5.32867,-78.44504000000001
-5.4194,-78.43640000000001
-5.4202,-78.45229999999999
-5.4607,-78.46040000000001
-5.4828,-78.42834999999999
-5.5001,-78.4383
-5.4342,-78.4342
-5.4371,-78.46210000000001
-5.47172,-78.51702
-5.30402,-78.42919000000001
-5.4221,-78.4547
-5.4551,-78.4914
-5.6748,-78.422
-5.6882,-78.48050000000001
-5.6618,-78.3609
-5.67647,-78.40116999999999
-5.67484,-78.42286
-5.6845,-78.331
-5.64625,-78.37296000000001
-5.6759,-78.42319999999999
-5.68564,-78.47917
-5.65341,-78.38970999999999
-5.63933,-78.39873
-5.67885,-78.40130000000001
-5.66255,-78.36023
-5.67047,-78.38856
-5.658219814300537,-78.40171813964844
-5.67052,-78.46365
-5.62774,-78.38497
-5.65283,-78.41503
-5.69045,-78.43976000000001
-5.6902,-78.44629999999999
-5.67592,-78.42592
-5.6746,-78.42095
-5.6843,-78.346
-5.66131,-78.37838000000001
-5.67484,-78.42286
-5.625,-78.4764
-5.6254,-78.4764
-5.6252,-78.47750000000001
-5.0738,-78.3312
-5.1604,-78.288
-5.0586,-78.3372
-4.7943,-78.28959999999999
-5.09277,-78.35776
-5.1371,-78.3207
-4.8941,-78.2045
-4.86874,-78.52406000000001
-4.78212,-78.31467000000001
-5.0545,-78.33644
-5.07027,-78.30204999999999
-4.8852,-78.2052
-5.0723,-78.3321
-5.0585,-78.3377
-5.15323,-78.28270000000001
-5.14185,-78.26103000000001
-5.19162,-78.37925
-5.1615,-78.2885
-5.20382,-78.32652
-5.33738,-78.45449000000001
-5.19411,-78.148
-5.22963,-78.25576
-4.9359,-78.3383
-4.9436,-78.5372
-5.04495,-78.42115
-4.99678,-78.39019999999999
-4.7602,-78.18429999999999
-4.78243,-78.31549
-4.7941,-78.2903
-5.05315,-78.33814
-4.8523,-78.3233
-5.2023,-78.3228
-4.9805,-78.3323
-5.04192,-78.42798000000001
-5.2379,-78.48699999999999
-5.09254,-78.35745
-5.1386,-78.3228
-5.1463,-78.23699999999999
-5.07614,-78.30006
-5.04712,-78.26411
