FOLIO,UNIDAD,TRIM,REG_MUE,SEXO,EDAD,LOCALI,MUN_NAC,PAI_NAC,VIE_UD,VIVE,RAZON,TRABAJA,NUM_PER,P1,P1_1,P1_2,P1_3,P2_GRA,P2_NIV,P3,P4,P4_1,P5,P5_1,P5_1_1,P6_PAI,P6_EST,P6_MUN,P6_LOC,P7C,P7T,P8,P8_1,P8_2,P8_3,P8_4C,P8_4D,P8_4U,P8_4T,P8_5,P8_6,P8_7,P8_8,P8_8_1,P8_9,P8_9_1,P8_10,P8_11,P8_11_1C,P8_11_1T,P8_12M,P8_12A,P8_13C,P8_13D,P8_13U,P8_13T,P8_14,P8_15,P8_16,P8_17,P9,P9_1,P9_1_1C,P9_1_1T,P9_1_2E,P9_1_2M,P9_1_2L,P10,P10_1,P10_2C,P10_2T,P10_2_1,P10_211C,P10_211U,P10_211T,P10_212,P10_213,P10_214,P10_215,P10_216C,P10_216U,P102161C,P102161U,P1021611,P10_217,P10_218,P11C,P11T,P11_1,P11_2,P11_2_1,P12C,P12U,P12_1,P13,P13_1,P13_2,P13_2_1,P13_3,P13_3_1C,P13_3_1E,P13_4C,P13_4T,P13_5,P13_6,P14,P14_1,P14_2,P15,P16,P16_1C,P16_1T,P17,P17_1C,P17_1U,P18,P19,P20C,P20T,P20_1C,P20_1E,P20_2,P20_2_1,P20_2_2,P20_3,P20_3_1,P20_3_2C,P20_3_2T,P20_3_3C,P20_3_3T,P20_3_4,P20_3_5,P20_3_6C,P20_3_6D,P20_3_6T,P20_3_7,P20_3_8,P20_3_9,P20_3_10,P20_3101,P20_3_11,P20_311A,P20_311B,P20_311C,P20_311D,P20_311E,P20_311F,P20_311G,P20_311H,P20_311I,P20_311J,P20_311K,P20_311L,P20_3_12,P20_3_13,P20_3131,P2031311,P20_3_14,P20_3_15,P20_3_16,P21,N8_5,N8_6,N8_14,N8_15,N10_212,N10_213,N20_3_7,N20_3_8,X8_5,X8_14,X10_212,X20_3_7,PONDERAD
3005,159306,1,4,1,24,1,17,10,10,2,5,0,100,1,0,0,0,6,2,1,2,2,8,3,3,1,10,17,1,0,4,1,0,7,5,9999998,98,8,8,11,5,5,1,1,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,91,8,3,1,89000,1,3,10,2,4,1,356000,1,200000,1,4,4,12,6,4,3,1,4,80000,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,0,0,10,2,0,0,6,0,6,0,577.2
3004,159306,1,4,2,20,2,35,5,5,2,5,0,25,1,0,0,0,3,6,1,1,0,3,1,1,1,5,35,2,0,4,1,0,12,7,100000,0,1,3,18,5,15,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,93,5,3,1,120000,1,3,10,5,4,1,480000,1,280000,1,4,2,20,0,6,3,1,4,75000,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,4,0,0,10,4,0,0,4,0,6,0,144.3
2996,159305,1,4,2,22,1,35,5,5,2,3,2,5,1,0,0,0,3,4,1,2,2,3,2,2,1,5,35,2,0,4,1,0,10,5,9999999,99,9,9,15,3,14,2,2,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,92,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,1,1,150000,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,0,0,0,0,0,0,1,0,0,0,176.77
3009,159306,1,4,1,25,1,45,8,8,2,7,2,24,2,2,0,0,6,6,1,1,0,5,1,1,1,8,45,2,0,4,2,1,10,4,220000,0,1,3,11,5,5,1,1,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,92,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,2,0,100000,1,2,1,1,3,0,1,17,45,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,0,0,0,0,0,0,6,0,0,0,86.58
3010,159306,1,4,1,36,2,5,10,10,2,3,2,27,2,2,2,2,3,4,2,1,0,6,1,1,1,10,5,2,0,4,1,0,8,6,300000,0,1,3,11,5,14,2,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,93,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,1,2,300000,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,0,0,0,0,0,0,6,0,0,0,89.47
3012,159306,1,4,1,23,2,32,8,8,2,5,0,1,2,1,0,0,3,3,1,2,2,6,1,1,1,8,32,2,0,4,1,0,8,6,130000,0,1,3,11,5,5,1,2,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,15,1,8,19,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,1,99,500000,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,0,0,0,0,0,0,6,0,0,0,5.77
3011,159306,1,4,1,34,2,32,8,8,2,5,0,60,2,1,0,0,6,2,1,2,3,3,3,3,1,8,32,2,5,3,1,0,8,6,150000,0,1,3,11,5,5,1,2,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,91,2,4,1,200000,1,3,11,5,5,1,800000,1,0,0,0,0,0,1,5,3,1,4,80000,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,0,0,11,4,0,0,6,0,6,0,346.32
2901,29306,1,4,1,34,1,9,8,8,2,5,0,7,2,1,0,0,3,3,2,1,0,4,2,2,1,8,19,2,29,3,1,0,8,6,15000,0,2,3,12,5,5,1,2,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,92,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,1,2,50,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,0,0,0,0,0,0,6,0,0,0,334.52
2902,29306,1,4,1,19,1,10,9,9,2,5,0,7,2,1,0,0,1,3,1,2,2,5,4,4,1,9,10,2,0,4,1,0,8,6,120,0,2,3,15,6,5,1,1,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,1,2,200,2,2,1,2,2,3,2,0,0,0,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,4,0,0,0,0,0,0,1,0,0,0,334.52
2904,29306,1,4,1,44,1,35,8,8,2,5,0,4,2,1,0,0,6,2,4,1,0,4,4,4,1,8,17,1,8,3,1,0,12,6,0,0,0,0,7,4,1,3,2,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,92,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,3,1,4,20,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,5,0,0,0,167.26
