cod_mod,ltimoden_metaatencion,cuentadeid_postulante_procesoadm,sumaden_flagingresante,sumaden_flagmatriculado,ratio,ratio1,dif,dif1,nlat_ie,nlong_ie,population_ccpp,altitude,Dblock1km,Dblock2km,Dblock3km,Dblock5km,Dblock10km,Dblock20km,Dblock30km,_merge
207597,307,481,302,301,.98045605,1.5667752,-6,174,-13.52107,-71.97748,106400,3386,14840369,742184,494123,296073,148036,7418,4912,matched (3)
207613,240,502,204,204,.85000002,2.0916667,-36,262,-13.63997,-72.88261,45864,2342,14970470,748235,499156,299094,149047,7423,4915,matched (3)
239970,537,1047,484,476,.88640594,1.9497206,-61,510,-15.47827,-70.12756,216716,3831,17000163,850081,566054,340032,170016,8508,5605,matched (3)
262311,423,526,353,349,.82505912,1.2434988,-74,103,-6.23041,-77.86942999999999,23202,2358,6781025,339512,226341,135205,67102,3351,2234,matched (3)
273979,425,544,411,405,.95294118,1.28,-20,119,-6.49004,-76.36539000000001,67362,309,7070857,353428,235285,141171,70085,3542,2328,matched (3)
276188,570,461,426,406,.71228069,.80877191,-164,-109,-14.05115,-75.75387000000001,124789,409,15430789,771394,514263,308157,154078,7739,5126,matched (3)
290924,415,813,391,390,.93975902,1.9590361,-25,398,-9.9344,-76.23690000000001,57596,1896,10870843,543421,362281,217168,108084,5442,3628,matched (3)
310656,327,520,327,326,.99694192,1.590214,-1,193,-18.01575,-70.24829,86095,579,19810176,990088,660058,396035,198017,9908,6605,matched (3)
356972,480,430,316,316,.65833336,.89583331,-164,-50,-5.18106,-80.66289,0,39,5621336,281668,187445,112267,56133,2866,1844,matched (3)
380501,180,112,112,110,.6111111,.62222224,-70,-68,-11.2539,-74.637,,,12330665,616332,411221,246133,123066,6133,4122,matched (3)
391151,992,1311,932,929,.93649191,1.3215725,-63,319,-7.16051,-78.512,150197,2715,7811096,390548,260365,156219,78109,3954,2636,matched (3)
391169,629,1170,580,580,.92209858,1.8600954,-49,541,-6.85847,-78.1452,16721,2609,7471056,373528,249352,149211,74105,3752,2435,matched (3)
412189,803,1630,754,740,.92154419,2.0298879,-63,827,-9.521179999999999,-77.52506,47581,3069,10420986,521493,347328,208197,104098,5249,3432,matched (3)
419937,540,1152,516,516,.95555556,2.1333334,-24,612,-13.16993,-74.19741000000001,97390,2749,14450616,722308,481205,289123,144061,7230,4820,matched (3)
421412,525,1357,525,472,.89904761,2.5847619,-53,832,-12.78588,-74.97243,30918,3676,14030702,701351,467234,280140,140070,7035,4623,matched (3)
453761,860,897,804,800,.93023258,1.0430232,-60,37,-6.76202,-79.83548999999999,161110,30,7371244,368622,245414,147248,73124,3662,2441,matched (3)
453787,338,967,328,324,.9585799,2.8609467,-14,629,-6.5636,-78.6485,16531,2389,7151112,357556,238370,143222,71111,3555,2337,matched (3)
474320,510,792,463,455,.89215684,1.5529412,-55,282,-15.87551,-69.99554000000001,160,3833,17440148,872074,581049,348029,174014,8707,5804,matched (3)
512855,360,360,276,276,.76666665,1,-84,0,-4.912,-80.6947,0,65,5321339,266669,177446,106267,53133,2666,1744,matched (3)
567784,298,300,268,254,.85234898,1.0067114,-44,2,-17.21399,-70.94074000000001,29312,712,18920254,946127,630084,378050,189025,9412,6308,matched (3)
575126,447,1140,444,444,.99328858,2.5503356,-3,693,-13.66356,-73.34892000000001,0,3091,15000522,750261,500174,300104,150052,7526,5017,matched (3)
575308,180,275,177,177,.98333335,1.5277778,-3,95,-14.1019,-72.7019,2612,3262,15480450,774225,516150,309090,154045,7722,5115,matched (3)
575779,460,570,378,369,.80217391,1.2391304,-91,110,-10.66411,-76.25261999999999,24105,4361,11680845,584422,389281,233169,116084,5842,3828,matched (3)
576553,397,550,372,371,.9345088,1.3853904,-26,153,-6.03121,-76.96302,39250,885,6560924,328462,218308,131184,65092,3246,2130,matched (3)
584755,427,769,382,375,.87822014,1.8009368,-52,342,-8.38598,-74.5686,75953,155,9160657,458328,305219,183131,91065,4532,3021,matched (3)
586669,516,1047,515,544,1.0542636,2.0290697,28,531,-14.1424,-71.40813,2574,3476,15530306,776153,517102,310061,155030,7715,5110,matched (3)
591859,330,367,308,307,.93030304,1.1121212,-23,37,-14.68809,-74.12099000000001,0,3195,16130608,806304,537202,322121,161060,8030,5320,matched (3)
591909,180,297,169,169,.93888891,1.65,-11,117,-13.30178,-72.12163,11817,3364,14600385,730192,486128,292077,146038,7319,4812,matched (3)
595090,378,437,345,343,.9074074,1.1560847,-35,59,-5.8982,-76.1294,45348,148,6410831,320415,213277,128166,64083,3241,2127,matched (3)
597278,542,584,491,482,.88929892,1.0774908,-60,42,-9.140940000000001,-77.74014,6074,2540,10001010,500505,333336,200202,100101,5050,3333,matched (3)
598367,366,692,350,350,.95628417,1.8907104,-16,326,-8.822699999999999,-77.46272,13,829,9650980,482490,321326,193196,96098,4849,3232,matched (3)
604371,300,734,300,300,1,2.4466667,0,434,-12.9344,-74.2487,26026,2665,14190622,709311,473207,283124,141062,7031,4720,matched (3)
607366,1383,218,197,72,.052060738,.15762834,-1311,-1165,-12.04935,-77.03283999999999,299493,157,13210932,660466,440310,264186,132093,6646,4431,matched (3)
608299,300,320,271,271,.90333331,1.0666667,-29,20,-13.4285,-76.13222,0,88,14740831,737415,491277,294166,147083,7341,4927,matched (3)
609370,502,501,399,394,.78486055,.99800795,-108,-1,-11.38346,-75.68850999999999,546,3003,12480782,624391,416260,249156,124078,6239,4126,matched (3)
610519,363,514,335,335,.92286503,1.415978,-28,151,-9.829599999999999,-76.80370000000001,2278,3202,10760906,538453,358302,215181,107090,5345,3530,matched (3)
611525,431,784,431,431,1,1.8190255,0,353,-6.38208,-78.81929,16728,2618,6951131,347565,231377,139226,69113,3456,2337,matched (3)
622936,366,257,235,228,.62295079,.70218581,-138,-109,-7.9025,-78.56570000000001,11489,2652,8631102,431551,287367,172220,86110,4355,2836,matched (3)
622969,391,554,391,391,1,1.4168798,0,163,-7.8179,-78.0395,0,3179,8531044,426522,284348,170208,85104,4252,2834,matched (3)
623025,300,411,294,294,.98000002,1.37,-6,111,-8.2742,-77.2963,3536,3198,9040961,452480,301320,180192,90096,4548,3032,matched (3)
630558,330,1031,297,295,.89393938,3.1242423,-35,701,-14.91316,-70.20224,16035,3866,16380171,819085,546057,327034,163017,8108,5405,matched (3)
630616,300,616,300,300,1,2.0533333,0,316,-15.3627,-70.36279999999999,4949,3871,16880189,844094,562063,337037,168018,8409,5606,matched (3)
634659,706,763,603,575,.81444758,1.0807365,-131,57,-8.12524,-79.02797,294730,26,8871154,443577,295384,177230,88115,4457,2938,matched (3)
636811,496,1221,439,438,.88306451,2.4616935,-58,725,-5.05796,-73.85096,22055,113,5480577,274288,182192,109115,54057,2728,1819,matched (3)
637116,420,417,342,335,.79761904,.99285716,-85,-3,-15.00902,-73.77972,0,3145,16490570,824285,549190,329114,164057,8228,5419,matched (3)
642090,255,251,246,244,.95686275,.98431373,-11,-4,-7.6217,-78.05019,14528,2630,8321045,416522,277348,166209,83104,4152,2734,matched (3)
642348,469,512,317,317,.67590618,1.0916845,-152,43,-5.7045,-78.80580000000001,63208,721,6201129,310564,206376,124225,62112,3156,2037,matched (3)
644807,90,78,60,60,.66666669,.86666667,-30,-12,-10.15305,-77.15257,3321,3384,11120945,556472,370315,222189,111094,5547,3731,matched (3)
653584,110,110,104,99,.89999998,1,-11,0,-7.36391,-78.80364,3221,2672,8031129,401564,267376,160225,80112,4056,2637,matched (3)
653592,179,189,174,173,.96648043,1.0558659,-6,10,-7.11742,-78.83001,3185,15,7761132,388566,258377,155226,77113,3856,2537,matched (3)
666479,260,299,241,238,.91538459,1.15,-22,39,-8.348940000000001,-74.58647000000001,0,96,9120659,456329,304219,182131,91065,4532,3021,matched (3)
676312,235,402,235,234,.99574471,1.7106383,-1,167,-6.4202,-76.51600000000001,8883,801,6990874,349437,233291,139174,69087,3443,2329,matched (3)
681627,281,305,265,264,.93950176,1.0854093,-17,24,-9.353210000000001,-77.17287,4406,3118,10230947,511473,341315,204189,102094,5147,3431,matched (3)
686618,377,350,291,288,.76392573,.92838198,-89,-27,-9.12415,-78.51390000000001,112254,39,9981097,499548,332365,199219,99109,4954,3336,matched (3)
688069,180,337,180,174,.96666664,1.8722222,-6,157,-12.78581,-74.97895,0,3675,14030703,701351,467234,280140,140070,7035,4623,matched (3)
688341,292,307,257,266,.91095889,1.0513699,-26,15,-12.5927,-69.1888,56382,204,13810058,690029,460019,276011,138005,6902,4601,matched (3)
690388,270,223,213,210,.77777779,.82592595,-60,-47,-7.4216,-79.5064,12171,46,8101207,405603,270402,162241,81120,4060,2740,matched (3)
695452,880,1523,791,787,.89431816,1.7306818,-93,643,-16.3605,-71.5437,0,2506,17980321,899160,599107,359064,179032,8916,5910,matched (3)
696385,142,150,130,130,.91549295,1.0563381,-12,8,-7.0003,-78.8485,3124,2581,7631134,381567,254378,152226,76113,3856,2537,matched (3)
697235,570,826,525,521,.91403508,1.4491228,-49,256,-12.06349,-75.2841,13519,3257,13230737,661368,441245,264147,132073,6636,4424,matched (3)
702902,449,450,323,202,.44988865,1.0022272,-247,1,-3.73515,-73.25191,155029,98,4020511,201255,134170,80102,40051,2025,1317,matched (3)
708164,293,453,248,244,.83276451,1.5460751,-49,160,-5.6541,-78.49979999999999,406,475,6141095,307547,204365,122219,61109,3054,2036,matched (3)
713099,325,516,306,306,.94153845,1.5876923,-19,191,-9.552429999999999,-76.82738000000001,4308,3436,10450909,522454,348303,209181,104090,5245,3430,matched (3)
714725,317,503,274,274,.8643533,1.5867507,-43,186,-6.66928,-78.53131999999999,15632,2568,7261098,363549,242366,145219,72109,3654,2436,matched (3)
721951,270,342,247,245,.9074074,1.2666667,-25,72,-13.6309,-74.14270000000001,2280,2552,14960610,748305,498203,299122,149061,7430,4920,matched (3)
726414,341,375,307,306,.89736068,1.0997068,-35,34,-7.18157,-76.73829000000001,23441,293,7830899,391449,261299,156179,78089,3944,2629,matched (3)
732370,427,636,400,400,.93676817,1.4894613,-27,209,-12.216,-76.9306,381790,191,13400920,670460,446306,268184,134092,6746,4430,matched (3)
751800,76,87,66,66,.86842108,1.1447369,-10,11,-8.93074,-76.10332,14028,573,9770828,488414,325276,195165,97082,4841,3227,matched (3)
759217,359,419,359,357,.99442899,1.1671309,-2,60,-6.61574,-78.94949,4660,22,7211145,360572,240381,144229,72114,3657,2438,matched (3)
768630,210,74,72,72,.34285715,.35238096,-138,-136,-5.6304,-78.53830000000001,406,436,6121099,306549,204366,122219,61109,3054,2036,matched (3)
783399,220,404,198,198,.89999998,1.8363637,-22,184,-14.28296,-71.22042,41352,3565,15680285,784142,522095,313057,156028,7814,5209,matched (3)
784561,210,56,56,34,.16190477,.26666668,-176,-154,-14.05135,-75.7525,0,445,15430789,771394,514263,308157,154078,7739,5126,matched (3)
811489,75,83,75,73,.97333336,1.1066667,-2,8,-8.09564,-78.15067999999999,2234,2864,8841056,442528,294352,176211,88105,4452,2935,matched (3)
815084,185,210,174,172,.9297297,1.1351352,-13,25,-7.33141,-78.17118000000001,43,2290,8001058,400529,266352,160211,80105,4052,2635,matched (3)
817544,220,132,131,131,.59545457,.60000002,-89,-88,-8.37618,-74.56950999999999,75953,157,9150657,457328,305219,183131,91065,4532,3021,matched (3)
886556,390,21,20,20,.051282052,.053846154,-370,-369,-14.0628,-75.73437,124789,410,15440787,772393,514262,308157,154078,7739,5126,matched (3)
