Departamento,Provincia,Distrito,Dirección
AMAZONAS,AMAZONAS,CHACHAPOYAS,Jirón Triunfo Nº 903 1er piso 
AMAZONAS,Rodriguez de Mendoza,San Nicolás,Jirón Victor Mori Nº 204 San Nicolás
AMAZONAS,BAGUA,BAGUA,Calle Junín S/N
AMAZONAS,BONGARA,JAZAN,Avenida marginal N° 100 Pedro Ruíz
AMAZONAS,UTCUBAMBA,BAGUA GRANDE,Jirón Simón Bolivar N° 545
AMAZONAS,BAGUA,BAGUA,Jirón Los Cedros 263
AMAZONAS,CONDORCANQUI,NIEVA,Pasaje Ciro Alegría s/n Municipalidad de Nieva
ANCASH,HUARAZ,HUARAZ,Jirón Larrea y Laredo N° 764
ANCASH,HUAYLAS,CARAZ,Jirón Raimondi N° 215 - Caraz
ANCASH,Pomabamba,Pomabamba,Jirón  Huaraz No. 691
ANCASH,SANTA,SANTA,"Jirón Ladislao Espinar No.401 y Esquina de Enrique Palacios  Nos. 402, 416, 420 - Chimbote"
ANCASH,SANTA,SANTA,Centro Civico Mz. 74-75 Lote 1 Urb. Buenos Aires
ANCASH,Sihuas,Sihuas,Jirón  Señor de los Milagros Nº 211 - Pueblo Pingullo
ANCASH,HUARI,HUARI,Jr. Mariscal Luzuriaga Nº 522 Barrio San Bartolome 
ANCASH,CASMA,CASMA,Pasaje Hijuela Mz C Lt 13 Zona centro civico
ANCASH,RECUAY,RECUAY,Ca. Plaza de Armas s/n
ANCASH,HUARMEY,HUARMEY,Centro Cívico s/n 1er. Pabellón
ANCASH,CARLOS F. FITZTCARRALD,SAN LUIS,Av. Ramón Castilla N° 320
ANCASH,MARISCAL LUZURIAGA,PISCOBAMBA,Jirón San Pablo S/N Plaza de Armas
ANCASH,PALLASCA,PAMPAS,Plaza de Armas s/n Municipalidad 1er piso
ANCASH,YUNGAY,YUNGAY,
APURIMAC,ANDAHUAYLAS,ANDAHUAYLAS,Jr César Vallejo Nº 141
APURIMAC,ABANCAY,ABANCAY,Av. La Victoria 214
APURIMAC,CHINCHEROS,CHINCHEROS,Jr. Cotabambas Nº 121
APURIMAC,COTABAMBA,TAMBOBAMBA,Plaza de Armas s/n 3er piso
AREQUIPA,AREQUIPA,AREQUIPA,Av. San Juan de Dios Nº 122 y Santo Domingo Nº 101
AREQUIPA,Arequipa,Cayma,Av. Ramón Castilla s/n
AREQUIPA,CAMANA,CAMANA,Avenida Mariscal Castilla N° 221
AREQUIPA,ISLAY,MOLLENDO,Ca. Arequipa Nº 261 Islay
AREQUIPA,CALLOMA,MAJES,Arequpa s/n estadio almirante miguel grau
AREQUIPA,CAYLLOMA,CHIVAY,Calle Siglo XX S/N
AREQUIPA,CARAVELI,CARAVELI,Jirón Bolivar 129
AREQUIPA,LA UNION,COTAHUASI,Calle Centenario 202
AREQUIPA,CONDESUYOS,CHUQUIBAMBA,Av. Alameda s/n Los Tres Errantes
AREQUIPA,CASTILLA,APLAO,Calle Progreso s/n
AREQUIPA,AREQUIPA,PAUCARPATA,
AYACUCHO,HUANTA,HUANTA,Jirón Ayacucho 313 Huanta
AYACUCHO,HUAMANGA,HUAMANGA,"Jirón  San Martin Nº 473, 475, 477 y 477A"
AYACUCHO,LUCANAS,CABANA,Jr Jorge Chavez Nº 272
AYACUCHO,PAUCAR DEL SARA SARA,PAUCAR DE SARA SARA,
AYACUCHO,LUCANAS,PUQUIO,Jr. San Pedro Nº 216
AYACUCHO,PARINACOCHAS,CORACORA,Jr. Bolognesi Nº 419
AYACUCHO,CANGALLO,CANGALLO,Jirón Larrea y Laredo N° 764
AYACUCHO,LA MAR,AYNA,Avenida 28 de julio s/n San Francisco
AYACUCHO,LA MAR,SAN MIGUEL,Jirón María Parado de Bellido s/n 
AYACUCHO,VICTOR FAJARDO,HUANCAPI,Plaza Principal s/n
AYACUCHO,VILCASHUAMAN,VILCASHUAMAN,Av. Los Incas 318
AYACUCHO,LA MAR,SAMUGARI - PALMAPAMPA,Jr. Los Laureles s/n
AYACUCHO,SUCRE,QUEROBAMBA,Jr. Bolívar s/n Plaza de Armas
AYACUCHO,HUANCASANCOS,SANCOS,Av. Progreso s/n
CAJAMARCA,CAJAMARCA,CAJAMARCA,Jirón Del Comercio Nº 633 Cajamarca
CAJAMARCA,JAEN,JAEN,Calle Mariscal Ureta 915
CAJAMARCA,CHOTA,CHOTA,Jirón 30 de agosto Nº 848
CAJAMARCA,CAJABAMBA,CAJABAMBA,Jr. Miguel Grau Nº 224
CAJAMARCA,HUALGAYOC,BAMBAMARCA,Jr. 07 de junio Nº 470
CAJAMARCA,SAN MARCOS,PEDRO GALVEZ,Jr. Alfonso Ugarte Nº 325
CAJAMARCA,CONTUMAZA,CONTUMAZA,Jr.  Miguel Grau Nº 212
CAJAMARCA,SAN PABLO,SAN PABLO,Jr. Plaza de Armas s/n
CAJAMARCA,JAEN,PUCARA,Ca. Lindo 548
CAJAMARCA,SAN IGNACIO,SAN IGNACIO,Jr. Santo Domingo N° 169
CAJAMARCA,CUTERVO,CUTERVO,Jirón Comercio N° 1105 Urb. Los Jardines
CAJAMARCA,SANTA CRUZ,SANTA CRUZ,Jirón Domingo Negrón N° 399
CAJAMARCA,CELENDIN,CELENDIN,Jirón Pardo 610
CUSCO,CUSCO,CUSCO,Avenida El Sol Nº 272 Cusco
CUSCO,CANCHIS,SICUANI,Av. Tupac Amaru 163 Sicuani
CUSCO,LA CONVENCION,SANTA ANA,Av. Grau Nº 238 Quilcabamba
CUSCO,PAUCARTAMBO,PAUCARTAMBO,Av. Enrique Yabar s/n
CUSCO,LA CONVENCION,PICHARI,Av. Brasil s/n Local Serenazgo de Pichari
CUSCO,ESPINAR,ESPINAR,Calle Teatro s/n
CUSCO,CALCA,CALCA,Calle Grau s/n Plaza de Armas
CUSCO,QUISPICANCHI,URCOS,Jr. Huascar N° 181
CUSCO,CHUMBIVILCAS,SANTO TOMAS,Calle Dos de Mayo S/N
CUSCO,ANTA,ANTA,JR. JAQUIJAHUANA S/N IZCUCHACA DIST. ANTA
CUSCO,URUBAMBA,URUBAMBA,Av. Conchatupa s/n
HUANCAVELICA,ACOBAMBA,ACOBAMBA,Jr. Dos de Mayo N° 445
HUANCAVELICA,ANGARAES,LIRCAY,Av. Centenario S/N - Barrio de Pueblo Nuevo - Dentro del Centro Cívico
HUANCAVELICA,HUANCAVELICA,HUANCAVELICA,"Av. San Cristóbal Nº 384, 386 y 388"
HUANCAVELICA,Tayacaja,Colcabamba,Av. Centenario S/N
HUANCAVELICA,Tayacaja,Surcubamba,Calle Alfonso Ugarte S/N Palacio Municipal
HUANCAVELICA,TAYACAJA,TAYACAJA,Jr. Manco Cápac S/N con Jirón Alfonso Ugarte Córdova y Necochea - Coliseo Multiuso
HUANCAVELICA,CASTROVIRREYNA,CASTROVIRREYNA,Av. Los Libertadores s/n
HUANCAVELICA,CHURCAMPA,CHURCAMPA,Jr. Real N° 255
HUANCAVELICA,ACOBAMBA,PAUCARA,Plaza Mayor s/n
HUANCAVELICA,HUANCAVELICA,IZCUCHACA,Plaza Mayor s/n
HUANCAVELICA,HUAYTARA,HUAYTARA,Calle 24 de junio s/n Centro Civico
HUANUCO,Yarowilca,Chavinillo,Jirón Virgen del Fátima s/n Chavirillo
HUANUCO,Ambo,Ambo,Jr. 28 de julio Nº 697 Centro Cívico Ambo
HUANUCO,Leoncio Prado,José Crespo y Castillo,"Jirón Maria Parado de Bellido, Jose Crespo y Castillo"
HUANUCO,Leoncio Prado,Rupa Rupa,Jr. Chiclayo Nº 585 Rupa Rupa
HUANUCO,Pachitea,Panao,Jr. Bolognesi Nº 211 Panao Pachitea
HUANUCO,HUANUCO,HUANUCO,Jirón 28 de Julio 825
HUANUCO,Huamalíes,Llata, Jirón Huánuco N° 242
HUANUCO,DOS DE MAYO,LA UNION,Jr. Lourdes 221
HUANUCO,MARAÑON,HUACRACHUCO,Av. 28 de Julio N° 602
HUANUCO,LAURICOCHA,JESUS,Jr. Cristobal Colon s/n
HUANUCO,PUERTO INCA,PUERTO INCA,Jr. Vulcano s/n
HUANUCO,HUANUCO,AMARILIS,
HUANUCO,HUANUCO,HUANUCO,
HUANUCO,HUANUCO,CHINCHAO,
HUANUCO,HUANUCO,SANTA MARIA DEL VALLE,
HUANUCO,Leoncio Prado,Rupa Rupa,
ICA,CHINCHA,CHINCHA ALTA,Ca. Los Ángeles Nº 300
ICA,NASCA,NASCA,"Calle Fermin del Castillo Nª 270 Nasca, Ica"
ICA,ICA,ICA,Av. San Martín Nº 1366 Mz M 02 Lt 035 Urb. San Isidro
ICA,PISCO,PISCO,Calle San Juan de Dios 288 Pisco
ICA,ICA,PARCONA,Av. Jhon F. Kennedy Nº 500 con Calle Lima s/n
ICA,PALPA,PALPA,Portal Escribanos Nº 145 Municipio
JUNIN,CHANCHAMAYO,PICHANAQUI,Jr. Independencia s/n Coliseo Municipal
JUNIN,CHANCHAMAYO,CHANCHAMAYO,Prolongación Tarma Nº 236 Chanchamayo
JUNIN,TARMA,TARMA,Jirón Arequipa Nº 939 Tarma
JUNIN,HUANCAYO,HUANCAYO,Jirón Julio Sumar 351 El Tambo
JUNIN,JAUJA,JAUJA,Jr. Sucre N° 889
JUNIN,CHUPACA,CHUPACA,Jr. Grau N° 195 - Centro Cívico
JUNIN,SATIPO,PANGOA,Calle 07 de junio Nº 641 Plaza Principal Centro Cívico
JUNIN,YAULI,SANTA ROSA DE SACCO,Av.  Miguel Grau Nº309
JUNIN,SATIPO,SATIPO,Av. Micaela Bastidas y Jr. Augusto B. Leguía - Centro Cívico Ruben Rocha Mariños
JUNIN,SATIPO,MAZAMARI,Ca.  San Juan Nº 353
JUNIN,CONCEPCION,CONCEPCION,Calle Ricardo Palma s/n Mercado Modelo Interior 1
JUNIN,JUNIN,JUNIN,Jr. Simón Bolivar N° 820
LA LIBERTAD,OTUZCO,OTUZCO,Pasaje Elias Armas Castillo Nº 132 Otuzco
LA LIBERTAD,PACASMAYO,PACASMAYO,"Jr. Alianza Nº 524 distrito San Pedro de Lloc, Pacasmayo"
LA LIBERTAD,Pataz,Chillia,Jr. Miraflores S/N
LA LIBERTAD,SANCHEZ CARRION,SANCHEZ CARRION, Jr. Alfonso Ugarte N° 567
LA LIBERTAD,VIRÚ,VIRÚ,Lt. 8 Mz A Urb. Las Palmeras
LA LIBERTAD,ASCOPE,ASCOPE,Ca. Miguel Grau 879
LA LIBERTAD,JULCAN,JULCAN,Av. 28 de Julio N° 201 Centro Cívico
LA LIBERTAD,SANTIAGO DE CHUCO,SANTIAGO DE CHUCO,Calle Luis de la Puente Uceda N| 1120
LA LIBERTAD,PATAZ,PARCOY,Jr. San Martin Nº 859
LA LIBERTAD,TRUJILLO,EL PORVENIR,Centro Poblado Alto Trujillo Barrio 3 Mz T Lt 2
LA LIBERTAD,TRUJILLO,EL PORVENIR,Jr. Gabriel Aguilar N° 1657 2do.  Piso
LA LIBERTAD,GRAN CHIMU,CASCAS,Ca. Progreso s/n cuadra 3
LA LIBERTAD,CHEPEN,CHEPEN,Calle San Pedro N° 610 Sector V
LA LIBERTAD,PATAZ,TAYABAMBA,Jr. Sucre 337 - Centro Cívico piso 1
