Año,Semana,Eventos o daños,Departamento,Distrito,Provincia,Ubigeo,Casos
2020,43,Dengue,CUSCO,MEGANTONI,LA CONVENCION,80914,2
2021,41,Dengue,MOQUEGUA,MOQUEGUA,MARISCAL NIETO,180101,
2021,42,Dengue,MOQUEGUA,MOQUEGUA,MARISCAL NIETO,180101,
2020,1,Dengue,CUSCO,MEGANTONI,LA CONVENCION,80914,0
2020,53,Dengue,CUSCO,MEGANTONI,LA CONVENCION,80914,2
2020,47,Dengue,CUSCO,MEGANTONI,LA CONVENCION,80914,7
2021,41,Dengue,LIMA,INDEPENDENCIA,LIMA,150112,
2021,41,Dengue,LIMA,VILLA MARIA DEL TRIUNFO,LIMA,150143,
2021,41,Dengue,LIMA,ATE,LIMA,150103,
2021,41,Dengue,LIMA,CARABAYLLO,LIMA,150106,
2021,42,Dengue,LIMA,INDEPENDENCIA,LIMA,150112,
2021,42,Dengue,LIMA,VILLA MARIA DEL TRIUNFO,LIMA,150143,
2021,42,Dengue,LIMA,ATE,LIMA,150103,
2021,42,Dengue,LIMA,CARABAYLLO,LIMA,150106,
2021,43,Dengue,LIMA,INDEPENDENCIA,LIMA,150112,
2019,1,Dengue,CUSCO,MEGANTONI,LA CONVENCION,80914,0
2020,1,Dengue,LIMA,LIMA,LIMA,150101,0
2020,1,Dengue,LIMA,ATE,LIMA,150103,0
2020,1,Dengue,LIMA,CARABAYLLO,LIMA,150106,0
2020,1,Dengue,LIMA,CHORRILLOS,LIMA,150108,0
2020,1,Dengue,LIMA,COMAS,LIMA,150110,0
2020,1,Dengue,LIMA,INDEPENDENCIA,LIMA,150112,0
2020,1,Dengue,LIMA,LA VICTORIA,LIMA,150115,0
2020,1,Dengue,LIMA,LOS OLIVOS,LIMA,150117,0
2020,1,Dengue,LIMA,LURIGANCHO,LIMA,150118,0
2020,1,Dengue,LIMA,PUEBLO LIBRE,LIMA,150121,0
2021,41,Dengue,ICA,SANTA CRUZ,PALPA,110404,
2021,41,Dengue,ICA,LLIPATA,PALPA,110402,
2021,42,Dengue,ICA,SANTA CRUZ,PALPA,110404,
2021,42,Dengue,ICA,LLIPATA,PALPA,110402,
2021,43,Dengue,ICA,SANTA CRUZ,PALPA,110404,
2021,43,Dengue,ICA,LLIPATA,PALPA,110402,
2021,44,Dengue,ICA,SANTA CRUZ,PALPA,110404,
2021,41,Dengue,CUSCO,MEGANTONI,LA CONVENCION,80914,
2021,41,Dengue,LA LIBERTAD,PUEBLO NUEVO,CHEPEN,130403,
2021,41,Dengue,LA LIBERTAD,SAN JOSE,PACASMAYO,130705,
2021,42,Dengue,LA LIBERTAD,PUEBLO NUEVO,CHEPEN,130403,
2021,42,Dengue,LA LIBERTAD,SAN JOSE,PACASMAYO,130705,
2021,43,Dengue,LA LIBERTAD,PUEBLO NUEVO,CHEPEN,130403,
2021,43,Dengue,LA LIBERTAD,SAN JOSE,PACASMAYO,130705,
2021,41,Dengue,LIMA,LIMA,LIMA,150101,
2021,41,Dengue,LIMA,PUENTE PIEDRA,LIMA,150125,
2021,42,Dengue,LIMA,LIMA,LIMA,150101,
2021,42,Dengue,LIMA,PUENTE PIEDRA,LIMA,150125,
2021,43,Dengue,LIMA,LIMA,LIMA,150101,
2021,43,Dengue,LIMA,PUENTE PIEDRA,LIMA,150125,
2021,44,Dengue,LIMA,LIMA,LIMA,150101,
2021,44,Dengue,LIMA,PUENTE PIEDRA,LIMA,150125,
2020,45,Dengue,CUSCO,MEGANTONI,LA CONVENCION,80914,5
2020,49,Dengue,CUSCO,MEGANTONI,LA CONVENCION,80914,11
2020,50,Dengue,CUSCO,MEGANTONI,LA CONVENCION,80914,10
2020,46,Dengue,CUSCO,MEGANTONI,LA CONVENCION,80914,9
2021,41,Dengue,ICA,ALTO LARAN,CHINCHA,110202,
2021,41,Dengue,ICA,CHANGUILLO,NASCA,110302,
2021,41,Dengue,ICA,RIO GRANDE,PALPA,110403,
2021,41,Dengue,ICA,TATE,ICA,110113,
2021,41,Dengue,ICA,OCUCAJE,ICA,110104,
2021,41,Dengue,ICA,SUNAMPE,CHINCHA,110210,
2021,3,Dengue,CUSCO,MEGANTONI,LA CONVENCION,80914,0
2021,41,Dengue,PIURA,LANCONES,SULLANA,200604,
2021,43,Dengue,LIMA,VILLA MARIA DEL TRIUNFO,LIMA,150143,
2021,43,Dengue,LIMA,ATE,LIMA,150103,
2021,43,Dengue,LIMA,CARABAYLLO,LIMA,150106,
2021,44,Dengue,LIMA,INDEPENDENCIA,LIMA,150112,
2021,44,Dengue,LIMA,VILLA MARIA DEL TRIUNFO,LIMA,150143,
2021,44,Dengue,LIMA,ATE,LIMA,150103,
2021,44,Dengue,LIMA,CARABAYLLO,LIMA,150106,
2021,45,Dengue,LIMA,INDEPENDENCIA,LIMA,150112,
2021,45,Dengue,LIMA,VILLA MARIA DEL TRIUNFO,LIMA,150143,
2021,45,Dengue,LIMA,ATE,LIMA,150103,
2021,45,Dengue,LIMA,CARABAYLLO,LIMA,150106,
2021,46,Dengue,LIMA,INDEPENDENCIA,LIMA,150112,
2021,46,Dengue,LIMA,VILLA MARIA DEL TRIUNFO,LIMA,150143,
2021,46,Dengue,LIMA,ATE,LIMA,150103,
2021,46,Dengue,LIMA,CARABAYLLO,LIMA,150106,
2021,47,Dengue,LIMA,INDEPENDENCIA,LIMA,150112,
2021,47,Dengue,LIMA,VILLA MARIA DEL TRIUNFO,LIMA,150143,
2020,15,Dengue,ICA,SALAS,ICA,110108,27
2020,15,Dengue,ICA,PARCONA,ICA,110106,82
2020,17,Dengue,ICA,SAN JUAN BAUTISTA,ICA,110110,28
2020,19,Dengue,ICA,SAN CLEMENTE,PISCO,110507,50
2020,17,Dengue,LA LIBERTAD,CHOCOPE,ASCOPE,130203,15
2020,8,Dengue,LAMBAYEQUE,ILLIMO,LAMBAYEQUE,140303,13
2020,14,Dengue,LAMBAYEQUE,MOCHUMI,LAMBAYEQUE,140305,17
2020,15,Dengue,LAMBAYEQUE,CAYALTI,CHICLAYO,140116,18
2020,16,Dengue,LAMBAYEQUE,CAYALTI,CHICLAYO,140116,19
2020,9,Dengue,ICA,SUBTANJALLA,ICA,110112,63
2021,44,Dengue,ICA,LLIPATA,PALPA,110402,
2021,45,Dengue,ICA,SANTA CRUZ,PALPA,110404,
2021,45,Dengue,ICA,LLIPATA,PALPA,110402,
