Institución,Nombre del establecimiento,Clasificación,Departamento,Provincia,Distrito,UBIGEO,Categoria,CAMAS,Estado
GOBIERNO REGIONAL,SAN PABLO,PUESTOS DE SALUD O POSTAS DE SALUD,PIURA,TALARA,LA BREA,200703,I-1,,ACTIVADO
ESSALUD,POSTA MEDICA NEGRITOS,PUESTOS DE SALUD O POSTAS DE SALUD,PIURA,TALARA,LA BREA,200703,Sin Categoría,,ACTIVADO
GOBIERNO REGIONAL,NEGRITOS,CENTROS DE SALUD O CENTROS MEDICOS,PIURA,TALARA,LA BREA,200703,I-3,,ACTIVADO
GOBIERNO REGIONAL,LOBITOS,PUESTOS DE SALUD O POSTAS DE SALUD,PIURA,TALARA,LOBITOS,200704,I-2,,ACTIVADO
ESSALUD,HOSPITAL II ESSALUD TALARA,HOSPITALES O CLINICAS DE ATENCION GENERAL,PIURA,TALARA,PARIÑAS,200701,II-1,35.0,ACTIVADO
GOBIERNO REGIONAL,TALARA II,CENTROS DE SALUD CON CAMAS DE INTERNAMIENTO,PIURA,TALARA,PARIÑAS,200701,I-4,,ACTIVADO
GOBIERNO REGIONAL,JOSE ABELARDO QUINONES,CENTROS DE SALUD O CENTROS MEDICOS,PIURA,TALARA,PARIÑAS,200701,I-3,,ACTIVADO
GOBIERNO REGIONAL,CABO BLANCO,PUESTOS DE SALUD O POSTAS DE SALUD,PIURA,TALARA,EL ALTO,200702,I-1,,ACTIVADO
GOBIERNO REGIONAL,EL ALTO,PUESTOS DE SALUD O POSTAS DE SALUD,PIURA,TALARA,EL ALTO,200702,I-2,,ACTIVADO
ESSALUD,CENTRO MEDICO EL ALTO,CENTROS DE SALUD O CENTROS MEDICOS,PIURA,TALARA,EL ALTO,200702,Sin Categoría,,ACTIVADO
GOBIERNO REGIONAL,LA ISLILLA,PUESTOS DE SALUD O POSTAS DE SALUD,PIURA,PAITA,PAITA,200501,I-2,,ACTIVADO
GOBIERNO REGIONAL,FELIPE SANTIAGO SALAVERRY,PUESTOS DE SALUD O POSTAS DE SALUD,PIURA,TALARA,PARIÑAS,200701,I-2,,ACTIVADO
GOBIERNO REGIONAL,YACILA,PUESTOS DE SALUD O POSTAS DE SALUD,PIURA,PAITA,PAITA,200501,I-2,,ACTIVADO
GOBIERNO REGIONAL,EL ÑURO,PUESTOS DE SALUD O POSTAS DE SALUD,PIURA,TALARA,LOS ORGANOS,200705,I-1,,ACTIVADO
GOBIERNO REGIONAL,LOS ORGANOS,CENTROS DE SALUD O CENTROS MEDICOS,PIURA,TALARA,LOS ORGANOS,200705,I-3,,ACTIVADO
ESSALUD,POSTA MEDICA LOS ORGANOS - ESSALUD,PUESTOS DE SALUD O POSTAS DE SALUD,PIURA,TALARA,LOS ORGANOS,200705,Sin Categoría,,ACTIVADO
GOBIERNO REGIONAL,P.S LA TORTUGA,CENTROS DE SALUD O CENTROS MEDICOS,PIURA,PAITA,PAITA,200501,I-2,,ACTIVADO
GOBIERNO REGIONAL,LA ISLA SAN LORENZO,PUESTOS DE SALUD O POSTAS DE SALUD,PIURA,PAITA,VICHAYAL,200507,I-2,,ACTIVADO
GOBIERNO REGIONAL,MIRAMAR,PUESTOS DE SALUD O POSTAS DE SALUD,PIURA,PAITA,VICHAYAL,200507,I-2,,ACTIVADO
ESSALUD,HOSPITAL I MIGUEL CRUZADO VERA - PAITA,CENTROS DE SALUD CON CAMAS DE INTERNAMIENTO,PIURA,PAITA,PAITA,200501,Sin Categoría,12.0,ACTIVADO
GOBIERNO REGIONAL,HOSPITAL  LAS MERCEDES-PAITA,HOSPITALES O CLINICAS DE ATENCION GENERAL,PIURA,PAITA,PAITA,200501,II-1,79.0,ACTIVADO
GOBIERNO REGIONAL,VICHAYAL,CENTROS DE SALUD O CENTROS MEDICOS,PIURA,PAITA,VICHAYAL,200507,I-3,,ACTIVADO
GOBIERNO REGIONAL,SAN LUCAS DE COLAN,PUESTOS DE SALUD O POSTAS DE SALUD,PIURA,PAITA,PAITA,200501,I-2,,ACTIVADO
GOBIERNO REGIONAL,PUEBLO NUEVO DE COLAN,CENTROS DE SALUD CON CAMAS DE INTERNAMIENTO,PIURA,PAITA,COLAN,200504,I-4,,ACTIVADO
GOBIERNO REGIONAL,MANCORA,CENTROS DE SALUD O CENTROS MEDICOS,PIURA,TALARA,MANCORA,200706,I-3,,ACTIVADO
