ubigeo,departamento,provincia,distrito,casos_dengue,n_establecimientos,camas,casos_por_establecimiento
010101,Amazonas,CHACHAPOYAS,CHACHAPOYAS,6.0,12.0,140.0,0.5
010201,Amazonas,BAGUA,BAGUA,949.0,11.0,103.0,86.27272727272727
010202,Amazonas,BAGUA,ARAMANGO,49.0,19.0,0.0,2.5789473684210527
010203,Amazonas,BAGUA,COPALLIN,47.0,6.0,0.0,7.833333333333333
010204,Amazonas,BAGUA,EL PARCO,10.0,3.0,0.0,3.3333333333333335
010205,Amazonas,BAGUA,IMAZA,155.0,40.0,0.0,3.875
010206,Amazonas,BAGUA,LA PECA,43.0,6.0,0.0,7.166666666666667
010306,Amazonas,BONGARA,FLORIDA,1.0,4.0,12.0,0.25
010307,Amazonas,BONGARA,JAZAN,3.0,6.0,12.0,0.5
010401,Amazonas,CONDORCANQUI,NIEVA,581.0,29.0,12.0,20.03448275862069
010403,Amazonas,CONDORCANQUI,RIO SANTIAGO,61.0,24.0,0.0,2.5416666666666665
010701,Amazonas,UTCUBAMBA,BAGUA GRANDE,1020.0,34.0,57.0,30.0
010702,Amazonas,UTCUBAMBA,CAJARURO,115.0,32.0,0.0,3.59375
010703,Amazonas,UTCUBAMBA,CUMBA,26.0,10.0,0.0,2.6
010704,Amazonas,UTCUBAMBA,EL MILAGRO,117.0,7.0,0.0,16.714285714285715
010705,Amazonas,UTCUBAMBA,JAMALCA,31.0,11.0,0.0,2.8181818181818183
010706,Amazonas,UTCUBAMBA,LONYA GRANDE,2.0,11.0,0.0,0.18181818181818182
010707,Amazonas,UTCUBAMBA,YAMON,1.0,6.0,0.0,0.16666666666666666
020801,Ancash,CASMA,CASMA,523.0,5.0,31.0,104.6
020802,Ancash,CASMA,BUENA VISTA ALTA,27.0,3.0,0.0,9.0
020803,Ancash,CASMA,COMANDANTE NOEL,3.0,2.0,0.0,1.5
021101,Ancash,HUARMEY,HUARMEY,4.0,5.0,0.0,0.8
021801,Ancash,SANTA,CHIMBOTE,957.0,19.0,262.0,50.36842105263158
021803,Ancash,SANTA,COISHCO,637.0,2.0,0.0,318.5
021806,Ancash,SANTA,NEPEÑA,43.0,3.0,0.0,14.333333333333334
021808,Ancash,SANTA,SANTA,17.0,6.0,0.0,2.8333333333333335
021809,Ancash,SANTA,NUEVO CHIMBOTE,133.0,7.0,155.0,19.0
050101,Ayacucho,HUAMANGA,AYACUCHO,12.0,12.0,211.0,1.0
050110,Ayacucho,HUAMANGA,SAN JUAN BAUTISTA,3.0,5.0,66.0,0.6
050401,Ayacucho,HUANTA,HUANTA,2.0,7.0,56.0,0.2857142857142857
050407,Ayacucho,HUANTA,SIVIA,1046.0,8.0,14.0,130.75
050408,Ayacucho,HUANTA,LLOCHEGUA,2308.0,9.0,0.0,256.44444444444446
050409,Ayacucho,HUANTA,CANAYRE,375.0,3.0,0.0,125.0
050501,Ayacucho,LA MAR,SAN MIGUEL,3.0,6.0,30.0,0.5
050502,Ayacucho,LA MAR,ANCO,212.0,8.0,0.0,26.5
050503,Ayacucho,LA MAR,AYNA,1560.0,4.0,26.0,390.0
050505,Ayacucho,LA MAR,CHUNGUI,3.0,9.0,0.0,0.3333333333333333
050507,Ayacucho,LA MAR,SANTA ROSA,2160.0,5.0,0.0,432.0
050509,Ayacucho,LA MAR,SAMUGARI,1034.0,4.0,0.0,258.5
050510,Ayacucho,LA MAR,ANCHIHUAY,98.0,2.0,0.0,49.0
050611,Ayacucho,LUCANAS,LUCANAS,1.0,4.0,0.0,0.25
