departamento,casos,llave,poblacion,tasa_100mil
Amazonas,3217.0,AMAZONAS,379384.0,847.9535246610294
Ancash,2344.0,ANCASH,1083519.0,216.33215476609087
Ayacucho,8818.0,AYACUCHO,616176.0,1431.0846251720288
Cajamarca,4144.0,CAJAMARCA,1341012.0,309.02035179401827
Callao,11.0,CALLAO,994494.0,1.106090132268269
Cusco,5916.0,CUSCO,1205527.0,490.73973457251475
Huanuco,5695.0,HUANUCO,721047.0,789.8236869441242
Ica,16588.0,ICA,850765.0,1949.7746146115553
Junin,9841.0,JUNIN,1246038.0,789.7832971386106
La Libertad,13844.0,LA LIBERTAD,1778080.0,778.5926392513273
Lambayeque,6510.0,LAMBAYEQUE,1197260.0,543.7415431902846
Lima,1904.0,LIMA,9485405.0,20.072943643418494
Loreto,23570.0,LORETO,883510.0,2667.7683331258277
Madre De Dios,14878.0,MADRE DE DIOS,141070.0,10546.537180123343
Moquegua,1.0,MOQUEGUA,174863.0,0.5718762688504715
Pasco,865.0,PASCO,254065.0,340.4640544742487
Piura,66309.0,PIURA,1856809.0,3571.1265940654102
Puno,84.0,PUNO,1172697.0,7.162975602393456
San Martin,13677.0,SAN MARTIN,813381.0,1681.499813740424
Tumbes,17692.0,TUMBES,224863.0,7867.901789089357
Ucayali,15214.0,UCAYALI,496459.0,3064.502808892577
