ubigeo,departamento,provincia,distrito,casos_dengue,n_establecimientos
140106,LAMBAYEQUE,CHICLAYO,LA VICTORIA,182.0,6.0
140107,LAMBAYEQUE,CHICLAYO,LAGUNAS,1.0,6.0
140108,LAMBAYEQUE,CHICLAYO,MONSEFU,12.0,4.0
140115,LAMBAYEQUE,CHICLAYO,SAÑA,233.0,5.0
140116,LAMBAYEQUE,CHICLAYO,CAYALTI,74.0,3.0
021809,ANCASH,SANTA,NUEVO CHIMBOTE,133.0,7.0
050510,AYACUCHO,LA MAR,ANCHIHUAY,98.0,2.0
080912,CUSCO,LA CONVENCION,VILLA VIRGEN,33.0,0.0
200301,PIURA,HUANCABAMBA,HUANCABAMBA,18.0,9.0
200402,PIURA,MORROPON,BUENOS AIRES,360.0,5.0
200305,PIURA,HUANCABAMBA,LALAQUIZ,1.0,4.0
200405,PIURA,MORROPON,MORROPON,933.0,5.0
200410,PIURA,MORROPON,YAMANGO,5.0,7.0
200404,PIURA,MORROPON,LA MATANZA,691.0,6.0
200105,PIURA,PIURA,CATACAOS,1779.0,12.0
200101,PIURA,PIURA,PIURA,8847.0,7.0
200206,PIURA,AYABACA,PACAIPAMPA,3.0,8.0
200403,PIURA,MORROPON,CHALACO,6.0,7.0
200401,PIURA,MORROPON,CHULUCANAS,4552.0,11.0
200104,PIURA,PIURA,CASTILLA,9327.0,14.0
200501,PIURA,PAITA,PAITA,507.0,6.0
200202,PIURA,AYABACA,FRIAS,6.0,9.0
200504,PIURA,PAITA,COLAN,663.0,1.0
200506,PIURA,PAITA,TAMARINDO,2.0,1.0
200208,PIURA,AYABACA,SAPILLICA,4.0,4.0
200603,PIURA,SULLANA,IGNACIO ESCUDERO,26.0,6.0
200607,PIURA,SULLANA,QUERECOTILLO,446.0,8.0
200207,PIURA,AYABACA,PAIMAS,260.0,4.0
200111,PIURA,PIURA,LAS LOMAS,575.0,15.0
200201,PIURA,AYABACA,AYABACA,29.0,30.0
200703,PIURA,TALARA,LA BREA,166.0,3.0
200203,PIURA,AYABACA,JILILI,2.0,3.0
200604,PIURA,SULLANA,LANCONES,153.0,16.0
200210,PIURA,AYABACA,SUYO,104.0,10.0
200701,PIURA,TALARA,PARIÑAS,3997.0,4.0
200704,PIURA,TALARA,LOBITOS,40.0,1.0
200705,PIURA,TALARA,LOS ORGANOS,701.0,3.0
200706,PIURA,TALARA,MANCORA,785.0,1.0
200602,PIURA,SULLANA,BELLAVISTA,3005.0,11.0
200702,PIURA,TALARA,EL ALTO,506.0,3.0
200115,PIURA,PIURA,VEINTISEIS DE OCTUBRE,5194.0,9.0
080913,CUSCO,LA CONVENCION,VILLA KINTIARINA,6.0,0.0
120609,JUNIN,SATIPO,VIZCATAN DEL ENE,26.0,0.0
100704,HUANUCO,MARAÑON,LA MORADA,28.0,1.0
100608,HUANUCO,LEONCIO PRADO,CASTILLO GRANDE,562.0,1.0
080902,CUSCO,LA CONVENCION,ECHARATE,258.0,20.0
250202,UCAYALI,ATALAYA,SEPAHUA,87.0,4.0
170301,MADRE DE DIOS,TAHUAMANU,IÑAPARI,300.0,4.0
050505,AYACUCHO,LA MAR,CHUNGUI,3.0,9.0
100609,HUANUCO,LEONCIO PRADO,PUEBLO NUEVO,22.0,1.0
100603,HUANUCO,LEONCIO PRADO,HERMILIO VALDIZAN,10.0,6.0
100601,HUANUCO,LEONCIO PRADO,RUPA-RUPA,3296.0,3.0
100602,HUANUCO,LEONCIO PRADO,DANIEL ALOMIA ROBLES,55.0,4.0
100605,HUANUCO,LEONCIO PRADO,LUYANDO,277.0,7.0
100201,HUANUCO,AMBO,AMBO,2.0,7.0
100904,HUANUCO,PUERTO INCA,TOURNAVISTA,56.0,4.0
120608,JUNIN,SATIPO,RIO TAMBO,257.0,24.0
120301,JUNIN,CHANCHAMAYO,CHANCHAMAYO,1248.0,5.0
120302,JUNIN,CHANCHAMAYO,PERENE,2125.0,27.0
120303,JUNIN,CHANCHAMAYO,PICHANAQUI,1254.0,20.0
020801,ANCASH,CASMA,CASMA,523.0,5.0
020802,ANCASH,CASMA,BUENA VISTA ALTA,27.0,3.0
020803,ANCASH,CASMA,COMANDANTE NOEL,3.0,2.0
021801,ANCASH,SANTA,CHIMBOTE,957.0,19.0
021808,ANCASH,SANTA,SANTA,17.0,6.0
130102,LA LIBERTAD,TRUJILLO,EL PORVENIR,2849.0,13.0
060101,CAJAMARCA,CAJAMARCA,CAJAMARCA,7.0,24.0
060608,CAJAMARCA,CUTERVO,SAN ANDRES DE CUTERVO,0.0,5.0
060613,CAJAMARCA,CUTERVO,SANTO TOMAS,1.0,12.0
060901,CAJAMARCA,SAN IGNACIO,SAN IGNACIO,48.0,18.0
060902,CAJAMARCA,SAN IGNACIO,CHIRINOS,3.0,8.0
060903,CAJAMARCA,SAN IGNACIO,HUARANGO,37.0,13.0
060904,CAJAMARCA,SAN IGNACIO,LA COIPA,1.0,17.0
060905,CAJAMARCA,SAN IGNACIO,NAMBALLE,69.0,6.0
060906,CAJAMARCA,SAN IGNACIO,SAN JOSE DE LOURDES,19.0,15.0
060802,CAJAMARCA,JAEN,BELLAVISTA,130.0,9.0
060811,CAJAMARCA,JAEN,SAN JOSE DEL ALTO,6.0,8.0
060801,CAJAMARCA,JAEN,JAEN,3275.0,22.0
060805,CAJAMARCA,JAEN,HUABAL,2.0,8.0
240101,TUMBES,TUMBES,TUMBES,7684.0,8.0
240102,TUMBES,TUMBES,CORRALES,1081.0,3.0
240103,TUMBES,TUMBES,LA CRUZ,567.0,2.0
240104,TUMBES,TUMBES,PAMPAS DE HOSPITAL,1048.0,4.0
240105,TUMBES,TUMBES,SAN JACINTO,767.0,6.0
240106,TUMBES,TUMBES,SAN JUAN DE LA VIRGEN,913.0,3.0
240201,TUMBES,CONTRALMIRANTE VILLAR,ZORRITOS,934.0,5.0
240202,TUMBES,CONTRALMIRANTE VILLAR,CASITAS,174.0,3.0
240203,TUMBES,CONTRALMIRANTE VILLAR,CANOAS DE PUNTA SAL,850.0,3.0
240301,TUMBES,ZARUMILLA,ZARUMILLA,1428.0,2.0
240302,TUMBES,ZARUMILLA,AGUAS VERDES,1051.0,4.0
240303,TUMBES,ZARUMILLA,MATAPALO,290.0,1.0
240304,TUMBES,ZARUMILLA,PAPAYAL,905.0,5.0
060607,CAJAMARCA,CUTERVO,QUEROCOTILLO,10.0,23.0
060703,CAJAMARCA,HUALGAYOC,HUALGAYOC,1.0,13.0
060401,CAJAMARCA,CHOTA,CHOTA,4.0,32.0
060409,CAJAMARCA,CHOTA,HUAMBOS,1.0,8.0
